uuid	hubmap_id	created_by_user_displayname	created_by_user_email	created_timestamp	donor.hubmap_id	group_name	last_modified_timestamp	mapped_consortium	mapped_statusdata_access_level	origin_samples_unique_mapped_organs	published_timestamp	status
#												
d482512016a61ef479960e2cb58552f2	HBM482.MCCP.264	HuBMAP Process	hubmap@hubmapconsortium.org	1679694002380	HBM984.MHHN.738	University of California San Diego TMC	1699301195942	HuBMAP		['Kidney (Left)']	1687807039279	Published
173de2e80adf6a73ac8cff5ccce20dfc	HBM546.RNHX.756	HuBMAP Process	hubmap@hubmapconsortium.org	1679534365134	HBM375.PJSC.682	University of California San Diego TMC	1699300592055	HuBMAP		['Kidney (Right)']	1681089833228	Published
ad693f99fb9006e68a53e97598da1509	HBM752.KZCK.589	HuBMAP Process	hubmap@hubmapconsortium.org	1679530749271	HBM867.BLQJ.787	University of California San Diego TMC	1699300226606	HuBMAP		['Kidney (Right)']	1681089831686	Published
b99fc30c4195958fbef217fa9ed9ec8f	HBM759.CHJW.244	HuBMAP Process	hubmap@hubmapconsortium.org	1679532345763	HBM735.QDFT.264	University of California San Diego TMC	1699300347151	HuBMAP		['Kidney (Right)']	1681089832186	Published
367fee3b40cba682063289505b922be1	HBM299.VDWT.444	HuBMAP Process	hubmap@hubmapconsortium.org	1679524969851	HBM867.BLQJ.787	University of California San Diego TMC	1699299984646	HuBMAP		['Kidney (Right)']	1681089830562	Published
47015df8ab7615a9ce26098d88196dde	HBM439.BQLR.867	HuBMAP Process	hubmap@hubmapconsortium.org	1679703566090	HBM277.DBXJ.256	University of California San Diego TMC	1699301799843	HuBMAP		['Kidney (Left)']	1687807044352	Published
56cbda4789f04d79c0c3dffe21816d48	HBM629.GSHG.922	HuBMAP Process	hubmap@hubmapconsortium.org	1679520727409	HBM375.PJSC.682	University of California San Diego TMC	1699299863823	HuBMAP		['Kidney (Right)']	1681089830054	Published
b2ab05f290c0740c3198f020cd70e78d	HBM597.PBJW.593	HuBMAP Process	hubmap@hubmapconsortium.org	1679695180533	HBM773.MKPP.732	University of California San Diego TMC	1699301437544	HuBMAP		['Kidney (Left)']	1692213976899	Published
5039cf8619f6f8b5b4a14af1037e1d1f	HBM368.JCBG.263	HuBMAP Process	hubmap@hubmapconsortium.org	1679696287760	HBM773.MKPP.732	University of California San Diego TMC	1699301558063	HuBMAP		['Kidney (Left)']	1692213980476	Published
0b6f63f2bd61a8c091fc7afc0f318ad1	HBM264.MJCH.639	HuBMAP Process	hubmap@hubmapconsortium.org	1679533947275	HBM742.LSPH.793	University of California San Diego TMC	1699300468927	HuBMAP		['Kidney (Right)']	1681089832695	Published
63349325056ccff582f1d095055c7e12	HBM842.DDTX.473	HuBMAP Process	hubmap@hubmapconsortium.org	1679694425423	HBM984.MHHN.738	University of California San Diego TMC	1699301316519	HuBMAP		['Kidney (Left)']	1687807040878	Published
dc4f4778dd04263c0660addcc93b3807	HBM522.VFGB.335	HuBMAP Process	hubmap@hubmapconsortium.org	1679683487119	HBM277.XCLT.589	University of California San Diego TMC	1699300954417	HuBMAP		['Kidney (Left)']	1687807035738	Published
524dc341a03c155b6f4140e9d72f9b1d	HBM938.WTSR.492	HuBMAP Process	hubmap@hubmapconsortium.org	1679683546120	HBM277.XCLT.589	University of California San Diego TMC	1699301075377	HuBMAP		['Kidney (Left)']	1687807037346	Published
af5741dad7aecf7960a129c3d2ae642a	HBM779.FQMX.497	HuBMAP Process	hubmap@hubmapconsortium.org	1679537623290	HBM735.QDFT.264	University of California San Diego TMC	1699300712617	HuBMAP		['Kidney (Right)']	1681154724658	Published
9a7e6be288b27ddbd3366c4ae41bbcd2	HBM633.LLDZ.679	HuBMAP Process	hubmap@hubmapconsortium.org	1679526202500	HBM742.LSPH.793	University of California San Diego TMC	1699300106087	HuBMAP		['Kidney (Right)']	1681089831176	Published
dd7ccbc306692fc5ff5e61c22845da21	HBM292.GSZL.269	HuBMAP Process	hubmap@hubmapconsortium.org	1679520459089	HBM825.GBHD.667	University of California San Diego TMC	1699299742863	HuBMAP		['Kidney (Right)']	1681089829550	Published
37988db44acc8d0780e4e31cd057e789	HBM425.GDJT.648	HuBMAP Process	hubmap@hubmapconsortium.org	1679696718080	HBM295.GHMR.582	University of California San Diego TMC	1699301679259	HuBMAP		['Kidney (Left)']	1687807042747	Published
1ea6c0ac5ba60fe35bf63af8699b6fbe	HBM522.FTFK.487	HuBMAP Process	hubmap@hubmapconsortium.org	1679519889468	HBM735.QDFT.264	University of California San Diego TMC	1699299622230	HuBMAP		['Kidney (Right)']	1681089828968	Published
