hubmap_ids_portal,ran_through_hra_workflow_runner_in_hra_pop_v0.5.2
HBM879.NCTL.468,False
HBM265.FQWZ.384,True
HBM945.QNRF.244,False
HBM955.DXVQ.765,False
HBM526.VJKT.388,False
HBM449.QGGL.994,True
HBM834.TDFD.294,False
HBM854.LQKL.226,False
HBM277.KCLM.554,False
HBM852.VSBC.572,False
HBM694.QMLR.738,False
HBM257.DBNG.933,False
HBM988.XDFD.773,True
HBM793.TLPP.486,False
HBM364.XLVH.839,True
HBM398.ZSNW.578,False
HBM869.HBBF.473,True
HBM432.RXTV.994,False
HBM255.HLNC.938,False
HBM677.TRKR.869,False
HBM396.QSCB.763,False
HBM788.QGNW.253,False
HBM725.BRBB.566,False
HBM979.VMDC.365,True
HBM769.NLGR.528,False
HBM687.SQJV.939,False
HBM775.HGSK.536,False
HBM796.PCWD.863,True
HBM985.TJZD.778,False
HBM656.KZXP.658,False
HBM444.DXLZ.643,True
HBM546.RNHX.756,True
HBM398.CFZH.458,False
HBM232.KNBD.954,False
HBM759.FHWP.826,False
HBM833.HFSG.364,False
HBM757.DZKS.993,False
HBM328.FTJW.669,False
HBM734.NTJP.672,False
HBM953.HGVS.696,False
HBM759.ZKDS.894,False
HBM687.DTXP.559,False
HBM872.JGDD.956,False
HBM537.MVDQ.934,True
HBM545.PQSZ.997,False
HBM737.WSXM.893,False
HBM979.DJZW.835,False
HBM522.FTFK.487,True
HBM775.RVQX.376,False
HBM853.XQFP.642,False
HBM846.NMQR.693,False
HBM822.JFNB.664,False
HBM935.KGJC.468,False
HBM573.JGLL.575,True
HBM563.FFQJ.764,True
HBM393.CCBZ.572,False
HBM482.MCCP.264,True
HBM992.XNZH.647,False
HBM742.GTJJ.334,False
HBM542.DVXG.466,False
HBM378.WGXD.394,False
HBM935.CNXT.255,False
HBM549.VSNH.445,False
HBM864.CWHJ.963,True
HBM349.QCWZ.339,True
HBM756.GZSH.268,False
HBM693.ZRQJ.667,False
HBM446.FXTJ.757,False
HBM938.WTSR.492,True
HBM442.HSFZ.838,False
HBM369.FCNZ.863,False
HBM975.WQQQ.853,True
HBM769.BDBL.437,False
HBM349.XPRZ.258,False
HBM467.RQDN.922,True
HBM626.PHCW.834,True
HBM972.VRNF.956,False
HBM645.XLLN.924,False
HBM539.GJNB.784,True
HBM578.SRZG.769,False
HBM892.MXFF.848,False
HBM476.PRMC.228,False
HBM425.GDJT.648,True
HBM969.CJQL.629,False
HBM422.MKWK.448,False
HBM929.VSJQ.633,True
HBM584.ZTDX.845,False
HBM482.PNPS.853,False
HBM683.DSMM.562,False
HBM593.CLXN.573,True
HBM887.DDJL.589,True
HBM759.CHJW.244,True
HBM545.VTQM.594,False
HBM592.DXHG.266,True
HBM425.MSBX.963,False
HBM528.DMSV.294,True
HBM453.SZCH.656,False
HBM694.TNFF.778,False
HBM959.QMBB.765,False
HBM264.MJCH.639,True
HBM878.HZJK.366,False
