consortium,dataset_count,atlas_dataset_count,test_dataset_count,excluded_dataset_count,no_rui_dataset_count,no_summary_dataset_count
Allen Institute for Brain Science,10,0,10,0,0,10
CxG,6405,0,4598,1807,6405,1807
GTEx,74,15,50,9,9,59
GUDMAP,12,0,12,0,0,12
HCA,229,82,65,82,82,147
"HIRN, ESPACE",1,0,1,0,0,1
HRA,1,0,1,0,0,1
HTAN,47,0,47,0,0,47
HuBMAP,2485,445,2004,36,36,2040
KPMP,3,0,3,0,0,3
LungMap,9,0,0,9,9,9
NHLBI/LungMap,10,9,1,0,0,1
SEA-AD,1,0,0,1,1,1
SPARC,26,0,26,0,0,26
SenNet,236,2,234,0,0,234
UEdinburgh,64,0,64,0,0,64
