sex,dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,provider,study_paper,doi,lead_author
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1262$lung,,42,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU675$lung,,40,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1128$lung,,35,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1134$lung,,34,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU426$lung,,34,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU682$lung,,33,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1137$lung,,32,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1057$lung,,31,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1229$lung,,31,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1145$lung,,30,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1170$lung,,30,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1108$lung,,30,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1195$lung,,30,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1135$lung,,29,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU661$lung,,29,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/62e8f058-9c37-48bc-9200-e767f318a8ec#RU1311$lung,,28,false,true,false,true,false,CxG,CxG,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,https://doi.org/10.1016/j.ccell.2021.09.008,Joseph M. Chan
