sex,provider,dataset_count,cell_count
Female,Broad Institute,40,659085
Male,Broad Institute,42,799317
Female,GTEx,7,123723
Male,GTEx,8,143256
Female,NHLBI/LungMap,2,29691
Male,NHLBI/LungMap,7,109809
Female,RTI-General Electric,4,4937
Male,RTI-General Electric,6,8552
Male,TMC - University of Pittsburgh,6,97657
Female,TMC - Washington University,1,21772
Male,TMC - Washington University,1,21963
Female,TMC-CalTech,5,532621
Male,TMC-CalTech,15,1596924
Female,TMC-Florida,2,17288
Male,TMC-Florida,9,81010
Female,TMC-Stanford,45,781402
Male,TMC-Stanford,101,2439688
Female,TMC-UCSD,80,2559788
Male,TMC-UCSD,178,8249946
