tool,cell_id,dataset_count
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-ccl3-,2
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-proliferating,10
azimuth,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,229
azimuth,https://purl.org/ccf/ASCTB-TEMP_interstitial-m-perivascular,36
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,52
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,52
azimuth,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,231
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,50
celltypist,https://purl.org/ccf/ASCTB-TEMP_-cells-ins-,20
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-cd4-t,31
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-cd8-t,42
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-t,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_adult-glia,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_angiogenic-pericyte,62
celltypist,https://purl.org/ccf/ASCTB-TEMP_arterial-capillary,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_best2-goblet-cell,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_best4-epithelial,72
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a1-imn-,60
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a2-ipan-in-,68
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a3-ipan-in-,60
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a4-in-,72
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b1-emn-,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b2-emn-,46
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b3-ipan-,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_cd8-tmem,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_cdc1,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_cdc2,51
celltypist,https://purl.org/ccf/ASCTB-TEMP_clc-mast-cell,61
celltypist,https://purl.org/ccf/ASCTB-TEMP_cldn10-cells,59
celltypist,https://purl.org/ccf/ASCTB-TEMP_clp,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_colonocyte,52
celltypist,https://purl.org/ccf/ASCTB-TEMP_contractile-pericyte-pln-,75
celltypist,https://purl.org/ccf/ASCTB-TEMP_cx3cr1-cd8-tmem,45
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-b-cell,75
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-ec,66
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-encc-glia,44
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-neuroblast,35
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-plasma-cell,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-stromal,11
celltypist,https://purl.org/ccf/ASCTB-TEMP_d-cells-sst-,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_differentiating-glia,29
celltypist,https://purl.org/ccf/ASCTB-TEMP_distal-progenitor,50
celltypist,https://purl.org/ccf/ASCTB-TEMP_dz-gc-cell,64
celltypist,https://purl.org/ccf/ASCTB-TEMP_ec-cells-npw-,51
celltypist,https://purl.org/ccf/ASCTB-TEMP_ec-cells-tac1-,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_eecs,77
