sex,dataset,technology,description,annotation_method,unique_cell_type_count
Male,https://entity.api.hubmapconsortium.org/entities/985b97a1645baa3d7dffd4c0e13adbb6,,,azimuth,42
Male,https://entity.api.hubmapconsortium.org/entities/377df3da484d29fdde20ec020a76ba1b,,,azimuth,26
Male,https://entity.api.hubmapconsortium.org/entities/35f5b75a7e3d0711f16b0a10219586fb,,,azimuth,34
Male,https://entity.api.hubmapconsortium.org/entities/9543f0b5e921d865e57a9fe3e4e62f4e,,,azimuth,35
Male,https://entity.api.hubmapconsortium.org/entities/ad312fba7d484a57f4a9b0d05977b521,,,azimuth,40
Male,https://entity.api.hubmapconsortium.org/entities/aece0d5303d9ce959cdab34a9e9f3003,,,azimuth,38
Male,https://entity.api.hubmapconsortium.org/entities/a1d17fdd270a69c813b872a927dfa5f3,,,azimuth,44
Female,https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b,,,celltypist,127
Female,https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b,,,popv,15
Male,https://entity.api.hubmapconsortium.org/entities/8ccdee5587a477c482be2e6e19dddf7a,,,celltypist,117
Female,https://entity.api.hubmapconsortium.org/entities/43b15fb53db3518a5b1b0dcd4a63ddda,,,popv,14
Male,https://entity.api.hubmapconsortium.org/entities/4b3d4efca2e64a650e943c7bf63f9830,,,popv,10
Male,https://entity.api.hubmapconsortium.org/entities/494be3179855c071121a9307e0e84683,,,popv,14
Male,https://entity.api.hubmapconsortium.org/entities/3ff97368165004ae9e3b799cef261a2a,,,popv,13
Female,https://entity.api.hubmapconsortium.org/entities/35e9bf0f58152ceb6f4d01052ac8867d,,,azimuth,20
Female,https://entity.api.hubmapconsortium.org/entities/35e9bf0f58152ceb6f4d01052ac8867d,,,celltypist,28
Male,https://entity.api.hubmapconsortium.org/entities/b07a1fb96ddc2d4119e1f9a73d9c0a6a,,,azimuth,46
Male,https://entity.api.hubmapconsortium.org/entities/aeaaa0536b87935ad50cf69f1a0c3b1a,,,azimuth,46
