dataset,publication,publication_lead_author,publication_title
https://entity.api.hubmapconsortium.org/entities/3bb5f743b039cb620d7ef234e0876f7a,,,
https://entity.api.hubmapconsortium.org/entities/3c1b10bc912c60c9afc36b7423695236,,,
https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d,,,
https://entity.api.hubmapconsortium.org/entities/3e1d2641c370e6d6c47ff51d34fe5a58,,,
https://entity.api.hubmapconsortium.org/entities/3f3d9117172a7ebda1a57b2d871ce1be,,,
https://entity.api.hubmapconsortium.org/entities/3f3fc7fbd6c9ddffd3cd96e07b946252,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,,,
https://entity.api.hubmapconsortium.org/entities/3ff97368165004ae9e3b799cef261a2a,,,
https://entity.api.hubmapconsortium.org/entities/41dab04d801d21bfc99328c9e249cc68,,,
https://entity.api.hubmapconsortium.org/entities/42ab155ddff1d33fe1c505c067828614,,,
https://entity.api.hubmapconsortium.org/entities/4348d5cf6485b949381a1c3358ab3f23,,,
https://entity.api.hubmapconsortium.org/entities/434fbc55d458dc4e06da9ba4961f3840,,,
https://entity.api.hubmapconsortium.org/entities/4369a119a9c06ea304003a5c3cb3a2e0,,,
https://entity.api.hubmapconsortium.org/entities/43b15fb53db3518a5b1b0dcd4a63ddda,,,
https://entity.api.hubmapconsortium.org/entities/44830922b634a9ecd4812b4f27ad4923,,,
https://entity.api.hubmapconsortium.org/entities/450581eb06aeeb66419b4007d5e86baa,,,
https://entity.api.hubmapconsortium.org/entities/453b06e1f62ec3e54d8380e4e974a5a5,,,
https://entity.api.hubmapconsortium.org/entities/47015df8ab7615a9ce26098d88196dde,,,
https://entity.api.hubmapconsortium.org/entities/4734034ae3026f586bab5269085ba0e6,,,
https://entity.api.hubmapconsortium.org/entities/4839e7564bc7676e781b8f3f9bfbf35b,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/4887c97a8f862dfd0927fca83772da67,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/494be3179855c071121a9307e0e84683,,,
https://entity.api.hubmapconsortium.org/entities/4a535055190943788c69d672ba1c8a71,,,
https://entity.api.hubmapconsortium.org/entities/4b16c24a3997ea8754921b0f1d60bc4d,,,
https://entity.api.hubmapconsortium.org/entities/4b3d4efca2e64a650e943c7bf63f9830,,,
https://entity.api.hubmapconsortium.org/entities/4b5dc6d04aa30a6eb0b224a7ab7d03b3,,,
https://entity.api.hubmapconsortium.org/entities/4b62d9d2c248323ce029859f953fdc57,,,
https://entity.api.hubmapconsortium.org/entities/4c435d2297941eafda7fe30f327f88ec,,,
https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1,,,
https://entity.api.hubmapconsortium.org/entities/4e372aa4f8cfce62f2663c5ef810409a,,,
https://entity.api.hubmapconsortium.org/entities/4e9a64e657cca28ad36bd2c62693b6e0,,,
https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172,,,
https://entity.api.hubmapconsortium.org/entities/5039cf8619f6f8b5b4a14af1037e1d1f,,,
https://entity.api.hubmapconsortium.org/entities/50f466268d42ee8ebf929757ed670d12,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/5137facf6f24b87d325b886ec8e5fb1f,,,
https://entity.api.hubmapconsortium.org/entities/51bc718e411810044e4258dae80ff044,,,
https://entity.api.hubmapconsortium.org/entities/51bfd85763954248725ebf69f0dde5eb,,,
https://entity.api.hubmapconsortium.org/entities/524dc341a03c155b6f4140e9d72f9b1d,,,
https://entity.api.hubmapconsortium.org/entities/52ec5e111357f8fdd4ab2a3c5790cf4e,,,
https://entity.api.hubmapconsortium.org/entities/52ef1c33a11494b43d8979e0e6057caa,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,,,
https://entity.api.hubmapconsortium.org/entities/55452bd302046918eaeeffa62c5b5f03,,,
https://entity.api.hubmapconsortium.org/entities/56060793c38c82d8c312e5e05d5d189b,,,
https://entity.api.hubmapconsortium.org/entities/56742ee7dcbe8b03d964f519009db12d,,,
https://entity.api.hubmapconsortium.org/entities/56cbda4789f04d79c0c3dffe21816d48,,,
https://entity.api.hubmapconsortium.org/entities/57054da2dbe87b93f1adb78444086963,,,
https://entity.api.hubmapconsortium.org/entities/578f1282276ddc1cc4c4817e4950f13c,,,
https://entity.api.hubmapconsortium.org/entities/58167d0f778284d5b95af782bd8132da,,,
https://entity.api.hubmapconsortium.org/entities/5908774e08f8a32737cdfe70e868a944,,,
https://entity.api.hubmapconsortium.org/entities/59249f23ecdcc975c90de9a1956a5285,,,
