sex,dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#163-2$kidney,Kidney,13,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#163-3$kidney,Kidney,17,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#163-4$kidney,Kidney,18,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#163-5$kidney,Kidney,20,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#163-6$kidney,Kidney,21,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-1$cortex%20of%20kidney,Kidney,27,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-10$cortex%20of%20kidney,Kidney,31,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-10$kidney,Kidney,31,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-3$cortex%20of%20kidney,Kidney,29,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-3$kidney,Kidney,26,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-5$renal%20medulla,Kidney,32,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-6$cortex%20of%20kidney,Kidney,31,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-6$kidney,Kidney,28,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-7$cortex%20of%20kidney,Kidney,25,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#164-8$cortex%20of%20kidney,Kidney,25,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#165-10$renal%20medulla,Kidney,23,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#165-7$cortex%20of%20kidney,Kidney,26,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#165-9$kidney,Kidney,29,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#165-9$renal%20medulla,Kidney,23,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#18-142$cortex%20of%20kidney,Kidney,34,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#18-162$renal%20medulla,Kidney,40,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#18-312$cortex%20of%20kidney,Kidney,38,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10039$cortex%20of%20kidney,Kidney,36,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10039$kidney,Kidney,31,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10041$cortex%20of%20kidney,Kidney,33,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10041$kidney,Kidney,32,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10043$cortex%20of%20kidney,Kidney,33,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10053$kidney,Kidney,26,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10071$kidney,Kidney,30,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/0f528c8a-a25c-4840-8fa3-d156fa11086f#27-10074$renal%20medulla,Kidney,36,false,true,false,false,false,CxG,An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),,
