organ,side,sex,modality,status,dataset_count,cell_count
blood,,female,sc_transcriptomics,Non-Atlas,1407,31839
blood,,male,sc_transcriptomics,Non-Atlas,1114,25077
blood,,unknown,sc_transcriptomics,Non-Atlas,60,1299
blood vasculature,,female,sc_transcriptomics,Non-Atlas,9,99
blood vasculature,,male,sc_transcriptomics,Non-Atlas,13,139
bone marrow,,female,sc_transcriptomics,Non-Atlas,59,1621
bone marrow,,male,sc_transcriptomics,Non-Atlas,62,1547
bone marrow,,unknown,sc_transcriptomics,Non-Atlas,59,607
eye,,female,sc_transcriptomics,Non-Atlas,61,588
eye,,male,sc_transcriptomics,Non-Atlas,110,987
eye,,unknown,sc_transcriptomics,Non-Atlas,33,270
heart,,female,sc_transcriptomics,Atlas,49,1339
heart,,female,sc_transcriptomics,Non-Atlas,107,2972
heart,,male,sc_transcriptomics,Atlas,60,1819
heart,,male,sc_transcriptomics,Non-Atlas,188,5215
kidney,,female,sc_transcriptomics,Atlas,74,2758
kidney,,female,sc_transcriptomics,Non-Atlas,184,5379
kidney,,male,sc_transcriptomics,Atlas,136,5266
kidney,,male,sc_transcriptomics,Non-Atlas,203,6301
large intestine,,female,sc_transcriptomics,Atlas,14,1475
large intestine,,female,sc_transcriptomics,Non-Atlas,64,4027
large intestine,,male,sc_transcriptomics,Atlas,25,2616
large intestine,,male,sc_transcriptomics,Non-Atlas,67,4251
large intestine,,unknown,sc_transcriptomics,Non-Atlas,9,328
liver,,female,sc_transcriptomics,Atlas,1,16
liver,,female,sc_transcriptomics,Non-Atlas,38,517
liver,,male,sc_transcriptomics,Atlas,1,16
liver,,male,sc_transcriptomics,Non-Atlas,32,420
liver,,unknown,sc_transcriptomics,Non-Atlas,6,91
lung,,female,sc_transcriptomics,Atlas,3,122
lung,,female,sc_transcriptomics,Non-Atlas,226,7168
lung,,male,sc_transcriptomics,Atlas,49,2259
lung,,male,sc_transcriptomics,Non-Atlas,328,10673
lung,,unknown,sc_transcriptomics,Non-Atlas,35,1212
lymph node,,female,sc_transcriptomics,Non-Atlas,7,109
lymph node,,male,sc_transcriptomics,Non-Atlas,10,142
mammary gland,,female,sc_transcriptomics,Atlas,3,36
mammary gland,,female,sc_transcriptomics,Non-Atlas,1,14
pancreas,,female,sc_transcriptomics,Non-Atlas,8,92
pancreas,,male,sc_transcriptomics,Non-Atlas,6,67
prostate gland,,male,sc_transcriptomics,Atlas,4,46
prostate gland,,male,sc_transcriptomics,Non-Atlas,34,358
skin,,female,sc_transcriptomics,Atlas,1,14
skin,,female,sc_transcriptomics,Non-Atlas,33,674
skin,,male,sc_transcriptomics,Atlas,1,21
skin,,male,sc_transcriptomics,Non-Atlas,33,652
small intestine,,female,sc_transcriptomics,Atlas,13,1266
small intestine,,female,sc_transcriptomics,Non-Atlas,65,3577
small intestine,,male,sc_transcriptomics,Atlas,26,2358
small intestine,,male,sc_transcriptomics,Non-Atlas,99,4986
small intestine,,unknown,sc_transcriptomics,Non-Atlas,20,947
spleen,,female,sc_transcriptomics,Atlas,2,32
spleen,,female,sc_transcriptomics,Non-Atlas,25,398
spleen,,male,sc_transcriptomics,Atlas,9,150
spleen,,male,sc_transcriptomics,Non-Atlas,23,344
thymus,,female,sc_transcriptomics,Non-Atlas,21,389
thymus,,male,sc_transcriptomics,Non-Atlas,26,462
trachea,,female,sc_transcriptomics,Non-Atlas,15,169
trachea,,male,sc_transcriptomics,Non-Atlas,14,209
urinary bladder,,female,sc_transcriptomics,Atlas,6,80
urinary bladder,,male,sc_transcriptomics,Atlas,8,101
uterus,,female,sc_transcriptomics,Non-Atlas,44,433
uterus,,unknown,sc_transcriptomics,Non-Atlas,3,13
