organ,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002079,ductal,15.312,0.5225225225225225,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002064,acinar,8.64,0.2948402948402948,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000115,endothelial,3.864,0.1318591318591318,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000738,immune,1.464,0.04995904995904996,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002410,activated_stellate,0.024,8.190008190008189E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000171,alpha_immature,10.536,0.3595413595413595,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000173,delta,9.984,0.3407043407043407,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002275,PP,8.784,0.2997542997542997,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002079,pancreatic ductal cell,15.12,0.5159705159705159,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002064,pancreatic acinar cell,8.832,0.3013923013923014,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,3.96,0.1351351351351351,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B cell,0.648,0.02211302211302211,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T cell,0.504,0.0171990171990172,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000763,myeloid cell,0.096,0.003276003276003275,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,0.048,0.001638001638001638,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002275,pancreatic PP cell,0.024,8.190008190008188E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,mast cell,0.024,8.190008190008188E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,0.024,8.190008190008188E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001069,head of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002410,pancreatic stellate cell,0.024,8.190008190008188E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002079,ductal,22.33,0.5225225225225226,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002064,acinar,12.6,0.2948402948402949,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000115,endothelial,5.635000000000001,0.1318591318591319,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000738,immune,2.135,0.04995904995904996,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002410,activated_stellate,0.035,8.19000819000819E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000171,alpha_immature,15.365,0.3595413595413595,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000173,delta,14.56,0.3407043407043407,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002275,PP,12.81,0.2997542997542997,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002079,pancreatic ductal cell,22.05,0.5159705159705161,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002064,pancreatic acinar cell,12.88,0.3013923013923014,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,5.775,0.1351351351351352,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B cell,0.9450000000000001,0.02211302211302212,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T cell,0.7350000000000001,0.01719901719901721,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000763,myeloid cell,0.14,0.003276003276003277,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,0.07,0.001638001638001639,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002275,pancreatic PP cell,0.035,8.190008190008193E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,mast cell,0.035,8.190008190008193E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,0.035,8.190008190008193E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,body of pancreas,Female,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002410,pancreatic stellate cell,0.035,8.190008190008193E-4,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001151,tail of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002079,ductal,16.588,0.5225225225225226,1
pancreas,http://purl.obolibrary.org/obo/UBERON_0001151,tail of pancreas,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002064,acinar,9.36,0.2948402948402948,1
