sex,organ,as_label,cell_label,dataset_count,cell_id,mean_cell_count,cell_count
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adip1,4,http://purl.obolibrary.org/obo/CL_0000136,33,792
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adip2,2,http://purl.obolibrary.org/obo/CL_0000136,20.5,246
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adipocyte,6,http://purl.obolibrary.org/obo/CL_0000136,20.16666666666666666667,726
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Arterial Endothelial,6,http://purl.obolibrary.org/obo/CL_1000413,84.33333333333333333333,3036
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Atrial Cardiomyocyte,3,http://purl.obolibrary.org/obo/CL_0002129,4,72
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B,6,http://purl.obolibrary.org/obo/CL_0000236,21.3,1278
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B_plasma,4,http://purl.obolibrary.org/obo/CL_0000786,5,120
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD14+Mo,4,http://purl.obolibrary.org/obo/CL_0002057,169.25,4062
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD16+Mo,6,http://purl.obolibrary.org/obo/CL_0002396,58.83333333333333333333,2118
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Tfh,2,http://purl.obolibrary.org/obo/CL_0000492,5,60
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th1,2,http://purl.obolibrary.org/obo/CL_0000545,6,72
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th17,2,http://purl.obolibrary.org/obo/CL_0000899,1,12
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th2,3,http://purl.obolibrary.org/obo/CL_0000546,2,36
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_act,5,http://purl.obolibrary.org/obo/CL_0001043,14.8,444
