tool,cell_id,cell_label,count,avg_percentage_of_total
azimuth,http://purl.obolibrary.org/obo/CL_4028002,alveolar capillary type 1 endothelial cell,1006552,0.2042672407645358
azimuth,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,653178,0.16685578848034605
azimuth,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,320020,0.17009512449323078
azimuth,http://purl.obolibrary.org/obo/CL_0002145,ciliated columnar cell of tracheobronchial tree,266158,0.04458154174578526
azimuth,http://purl.obolibrary.org/obo/CL_0000624,"CD4-positive, alpha-beta T cell",191654,0.045448318063880624
azimuth,http://purl.obolibrary.org/obo/CL_0000625,"CD8-positive, alpha-beta T cell",187376,0.050381807150382
azimuth,http://purl.obolibrary.org/obo/CL_4028004,alveolar type 1 fibroblast cell,185386,0.07531423399362895
azimuth,http://purl.obolibrary.org/obo/CL_4033008,vein endothelial cell of respiratory system,140590,0.02089409958547525
azimuth,http://purl.obolibrary.org/obo/CL_0017000,pulmonary ionocyte,89512,0.013920959918202384
azimuth,http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell,73258,0.015932486162061457
azimuth,http://purl.obolibrary.org/obo/CL_0009089,lung pericyte,49070,0.017664410833337495
azimuth,http://purl.obolibrary.org/obo/CL_4028006,alveolar adventitial fibroblast,37578,0.015805964678806603
azimuth,http://purl.obolibrary.org/obo/CL_4028003,alveolar capillary type 2 endothelial cell,37146,0.02345232803060293
azimuth,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,27858,0.007546562346695732
azimuth,http://purl.obolibrary.org/obo/CL_0009086,endothelial cell of respiratory system lymphatic vessel,27836,0.01126669824273446
azimuth,http://purl.obolibrary.org/obo/CL_0002633,respiratory basal cell,26522,0.006837965506510431
azimuth,http://purl.obolibrary.org/obo/CL_0000236,B cell,18416,0.008384080780673864
azimuth,http://purl.obolibrary.org/obo/CL_0000860,classical monocyte,18270,0.01239584237264808
azimuth,http://purl.obolibrary.org/obo/CL_0002399,CD1c-positive myeloid dendritic cell,17978,0.008303281043757396
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,Non-classical monocytes,17568,0.023435918776899777
azimuth,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast cell,13858,0.008876220612435634
azimuth,http://purl.obolibrary.org/obo/CL_0000583,alveolar macrophage,11986,0.01787152351034716
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,Transitional Club-AT2,9210,0.008629577964664443
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,Monocyte-derived M��,7404,0.01071070458690579
azimuth,http://purl.obolibrary.org/obo/CL_0000097,mast cell,7128,0.0032596484246546734
