organ,as_label,ct_label,gene_symbol,as,ct,gene
Large Intestine,descending colon,endothelial cell of high endothelial venule,MADCAM1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002652,http://identifiers.org/hgnc/6765
Large Intestine,descending colon,macrophage,MRC1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/7228
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,MS4A1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7315
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,NCAM1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7656
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,B3GAT1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/921
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,CD8A,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1706
Large Intestine,descending colon,mast cell,SLC16A1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/10922
Large Intestine,descending colon,mature neutrophil,FCGR3A,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000096,http://identifiers.org/hgnc/3619
Large Intestine,descending colon,mature neutrophil,FUT4,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000096,http://identifiers.org/hgnc/4015
Large Intestine,descending colon,mast cell,KIT,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/6342
Large Intestine,descending colon,ganglion,MAP2,http://purl.obolibrary.org/obo/UBERON_0001158,https://purl.org/ccf/ASCTB-TEMP_ganglion,http://identifiers.org/hgnc/6839
Large Intestine,descending colon,ganglion,PRPH,http://purl.obolibrary.org/obo/UBERON_0001158,https://purl.org/ccf/ASCTB-TEMP_ganglion,http://identifiers.org/hgnc/9461
Large Intestine,descending colon,Schwann cell,BST2,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/1119
Large Intestine,descending colon,dendritic cell,CD74,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/1697
Large Intestine,descending colon,dendritic cell,IL3RA,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/6012
Large Intestine,descending colon,dendritic cell,ITGAX,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/6152
Large Intestine,descending colon,Schwann cell,CD274,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/17635
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,IL7R,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6024
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,KIT,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6342
Large Intestine,descending colon,lymphocyte of large intestine lamina propria,KLRB1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6373
Large Intestine,descending colon,adipocyte,BID,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000136,http://identifiers.org/hgnc/1050
Large Intestine,descending colon,endothelial cell of arteriole,CD34,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/1662
Large Intestine,descending colon,endothelial cell of arteriole,CD36,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/1663
Large Intestine,descending colon,endothelial cell of arteriole,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/8823
Large Intestine,descending colon,smooth muscle cell of large intestine,SMTN,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000279,http://identifiers.org/hgnc/11126
Large Intestine,descending colon,smooth muscle cell of large intestine,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000279,http://identifiers.org/hgnc/130
Large Intestine,descending colon,interstitial cell of Cajal,CD34,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/1662
Large Intestine,descending colon,interstitial cell of Cajal,KIT,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/6342
Large Intestine,descending colon,endothelial cell of lymphatic vessel,UCHL1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/12513
Large Intestine,descending colon,endothelial cell of lymphatic vessel,NCAM1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/7656
Large Intestine,descending colon,endothelial cell of lymphatic vessel,CD274,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/17635
Large Intestine,descending colon,smooth muscle cell,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130
Large Intestine,descending colon,mesothelial cell of visceral peritoneum,KRT8,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6446
Large Intestine,descending colon,mesothelial cell of visceral peritoneum,CALB2,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/1435
Large Intestine,descending colon,mesothelial cell of visceral peritoneum,KRT18,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6430
Large Intestine,descending colon,pericyte,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/8823
Large Intestine,transverse colon,mast cell,SLC16A1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/10922
Large Intestine,transverse colon,mature neutrophil,FCGR3A,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000096,http://identifiers.org/hgnc/3619
Large Intestine,transverse colon,mature neutrophil,FUT4,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000096,http://identifiers.org/hgnc/4015
