tool,organ,cell_label,dataset_count
azimuth,UBERON:0002048,Alveolar M�� proliferating,4
azimuth,UBERON:0002048,Interstitial M�� perivascular,29
azimuth,UBERON:0002048,Monocyte-derived M��,45
azimuth,UBERON:0002048,Non-classical monocytes,45
azimuth,UBERON:0002048,Transitional Club-AT2,43
azimuth,UBERON:0002113,"Descending Vasa Recta Endothelial ",228
azimuth,UBERON:0002113,"Peritubular Capilary Endothelial ",231
celltypist,UBERON:0000059,Activated CD4 T,12
celltypist,UBERON:0000059,Activated CD8 T,21
celltypist,UBERON:0000059,Activated T,38
celltypist,UBERON:0000059,Adult Glia,39
celltypist,UBERON:0000059,BEST2+ Goblet cell,39
celltypist,UBERON:0000059,BEST4+ epithelial,38
celltypist,UBERON:0000059,Branch A1 (iMN),33
celltypist,UBERON:0000059,Branch A2 (IPAN/IN),37
celltypist,UBERON:0000059,Branch A3 (IPAN/IN),30
celltypist,UBERON:0000059,Branch A4 (IN),37
celltypist,UBERON:0000059,Branch B1 (eMN),37
celltypist,UBERON:0000059,Branch B2 (eMN),27
celltypist,UBERON:0000059,Branch B3 (IPAN),35
celltypist,UBERON:0000059,CD8 Tmem,34
celltypist,UBERON:0000059,CLC+ Mast cell,32
celltypist,UBERON:0000059,CLDN10+ cells,31
celltypist,UBERON:0000059,CLP,34
celltypist,UBERON:0000059,CX3CR1+ CD8 Tmem,26
celltypist,UBERON:0000059,Colonocyte,38
celltypist,UBERON:0000059,Contractile pericyte (PLN+),39
celltypist,UBERON:0000059,Cycling B cell,39
celltypist,UBERON:0000059,Cycling plasma cell,39
celltypist,UBERON:0000059,D cells (SST+),32
celltypist,UBERON:0000059,DZ GC cell,30
celltypist,UBERON:0000059,Differentiating glia,19
celltypist,UBERON:0000059,Distal progenitor,30
celltypist,UBERON:0000059,EC cells (NPW+),29
celltypist,UBERON:0000059,EC cells (TAC1+),32
celltypist,UBERON:0000059,EECs,39
celltypist,UBERON:0000059,ENCC/glia Progenitor,25
celltypist,UBERON:0000059,Enterocyte,32
celltypist,UBERON:0000059,FCRL4+ Memory B,20
celltypist,UBERON:0000059,FDC,26
celltypist,UBERON:0000059,Fetal arterial EC,32
celltypist,UBERON:0000059,Fetal venous EC,36
celltypist,UBERON:0000059,GC B cell,22
celltypist,UBERON:0000059,Germ,30
celltypist,UBERON:0000059,Glia 1 (DHH+),25
celltypist,UBERON:0000059,Glia 2 (ELN+),33
celltypist,UBERON:0000059,Glia 3 (BCAN+),39
celltypist,UBERON:0000059,Goblet cell,39
celltypist,UBERON:0000059,I cells (CCK+),33
celltypist,UBERON:0000059,ICC,26
celltypist,UBERON:0000059,ILC2,26
celltypist,UBERON:0000059,ILC3,29
celltypist,UBERON:0000059,ILCP,33
celltypist,UBERON:0000059,IgA plasma cell,26
celltypist,UBERON:0000059,IgG plasma cell,35
celltypist,UBERON:0000059,IgM plasma cell,5
celltypist,UBERON:0000059,Immature B,14
celltypist,UBERON:0000059,Immature pericyte,23
celltypist,UBERON:0000059,K cells (GIP+),28
celltypist,UBERON:0000059,L cells (PYY+),36
celltypist,UBERON:0000059,LEC1 (ACKR4+),37
celltypist,UBERON:0000059,LEC2 (MADCAM1+),19
celltypist,UBERON:0000059,LEC3 (ADGRG3+),34
celltypist,UBERON:0000059,LEC4 (STAB2+),36
celltypist,UBERON:0000059,LEC5 (CLDN11+),26
celltypist,UBERON:0000059,LEC6 (ADAMTS4+),38
celltypist,UBERON:0000059,LTi-like NCR+ ILC3,15
celltypist,UBERON:0000059,LTi-like NCR- ILC3,19
