organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0000948,heart,Female,sc_transcriptomics,heart left ventricle,interventricular septum,0.47493288370533320956,64,14
UBERON:0000948,heart,Male,sc_transcriptomics,heart left ventricle,interventricular septum,0.44773859031112185333,64,14
UBERON:0000948,heart,Male,sc_transcriptomics,heart right ventricle,heart left ventricle,0.45618985493925202322,29,64
UBERON:0000948,heart,Female,sc_transcriptomics,heart right ventricle,heart left ventricle,0.46807829893787846067,29,64
UBERON:0000948,heart,Male,sc_transcriptomics,left cardiac atrium,heart left ventricle,0.35973382750775849267,14,64
UBERON:0000948,heart,Female,sc_transcriptomics,left cardiac atrium,heart left ventricle,0.29979787427893019378,14,64
UBERON:0000948,heart,Female,sc_transcriptomics,right cardiac atrium,heart left ventricle,0.27573689343979916767,16,64
UBERON:0000948,heart,Male,sc_transcriptomics,right cardiac atrium,heart left ventricle,0.39465316095738027189,16,64
UBERON:0000948,heart,Male,sc_transcriptomics,heart right ventricle,interventricular septum,0.50546929839432363478,29,14
UBERON:0000948,heart,Female,sc_transcriptomics,heart right ventricle,interventricular septum,0.53966439406051096644,29,14
UBERON:0000948,heart,Female,sc_transcriptomics,left cardiac atrium,interventricular septum,0.28259091020723537567,14,14
UBERON:0000948,heart,Male,sc_transcriptomics,left cardiac atrium,interventricular septum,0.34321328793108380744,14,14
UBERON:0000948,heart,Female,sc_transcriptomics,right cardiac atrium,interventricular septum,0.27392424991671956844,16,14
UBERON:0000948,heart,Male,sc_transcriptomics,right cardiac atrium,interventricular septum,0.39504536943559963856,16,14
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,hilum of kidney,0.07204603070270837,9,2
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,hilum of kidney,0.07204603070270837,9,2
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal column,hilum of kidney,1.0000000000000002,12,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal column,hilum of kidney,1.0000000000000002,12,2
UBERON:0002370,thymus,Male,sc_transcriptomics,left thymus lobe,right thymus lobe,1,4,4
UBERON:0002370,thymus,Female,sc_transcriptomics,left thymus lobe,right thymus lobe,0.9999999999999999,4,4
UBERON:0000948,heart,Female,sc_transcriptomics,left cardiac atrium,heart right ventricle,0.24436779951048333622,14,29
UBERON:0000948,heart,Male,sc_transcriptomics,left cardiac atrium,heart right ventricle,0.38551543251497042022,14,29
UBERON:0000948,heart,Male,sc_transcriptomics,right cardiac atrium,heart right ventricle,0.42170609351686672,16,29
UBERON:0000948,heart,Female,sc_transcriptomics,right cardiac atrium,heart right ventricle,0.23985957969393564344,16,29
UBERON:0000948,heart,Female,sc_transcriptomics,heart right ventricle,Posteromedial head of posterior papillary muscle of left ventricle,0.53966439406051093222,29,6
UBERON:0000948,heart,Female,sc_transcriptomics,left cardiac atrium,Posteromedial head of posterior papillary muscle of left ventricle,0.28259091020723536567,14,6
UBERON:0000948,heart,Female,sc_transcriptomics,interventricular septum,Posteromedial head of posterior papillary muscle of left ventricle,0.55862525581568142078,14,6
UBERON:0000948,heart,Female,sc_transcriptomics,right cardiac atrium,Posteromedial head of posterior papillary muscle of left ventricle,0.27392424991671956444,16,6
UBERON:0000948,heart,Female,sc_transcriptomics,heart left ventricle,Posteromedial head of posterior papillary muscle of left ventricle,0.47493288370533318756,64,6
UBERON:0004539,right kidney,Female,sc_transcriptomics,kidney capsule,kidney pyramid,0.8985094272424741,7,87
