organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFHeart,UBERON:0000948,Posteromedial head of posterior papillary muscle of left ventricle,4401.498768462402,0,1,36,0,6,44,0,50,Adip1; Adipocyte; Adip2; Endocardial; EC7_endocardial; NK; cardiac endothelial cell; cardiac muscle cell; B; SMC1_basic; EC6_ven; T; NK_CD56hi; MAIT-like; Capillary Endothelial; EC3_cap; EC2_cap; EC1_cap; fibroblast of cardiac tissue; hepatocyte; B_plasma; Lymphatic Endothelial; EC8_ln; Fibroblast; FB1; FB3; FB4_activated; FB5; macrophage; Macrophage; LYVE1+IGF1+MP; LYVE1+TIMD4+MP; LYVE1+MP_cycling; Arterial Endothelial; EC5_art; PC1_vent; Pericyte; smooth muscle cell; Smooth Muscle; Mast; Venous Endothelial; Neuronal; Monocyte/cDC; CD8+T_trans; CD8+T_te; EC4_immune; Endothelial; T/NK_cycling; CD8+T_cytox; CD16+Mo; Mesothelial; CD8+T_em; Neut; CD4+T_Th1; DC; CD4+T_Tfh; CD4+T_reg; CD4+T_Th17; ILC; CD4+T_naive; CD4+T_act; NK_CD16hi; NC1_glial; vCM1; Atrial Cardiomyocyte; vCM2; Ventricular Cardiomycoyte; aCM5; CD14+Mo; vCM3_stressed; NC2_glial_NGF+; aCM2; aCM1; CD4+T_Th2; gdT; SAN_P_cell,391.875
VHFHeart,UBERON:0000948,heart left ventricle,229312.7801882646,102,7,138,0,7,46,23,53,cardiac endothelial cell; CD8+T_te; EC10_CMC-like; EC4_immune; Endothelial; EC9_FB-like; T/NK_cycling; B_plasma; NK_CD56hi; Neut; CD4+T_Th1; Monocyte/cDC; CD8+T_trans; T; NK; cardiac muscle cell; fibroblast of cardiac tissue; SMC1_basic; EC6_ven; MAIT-like; Neuronal; Venous Endothelial; hepatocyte; smooth muscle cell; Smooth Muscle; EC1_cap; Capillary Endothelial; EC3_cap; EC2_cap; EC5_art; Arterial Endothelial; FB1; Fibroblast; FB2; FB4_activated; FB5; FB3; EC8_ln; Lymphatic Endothelial; AVN_P_cell; vCM4; Ventricular Cardiomycoyte; vCM1; vCM2; vCM3_stressed; Atrial Cardiomyocyte; aCM2; aCM1; aCM4; aCM3; aCM5; CD8+T_cytox; CD16+Mo; Meso; Mesothelial; CD8+T_em; DC; CD4+T_Tfh; CD4+T_reg; CD4+T_Th17; CD4+T_naive; ILC; CD14+Mo; NC2_glial_NGF+; NC1_glial; CD4+T_act; NK_CD16hi; LYVE1+TIMD4+MP; macrophage; Macrophage; LYVE1+IGF1+MP; LYVE1+MP_cycling; Mast; Pericyte; PC1_vent; PC3_str; PC2_atria; PC4_CMC-like; Purkinje_cell; gdT; SAN_P_cell; Adip1; Adipocyte; Adip3; Adip2; Endocardial; EC7_endocardial; B; CD4+T_Th2; AVN_bundle_cell,464.57821173300734716280
VHFHeart,UBERON:0000948,heart right ventricle,73521.72645229718,49,2,85,0,6,45,22,51,Adip1; Adipocyte; Adip2; B; EC7_endocardial; Endocardial; SMC1_basic; NK; EC6_ven; T; fibroblast of cardiac tissue; cardiac endothelial cell; cardiac muscle cell; hepatocyte; B_plasma; MAIT-like; NK_CD56hi; EC1_cap; Capillary Endothelial; EC2_cap; EC3_cap; EC5_art; Arterial Endothelial; EC4_immune; EC10_CMC-like; Endothelial; Mesothelial; Meso; CD8+T_em; T/NK_cycling; EC8_ln; Lymphatic Endothelial; FB1; Fibroblast; FB3; FB4_activated; FB5; macrophage; Macrophage; LYVE1+IGF1+MP; LYVE1+TIMD4+MP; LYVE1+MP_cycling; MoMP; Mast; Pericyte; PC3_str; PC1_vent; PC2_atria; Smooth Muscle; smooth muscle cell; Venous Endothelial; CD8+T_te; Neuronal; Monocyte/cDC; CD8+T_trans; CD14+Mo; CD4+T_act; Ventricular Cardiomycoyte; vCM1; vCM2; vCM4; vCM3_stressed; aCM1; Atrial Cardiomyocyte; aCM5; aCM2; NC1_glial; NC2_glial_NGF+; NK_CD16hi; CD4+T_reg; CD4+T_Th17; ILC; CD16+Mo; CD8+T_cytox; CD4+T_Tfh; Neut; CD4+T_Th1; DC; gdT; SAN_P_cell; AVN_P_cell; CD4+T_naive; CD4+T_Th2,367.65603574792456136508
VHFHeart,UBERON:0000948,interventricular septum,65894.53465930313,0,1,36,0,6,44,19,50,Adip1; Adipocyte; Adip2; Pericyte; PC1_vent; CD4+T_Tfh; CD4+T_reg; CD4+T_Th17; ILC; SMC1_basic; Mast; Lymphatic Endothelial; EC8_ln; Fibroblast; FB1; FB3; FB4_activated; FB5; CD8+T_em; Neut; CD4+T_Th1; DC; MAIT-like; Atrial Cardiomyocyte; aCM1; aCM5; aCM2; NK_CD16hi; CD14+Mo; Ventricular Cardiomycoyte; vCM1; vCM2; vCM3_stressed; NC2_glial_NGF+; NC1_glial; CD4+T_act; EC6_ven; T; NK; cardiac endothelial cell; fibroblast of cardiac tissue; hepatocyte; CD4+T_Th2; gdT; SAN_P_cell; Smooth Muscle; smooth muscle cell; Venous Endothelial; Neuronal; Monocyte/cDC; CD8+T_trans; CD8+T_te; EC4_immune; Endothelial; T/NK_cycling; CD8+T_cytox; CD16+Mo; Mesothelial; cardiac muscle cell; NK_CD56hi; B_plasma; Capillary Endothelial; EC3_cap; EC2_cap; EC1_cap; Endocardial; EC7_endocardial; B; Arterial Endothelial; EC5_art; Macrophage; LYVE1+IGF1+MP; LYVE1+TIMD4+MP; macrophage; LYVE1+MP_cycling; CD4+T_naive,390.04174573055028462998
VHFHeart,UBERON:0000948,left cardiac atrium,21499.01206134312,49,1,49,0,6,42,22,48,Smooth Muscle; smooth muscle cell; B; Mast; T; NK; cardiac endothelial cell; cardiac muscle cell; fibroblast of cardiac tissue; EC6_ven; Macrophage; LYVE1+TIMD4+MP; macrophage; LYVE1+IGF1+MP; hepatocyte; B_plasma; NK_CD56hi; MAIT-like; EC1_cap; Capillary Endothelial; EC3_cap; EC2_cap; Arterial Endothelial; EC5_art; Fibroblast; FB2; FB1; FB3; Lymphatic Endothelial; EC8_ln; Purkinje_cell; Atrial Cardiomyocyte; aCM1; aCM4; aCM3; Ventricular Cardiomycoyte; vCM1; vCM4; vCM2; NC1_glial; CD4+T_act; NK_CD16hi; CD14+Mo; ILC; CD4+T_naive; Monocyte/cDC; CD8+T_trans; CD8+T_te; EC10_CMC-like; Endothelial; EC4_immune; T/NK_cycling; CD8+T_cytox; CD16+Mo; Mesothelial; Meso; CD8+T_em; Neut; Neuronal; Endocardial; EC7_endocardial; Adipocyte; Adip1; Adip2; SMC2_art; SMC1_basic; Venous Endothelial; Pericyte; PC1_vent; PC2_atria; CD4+T_Th1; DC; CD4+T_Th2; CD4+T_Tfh; CD4+T_reg,219.00320883070209215762
VHFHeart,UBERON:0000948,right cardiac atrium,33225.9013445354,36,1,36,0,6,41,26,47,Endocardial; EC7_endocardial; B; SMC2_art; SMC1_basic; EC6_ven; T; NK; cardiac endothelial cell; cardiac muscle cell; fibroblast of cardiac tissue; hepatocyte; Lymphatic Endothelial; EC8_ln; macrophage; Macrophage; LYVE1+IGF1+MP; MoMP; LYVE1+TIMD4+MP; AVN_P_cell; Atrial Cardiomyocyte; aCM2; aCM3; aCM1; vCM3_stressed; vCM1; Ventricular Cardiomycoyte; vCM4; NC1_glial; NC2_glial_NGF+; CD14+Mo; CD4+T_act; NK_CD16hi; Mast; Pericyte; PC2_atria; PC4_CMC-like; CD8+T_trans; CD8+T_te; Endothelial; EC10_CMC-like; EC4_immune; Smooth Muscle; smooth muscle cell; T/NK_cycling; Venous Endothelial; Neuronal; Monocyte/cDC; CD8+T_cytox; CD16+Mo; B_plasma; NK_CD56hi; MAIT-like; Capillary Endothelial; EC1_cap; EC2_cap; CD8+T_em; CD4+T_Th1; Adipocyte; Adip2; Adip1; Fibroblast; FB3; FB4_activated; FB2; DC; CD4+T_Tfh; CD4+T_reg; CD4+T_Th2; ILC; CD4+T_naive; Meso; Mesothelial; Arterial Endothelial; EC5_art,148.80668042300748001032
VHFLargeIntestine,UBERON:0000059,ascending colon,47324.75753238545,0,2,2,0,135,30,37,165,"mast cell; B cell; B; NK; plasma cell; Plasma; fibroblast; Lymphatic; CD8-positive, alpha-beta T cell; CD8+ T; ICC; Enterocyte; CD66+ Enterocyte; MUC1+ Enterocyte; Endothelial; CD4-positive, alpha-beta T cell; CD4+ T cell; neutrophil; Neutrophil; TRGV5/7 gdT; �� cells (INS+); Branch A4 (IN); Stromal 2 (NPY+); Mesothelium; LEC2 (MADCAM1+); ILC3; Mesoderm 2 (ZEB2+); Smooth muscle; DC; enterocyte of epithelium of large intestine; large intestine goblet cell; Stroma; Nerve; TA; Cycling TA; Goblet; Neuroendocrine; Paneth; M2 Macrophage; Mast cell; monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; arterial capillary; intestinal crypt stem cell of large intestine; Tuft; K cells (GIP+); TRDV2/TRGV9 gdT; BEST2+ Goblet cell; cycling EC; RBC; Cycling B cell; Fetal venous EC; CD8 Tmem; Glia 1 (DHH+); Mesothelium (PRG4+); N cells (NTS+); cycling neuroblast; I cells (CCK+); Macrophages; Distal progenitor; Stromal 2 (CH25H+); cDC1; IgG plasma cell; LTi-like NCR+ ILC3; LTi-like NCR- ILC3; mLN Stroma (FMO2+); SELL+ CD8 T; Glia 3 (BCAN+); LEC3 (ADGRG3+); gut endothelial cell; intestinal enteroendocrine cell; M1 Macrophage; Th17; M/X cells (MLN/GHRL+); DZ GC cell; Activated CD8 T; Pro-B; cDC2; Mesothelium (RGS5+); Treg; FDC; TRGV4 gdT; Th1; MMP9+ Inflammatory macrophage; Lymphoid DC; CLDN10+ cells; MAIT cell; Germ; Branch A3 (IPAN/IN); SELL+ CD4 T; D cells (SST+); CLP; ILCP; Neuroblast; MPO+ mono-neutrophil; Immature B; Pre-B; EC cells (TAC1+); pDC; Megakaryocyte; Fetal arterial EC; Immature pericyte; Branch B3 (IPAN); Stromal 4 (MMP1+); GC B cell; ENCC/glia Progenitor; Naive B; EC cells (NPW+); LZ GC cell; Differentiating glia; epithelial cell of large intestine; CD7+ Immune; Stromal 3 (KCNN3+); SMC (PLPP2+); L cells (PYY+); Branch A1 (iMN); Branch B1 (eMN); myofibroblast (RSPO2+); myofibroblast; Glia 2 (ELN+); BEST4+ epithelial; STAT1+ Naive B; Memory B; Microfold cell; EECs; Stromal 1 (CCL11+); NK T cell; Mature venous EC; ILC2; LEC5 (CLDN11+); Branch B2 (eMN); T reticular; angiogenic pericyte; Mature arterial EC; IgA plasma cell; Branch A2 (IPAN/IN); Stem cells; LEC4 (STAB2+); Pericyte; cycling ENCC/glia; LEC6 (ADAMTS4+); LYVE1+ Macrophage; CLC+ Mast cell; Adult Glia; Contractile pericyte (PLN+); Proximal progenitor; mLTo; NK cell; Progenitor (NEUROG3+); Goblet cell; Stromal 3 (C7+); Colonocyte; TRGV2 gdT; IgM plasma cell; CD57+ Enterocyte; Mesoderm 1 (HAND1+); Cycling plasma cell; Transitional Stromal 3 (C3+); Tfh; Monocytes; Activated T; LEC1 (ACKR4+); CX3CR1+ CD8 Tmem; venous capillary; SMC (PART1/CAPN3+); FCRL4+ Memory B; Activated CD4 T; gdT",150.37800115244253793457
VHFLargeIntestine,UBERON:0000059,caecum,22571.84589429639,0,2,2,0,135,30,36,165,"CD8-positive, alpha-beta T cell; CD8+ T; ICC; Enterocyte; CD66+ Enterocyte; MUC1+ Enterocyte; Endothelial; CD4-positive, alpha-beta T cell; CD4+ T cell; neutrophil; Neutrophil; Stroma; Nerve; TA; Cycling TA; Goblet; Neuroendocrine; Paneth; M2 Macrophage; Smooth muscle; DC; enterocyte of epithelium of large intestine; large intestine goblet cell; Mast cell; monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; arterial capillary; intestinal crypt stem cell of large intestine; Mesoderm 1 (HAND1+); Cycling plasma cell; SELL+ CD8 T; Transitional Stromal 3 (C3+); Stromal 3 (KCNN3+); SMC (PLPP2+); mLN Stroma (FMO2+); Tfh; Monocytes; cDC2; myofibroblast; Fetal arterial EC; Naive B; Cycling B cell; Activated T; LEC1 (ACKR4+); Neuroblast; Adult Glia; Contractile pericyte (PLN+); SELL+ CD4 T; Proximal progenitor; Treg; mLTo; NK cell; Glia 2 (ELN+); cDC1; Progenitor (NEUROG3+); L cells (PYY+); Goblet cell; Stromal 3 (C7+); Colonocyte; myofibroblast (RSPO2+); ILC2; BEST4+ epithelial; Memory B; BEST2+ Goblet cell; Megakaryocyte; LEC3 (ADGRG3+); Tuft; ILC3; Immature pericyte; Mature venous EC; Glia 3 (BCAN+); Branch A1 (iMN); EECs; SMC (PART1/CAPN3+); TRGV2 gdT; IgG plasma cell; CD8 Tmem; CX3CR1+ CD8 Tmem; cycling neuroblast; Th1; TRDV2/TRGV9 gdT; ILCP; FDC; M/X cells (MLN/GHRL+); TRGV5/7 gdT; Th17; Distal progenitor; EC cells (TAC1+); gdT; pDC; gut endothelial cell; intestinal enteroendocrine cell; N cells (NTS+); CLDN10+ cells; cycling ENCC/glia; Glia 1 (DHH+); Branch A4 (IN); venous capillary; LTi-like NCR+ ILC3; LTi-like NCR- ILC3; Fetal venous EC; NK T cell; ENCC/glia Progenitor; Mesothelium (PRG4+); MAIT cell; Lymphoid DC; Germ; Activated CD8 T; I cells (CCK+); Microfold cell; RBC; Branch A3 (IPAN/IN); TRGV4 gdT; Stromal 1 (CCL11+); EC cells (NPW+); T reticular; LEC6 (ADAMTS4+); LYVE1+ Macrophage; D cells (SST+); Branch B2 (eMN); cycling EC; Mesothelium (RGS5+); Pro-B; CLC+ Mast cell; Branch B1 (eMN); angiogenic pericyte; MPO+ mono-neutrophil; Stromal 4 (MMP1+); MMP9+ Inflammatory macrophage; LEC5 (CLDN11+); Mature arterial EC; IgA plasma cell; Branch A2 (IPAN/IN); Macrophages; Stem cells; B cell; B; NK; plasma cell; Plasma; Lymphatic; mast cell; fibroblast; Pre-B; Stromal 2 (CH25H+); Pericyte; Branch B3 (IPAN); CLP; M1 Macrophage; CD7+ Immune; CD57+ Enterocyte; STAT1+ Naive B; Stromal 2 (NPY+); DZ GC cell; K cells (GIP+); epithelial cell of large intestine; GC B cell; Activated CD4 T; Differentiating glia; Immature B; LEC2 (MADCAM1+); �� cells (INS+); IgM plasma cell; Mesothelium; FCRL4+ Memory B; Mesoderm 2 (ZEB2+); LZ GC cell; LEC4 (STAB2+)",150.36127928402211108186
VHFLargeIntestine,UBERON:0000059,descending colon,136105.177158006,3,3,3,0,134,29,37,163,"Enterocyte; CD66+ Enterocyte; MUC1+ Enterocyte; Endothelial; CD4-positive, alpha-beta T cell; CD4+ T cell; neutrophil; Neutrophil; Stroma; Nerve; CD8-positive, alpha-beta T cell; CD8+ T; ICC; NK; plasma cell; Plasma; Lymphatic; fibroblast; mast cell; B cell; B; K cells (GIP+); LTi-like NCR+ ILC3; LTi-like NCR- ILC3; angiogenic pericyte; SMC (PART1/CAPN3+); Megakaryocyte; Tuft; Branch B1 (eMN); Stromal 3 (KCNN3+); DZ GC cell; FCRL4+ Memory B; NK cell; L cells (PYY+); Stromal 1 (CCL11+); IgG plasma cell; Glia 2 (ELN+); Differentiating glia; Stromal 2 (CH25H+); Cycling TA; TA; Goblet; Neuroendocrine; M2 Macrophage; Smooth muscle; DC; enterocyte of epithelium of large intestine; large intestine goblet cell; Mast cell; monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; arterial capillary; intestinal crypt stem cell of large intestine; Stromal 4 (MMP1+); MMP9+ Inflammatory macrophage; EC cells (TAC1+); Activated CD8 T; Branch B3 (IPAN); Th17; Th1; LEC3 (ADGRG3+); Immature B; Branch B2 (eMN); Neuroblast; Branch A1 (iMN); Branch A3 (IPAN/IN); TRGV5/7 gdT; Naive B; Activated CD4 T; ENCC/glia Progenitor; Mesothelium; Monocytes; gut endothelial cell; intestinal enteroendocrine cell; M1 Macrophage; CD7+ Immune; Goblet cell; NK T cell; Colonocyte; LYVE1+ Macrophage; myofibroblast (RSPO2+); Microfold cell; Cycling plasma cell; MAIT cell; Transitional Stromal 3 (C3+); Proximal progenitor; LEC4 (STAB2+); Activated T; Adult Glia; I cells (CCK+); Stromal 3 (C7+); D cells (SST+); EECs; mLTo; Stem cells; RBC; Stromal 2 (NPY+); Cycling B cell; BEST4+ epithelial; Contractile pericyte (PLN+); Tfh; Fetal venous EC; cDC1; cycling EC; ILC2; Pro-B; Memory B; Branch A2 (IPAN/IN); Lymphoid DC; Branch A4 (IN); LEC6 (ADAMTS4+); Progenitor (NEUROG3+); myofibroblast; IgA plasma cell; Mature arterial EC; Mature venous EC; pDC; TRGV4 gdT; �� cells (INS+); Fetal arterial EC; Mesoderm 1 (HAND1+); LEC1 (ACKR4+); Glia 1 (DHH+); Pre-B; N cells (NTS+); cycling neuroblast; LEC2 (MADCAM1+); Mesoderm 2 (ZEB2+); Immature pericyte; Paneth; T reticular; ILC3; CX3CR1+ CD8 Tmem; Treg; CLDN10+ cells; SMC (PLPP2+); STAT1+ Naive B; MPO+ mono-neutrophil; BEST2+ Goblet cell; SELL+ CD8 T; ILCP; Mesothelium (RGS5+); cDC2; Glia 3 (BCAN+); SELL+ CD4 T; FDC; Macrophages; CLC+ Mast cell; TRDV2/TRGV9 gdT; Germ; CD8 Tmem; Distal progenitor; Pericyte; mLN Stroma (FMO2+); cycling ENCC/glia; M/X cells (MLN/GHRL+); LEC5 (CLDN11+); EC cells (NPW+); LZ GC cell; TRGV2 gdT; Mesothelium (PRG4+); CLP; cycling stromal; GC B cell; epithelial cell of large intestine; venous capillary; CD57+ Enterocyte",192.48888888888888888889
VHFLargeIntestine,UBERON:0000059,sigmoid colon,29159.38870030583,3,3,3,0,131,29,37,160,"Smooth muscle; DC; enterocyte of epithelium of large intestine; large intestine goblet cell; Mast cell; monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; M2 Macrophage; pDC; EC cells (NPW+); K cells (GIP+); Megakaryocyte; NK T cell; RBC; MAIT cell; FCRL4+ Memory B; IgA plasma cell; Germ; ILC3; Neuroblast; cycling neuroblast; CLDN10+ cells; Activated CD4 T; Immature pericyte; ICC; ILCP; Differentiating glia; TRDV2/TRGV9 gdT; M/X cells (MLN/GHRL+); gut endothelial cell; intestinal enteroendocrine cell; M1 Macrophage; CD7+ Immune; Goblet cell; Cycling B cell; LEC4 (STAB2+); Cycling plasma cell; myofibroblast; Activated T; Microfold cell; Tfh; EECs; TRGV2 gdT; Adult Glia; mLTo; STAT1+ Naive B; Mature arterial EC; myofibroblast (RSPO2+); TA; CD8 Tmem; T reticular; LEC3 (ADGRG3+); Stromal 3 (KCNN3+); L cells (PYY+); Transitional Stromal 3 (C3+); Stem cells; Tuft; Pre-B; Lymphoid DC; Branch A4 (IN); DZ GC cell; I cells (CCK+); NK cell; Stromal 1 (CCL11+); Pro-B; Branch B3 (IPAN); IgG plasma cell; Mature venous EC; N cells (NTS+); Contractile pericyte (PLN+); Pericyte; Branch B1 (eMN); BEST4+ epithelial; BEST2+ Goblet cell; LYVE1+ Macrophage; Glia 3 (BCAN+); Th1; Glia 1 (DHH+); mLN Stroma (FMO2+); LTi-like NCR- ILC3; cycling EC; arterial capillary; intestinal crypt stem cell of large intestine; CLC+ Mast cell; Branch B2 (eMN); Progenitor (NEUROG3+); epithelial cell of large intestine; CD57+ Enterocyte; Activated CD8 T; Mesothelium (PRG4+); LEC2 (MADCAM1+); Branch A1 (iMN); Fetal arterial EC; Naive B; Macrophages; CX3CR1+ CD8 Tmem; Mesoderm 1 (HAND1+); Branch A3 (IPAN/IN); Stromal 2 (NPY+); LZ GC cell; ENCC/glia Progenitor; Treg; venous capillary; Immature B; Fetal venous EC; SMC (PLPP2+); Distal progenitor; SELL+ CD4 T; Enterocyte; Branch A2 (IPAN/IN); Glia 2 (ELN+); Monocytes; B cell; B; NK; plasma cell; Plasma; Lymphatic; fibroblast; mast cell; CD8-positive, alpha-beta T cell; CD8+ T; cDC2; cycling ENCC/glia; MMP9+ Inflammatory macrophage; TRGV5/7 gdT; cDC1; LEC5 (CLDN11+); Th17; angiogenic pericyte; Colonocyte; Proximal progenitor; Mesothelium; GC B cell; EC cells (TAC1+); Memory B; CLP; MPO+ mono-neutrophil; FDC; SELL+ CD8 T; LEC6 (ADAMTS4+); Mesothelium (RGS5+); TRGV4 gdT; ILC2; D cells (SST+); Stromal 3 (C7+); SMC (PART1/CAPN3+); Stromal 2 (CH25H+); LEC1 (ACKR4+); Paneth; Stromal 4 (MMP1+); CD4-positive, alpha-beta T cell; CD4+ T cell; neutrophil; Neutrophil; Stroma; Nerve; Cycling TA; Goblet; Neuroendocrine; CD66+ Enterocyte; MUC1+ Enterocyte; Endothelial",135.76060694484972278961
