organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFHeart,UBERON:0000948,Posteromedial head of posterior papillary muscle of left ventricle,4401.498768462402,0,1,1,0,4,21,0,25,"CD14-positive monocyte; mature NK T cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell; epicardial adipocyte; fibroblast; B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; dendritic cell; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; mast cell; native cell; natural killer cell; neural cell; pericyte; smooth muscle cell; vein endothelial cell; regular ventricular cardiac myocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell",308.75
VHFHeart,UBERON:0000948,aortic valve,3612.978819642568,0,1,1,0,4,22,2,26,"CD14-positive monocyte; mature NK T cell; mesothelial cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell; epicardial adipocyte; fibroblast; B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; dendritic cell; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; mast cell; native cell; natural killer cell; neural cell; pericyte; smooth muscle cell; vein endothelial cell; regular atrial cardiac myocyte; CD14-positive, CD16-positive monocyte; activated CD8-positive, alpha-beta T cell; activated CD4-positive, alpha-beta T cell",162.02453987730061349693
VHFHeart,UBERON:0000948,heart left ventricle,229312.7801882646,6,8,7,1,22,24,22,46,"natural killer cell; neural cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell; epicardial adipocyte; fibroblast; Fibroblast; CD14-positive monocyte; mature NK T cell; mesothelial cell; mast cell; native cell; B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; dendritic cell; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; pericyte; smooth muscle cell; vein endothelial cell; B; regular ventricular cardiac myocyte; Ventricular Cardiomycoyte; Capillary Endothelial; Adipocyte; Neuronal; Mast; Monocyte/cDC; Pericyte; Mesothelial; Venous Endothelial; NK; Endocardial; Arterial Endothelial; T; Atrial Cardiomyocyte; Lymphatic Endothelial; Endothelial; Macrophage; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; Smooth Muscle",660.38633625881948029599
VHFHeart,UBERON:0000948,heart right ventricle,78714.75572486868,1,3,3,0,22,24,22,46,"B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; fibroblast; Fibroblast; CD14-positive monocyte; Lymphatic Endothelial; Pericyte; Arterial Endothelial; Ventricular Cardiomycoyte; Neuronal; Venous Endothelial; NK; T; Mesothelial; Endocardial; Capillary Endothelial; Monocyte/cDC; Adipocyte; Endothelial; B; Macrophage; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; Mast; Atrial Cardiomyocyte; Smooth Muscle; natural killer cell; neural cell; pericyte; smooth muscle cell; vein endothelial cell; dendritic cell; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; mast cell; native cell; mature NK T cell; mesothelial cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell; epicardial adipocyte",465.64388981890123268909
VHFHeart,UBERON:0000948,interventricular septum,65894.53465930313,0,2,2,0,22,23,19,45,"mature NK T cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell; epicardial adipocyte; B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; dendritic cell; fibroblast; natural killer cell; neural cell; pericyte; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; mast cell; native cell; smooth muscle cell; vein endothelial cell; Macrophage; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; Mast; Atrial Cardiomyocyte; Smooth Muscle; Lymphatic Endothelial; Pericyte; Arterial Endothelial; Ventricular Cardiomycoyte; Neuronal; Venous Endothelial; NK; T; Mesothelial; Endocardial; Capillary Endothelial; Monocyte/cDC; Adipocyte; Endothelial; B; Fibroblast; CD14-positive monocyte",668.57896588111150193458
VHFHeart,UBERON:0000948,left cardiac atrium,18115.96846829785,0,1,1,0,4,22,22,26,"neural cell; pericyte; smooth muscle cell; vein endothelial cell; regular atrial cardiac myocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell; CD14-positive monocyte; mature NK T cell; mesothelial cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell; epicardial adipocyte; fibroblast; B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; native cell; natural killer cell; dendritic cell; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; mast cell",161.91530208921513269339
VHFHeart,UBERON:0000948,right cardiac atrium,33225.90134453539,2,2,2,0,8,25,26,33,"B cell; capillary endothelial cell; CD4-positive, alpha-beta cytotoxic T cell; dendritic cell; endothelial cell; endothelial cell of artery; endothelial cell of lymphatic vessel; macrophage; fibroblast; mast cell; native cell; natural killer cell; neural cell; pericyte; smooth muscle cell; vein endothelial cell; Endothelial cell; Muscle; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte; Immune (lymphocyte); Adipocyte; Immune (myeloid); Glia; CD14-positive, CD16-positive monocyte; activated CD8-positive, alpha-beta T cell; epicardial adipocyte; Fibroblast; CD14-positive monocyte; mature NK T cell; mesothelial cell; monocyte; CD8-positive, alpha-beta cytotoxic T cell",260.46539440203562340967
VHFLargeIntestine,UBERON:0000059,ascending colon,46838.66491802995,0,2,2,0,20,5,37,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; M2 Macrophage; B; TA; Endothelial; Plasma; Enterocyte; Paneth; Smooth muscle; Neuroendocrine; Stroma; ICC; CD57+ Enterocyte; Goblet; DC; CD66+ Enterocyte; MUC1+ Enterocyte; M1 Macrophage; CD7+ Immune; NK; Cycling TA,753.88
VHFLargeIntestine,UBERON:0000059,caecum,31765.15370754535,0,2,2,0,20,5,36,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; M2 Macrophage; B; Enterocyte; Plasma; MUC1+ Enterocyte; M1 Macrophage; Endothelial; ICC; Paneth; TA; Goblet; Neuroendocrine; Smooth muscle; Cycling TA; DC; CD66+ Enterocyte; Stroma; CD7+ Immune; NK; CD57+ Enterocyte,753.88
VHFLargeIntestine,UBERON:0000059,descending colon,140721.8643302251,2,2,1,1,20,5,37,25,NK; Stroma; TA; DC; M2 Macrophage; Paneth; Plasma; Neuroendocrine; CD7+ Immune; Smooth muscle; Endothelial; Cycling TA; ICC; MUC1+ Enterocyte; CD57+ Enterocyte; CD66+ Enterocyte; Enterocyte; Goblet; M1 Macrophage; B; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve,820.16
