sample,rui_location,organ,organId,modality,cell_id,cell_label,cell_count,percentage_of_total
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,https://purl.org/ccf/ASCTB-TEMP_ec-general-capillary,EC general capillary,7291.892,0.1008619550775057
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,https://purl.org/ccf/ASCTB-TEMP_at2,AT2,6962.093,0.09630015247228252
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,https://purl.org/ccf/ASCTB-TEMP_at1,AT1,6182.928000000001,0.08552268823831352
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,http://purl.obolibrary.org/obo/CL_0000583,alveolar macrophage,6037.463,0.08351060628546102
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,5928.33,0.08200107107245
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,5778.949000000001,0.07993482273643064
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,https://purl.org/ccf/ASCTB-TEMP_cd8-t-cells,CD8 T cells,4644.072,0.06423712548686983
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,2900.921,0.04012574014883832
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,https://purl.org/ccf/ASCTB-TEMP_cd4-t-cells,CD4 T cells,2648.18,0.03662980913556443
http://purl.org/ccf/1.5/NHLBI/D032#Donor_TissueBlock1,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,respiratory system,UBERON:0001004,bulk,http://purl.obolibrary.org/obo/CL_0000084,T cell,2523.545,0.0349058491851037
