dataset,reported_organ,modality,as,similarity
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001248,0.000009142706854839822
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.0001907625555213787
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.9999999999999999
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.96189869064484
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001223,0.0049686624133847244
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.00017685565074865235
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.9664202770339225
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.96143468265481
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001228,0.00420456478154806
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002015,0.003721863179726323
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002189,0.001809615419215145
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004887,0.014020265826062013
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010417,0.000005075060228398868
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0008716,0.002095458134263889
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002007,0.000005132589933178781
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002078,0.017142859547785418
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001284,0.0050796911134618
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004888,0.009036906118784589
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.9469153141596366
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002080,0.01773154769852978
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.8582850926640087
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010397,0.0000037771841035213247
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002094,0.010801204767775168
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004536,0.000005802231132114162
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002194,0.000005261396745882283
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002084,0.013181485017705276
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004200,0.0020766422456455374
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010748,0.000005459286359418312
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7361,0.010834640443030256
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7385,0.00884317337764258
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma15828,0.0000075541457618161684
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14929,0.9064874409593995
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7430,0.01333312889388399
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14928,0.8805440632423418
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7400,0.00460838031968244
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7339,0.049211304156935816
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14966,0.9459516193281036
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7366,0.011142684182223363
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7416,0.027273112150693883
