dataset,reported_organ,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002007,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002094,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002080,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001284,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001228,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001248,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.org/sig/ont/fma/fma14928,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.org/sig/ont/fma/fma14966,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.org/sig/ont/fma/fma14930,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.org/sig/ont/fma/fma14929,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0004536,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001223,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002078,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002084,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002189,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0006082,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0010397,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002015,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002097,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0002194,0.2
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,,spatial,http://purl.obolibrary.org/obo/UBERON_0004200,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001223,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001248,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002015,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002094,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001284,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001228,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002084,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002078,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002080,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002097,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002189,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0010397,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002194,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0004200,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.2
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,,spatial,http://purl.obolibrary.org/obo/UBERON_0002007,0.2
