tool,organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B cell,http://purl.obolibrary.org/obo/CL_0000236,20.83333333333333333333,750
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,49.66666666666666666667,1788
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,T cell,http://purl.obolibrary.org/obo/CL_0000084,75.16666666666666666667,2706
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,capillary endothelial cell,http://purl.obolibrary.org/obo/CL_0002144,1361.66666666666666666667,49020
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endocardial cell,http://purl.obolibrary.org/obo/CL_0002350,10.6,318
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,1.5,18
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413,85.16666666666666666667,3066
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,9.2,276
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell of venule,http://purl.obolibrary.org/obo/CL_1000414,63.5,2286
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,fat cell,http://purl.obolibrary.org/obo/CL_0000136,20.5,738
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,kidney interstitial fibroblast,http://purl.obolibrary.org/obo/CL_0000057,999.66666666666666666667,35988
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,macrophage,http://purl.obolibrary.org/obo/CL_0000235,116.16666666666666666667,4182
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,mast cell,http://purl.obolibrary.org/obo/CL_0000097,33,1188
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077,23,138
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,myeloid cell,http://purl.obolibrary.org/obo/CL_0000763,291,10476
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,164.8,4944
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,pericyte,http://purl.obolibrary.org/obo/CL_0000669,987.5,35550
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,regular atrial cardiac myocyte,http://purl.obolibrary.org/obo/CL_0002129,3.66666666666666666667,66
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,regular ventricular cardiac myocyte,http://purl.obolibrary.org/obo/CL_0002131,2355,84780
azimuth,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,173.66666666666666666667,6252
azimuth,VHFHeart,heart left ventricle,B cell,http://purl.obolibrary.org/obo/CL_0000236,173.57142857142857142857,18225
azimuth,VHFHeart,heart left ventricle,Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,52.61267605633802816901,7471
azimuth,VHFHeart,heart left ventricle,T cell,http://purl.obolibrary.org/obo/CL_0000084,78.55633802816901408451,11155
azimuth,VHFHeart,heart left ventricle,capillary endothelial cell,http://purl.obolibrary.org/obo/CL_0002144,1129.95774647887323943662,160454
azimuth,VHFHeart,heart left ventricle,endocardial cell,http://purl.obolibrary.org/obo/CL_0002350,43.70114942528735632184,3802
azimuth,VHFHeart,heart left ventricle,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,2.4375,78
azimuth,VHFHeart,heart left ventricle,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413,93.83802816901408450704,13325
azimuth,VHFHeart,heart left ventricle,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,16.52459016393442622951,2016
azimuth,VHFHeart,heart left ventricle,endothelial cell of venule,http://purl.obolibrary.org/obo/CL_1000414,108.26760563380281690141,15374
azimuth,VHFHeart,heart left ventricle,fat cell,http://purl.obolibrary.org/obo/CL_0000136,48.11851851851851851852,6496
azimuth,VHFHeart,heart left ventricle,innate lymphoid cell,http://purl.obolibrary.org/obo/CL_0001065,1.4,14
azimuth,VHFHeart,heart left ventricle,kidney interstitial fibroblast,http://purl.obolibrary.org/obo/CL_0000057,1527.90140845070422535211,216962
azimuth,VHFHeart,heart left ventricle,macrophage,http://purl.obolibrary.org/obo/CL_0000235,149,21158
azimuth,VHFHeart,heart left ventricle,mast cell,http://purl.obolibrary.org/obo/CL_0000097,55.73809523809523809524,7023
azimuth,VHFHeart,heart left ventricle,mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077,75.28571428571428571429,3162
azimuth,VHFHeart,heart left ventricle,myeloid cell,http://purl.obolibrary.org/obo/CL_0000763,217.83098591549295774648,30932
azimuth,VHFHeart,heart left ventricle,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,85.94573643410852713178,11087
azimuth,VHFHeart,heart left ventricle,pericyte,http://purl.obolibrary.org/obo/CL_0000669,1152.73943661971830985915,163689
azimuth,VHFHeart,heart left ventricle,regular atrial cardiac myocyte,http://purl.obolibrary.org/obo/CL_0002129,9.31506849315068493151,680
azimuth,VHFHeart,heart left ventricle,regular ventricular cardiac myocyte,http://purl.obolibrary.org/obo/CL_0002131,3696.34507042253521126761,524881
azimuth,VHFHeart,heart left ventricle,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,186.88571428571428571429,26164
azimuth,VHFHeart,heart right ventricle,B cell,http://purl.obolibrary.org/obo/CL_0000236,85.27586206896551724138,4946
azimuth,VHFHeart,heart right ventricle,Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,41.88372093023255813953,3602
azimuth,VHFHeart,heart right ventricle,T cell,http://purl.obolibrary.org/obo/CL_0000084,53.80232558139534883721,4627
azimuth,VHFHeart,heart right ventricle,capillary endothelial cell,http://purl.obolibrary.org/obo/CL_0002144,880.11627906976744186047,75690
azimuth,VHFHeart,heart right ventricle,endocardial cell,http://purl.obolibrary.org/obo/CL_0002350,25.54794520547945205479,1865
azimuth,VHFHeart,heart right ventricle,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,3.1,62
azimuth,VHFHeart,heart right ventricle,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413,77.77215189873417721519,6144
