dataset,technology,description,annotation_method,ct_cnt
https://entity.api.hubmapconsortium.org/entities/8cdb42ed1194255c74c8462b99bbd7ef,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,30
https://entity.api.hubmapconsortium.org/entities/045a7d6bcca6e1d22c7f6dee032ce25a,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,30
https://entity.api.hubmapconsortium.org/entities/176edb4b0e16059522f6f087576fbeec,RNAseq,Dataset Type: RNAseq [Salmon],popv,31
https://entity.api.hubmapconsortium.org/entities/149e1be22a4961f9c6240480710836a3,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,43
https://entity.api.hubmapconsortium.org/entities/0430a44e418219aafce608f4286b2a9b,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,46
https://entity.api.hubmapconsortium.org/entities/03e021cda976339676187e8597d7c485,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,35
https://entity.api.hubmapconsortium.org/entities/045a7d6bcca6e1d22c7f6dee032ce25a,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,57
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,10x,"Data/Assay Types: 10x, ",celltypist,67
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,56
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
https://entity.api.hubmapconsortium.org/entities/85fa094cbdb29173e0a3463dce0790fc,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,60
https://entity.api.hubmapconsortium.org/entities/922fdad6086766febc2f4a71059d6f82,RNAseq,Dataset Type: RNAseq [Salmon],popv,31
https://entity.api.hubmapconsortium.org/entities/0b590c9e3a62178da592e85572e2f1bf,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,55
https://entity.api.hubmapconsortium.org/entities/056c97623fca0f1414572b68aca69cee,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,59
https://entity.api.hubmapconsortium.org/entities/58167d0f778284d5b95af782bd8132da,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,32
https://entity.api.hubmapconsortium.org/entities/634511b7c63c16cfb51dc867c65cfc91,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,40
https://entity.api.hubmapconsortium.org/entities/62efbe0a6abd0bcf53ab9ab29e7cd73f,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,27
https://entity.api.hubmapconsortium.org/entities/0119a79114328c9b2802771bed6611f5,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,29
https://entity.api.hubmapconsortium.org/entities/18b8ab61674cf05024456cde49ac67bb,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,28
https://entity.api.hubmapconsortium.org/entities/81d8286998779f11d424210f19276941,RNAseq,Dataset Type: RNAseq [Salmon],popv,10
https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
https://entity.api.hubmapconsortium.org/entities/86ad3859bb98f5d35e5f2ce553e64164,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,24
https://entity.api.hubmapconsortium.org/entities/87023a2c65ec7aaa439af2a55c77cbb5,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,28
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D150$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,58
https://entity.api.hubmapconsortium.org/entities/7f1e932a91a86ef58ed61ee19c175c18,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,42
https://entity.api.hubmapconsortium.org/entities/8fc6de017a39057be8e19737ce5eff67,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,29
https://entity.api.hubmapconsortium.org/entities/93e233e001463fea35d8617c34da098c,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,28
https://entity.api.hubmapconsortium.org/entities/032d7b6b0b4c3c66772c7dbee2fe9606,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
https://entity.api.hubmapconsortium.org/entities/0b0ef5c2b8786644f0b6bdef1c1d7a4f,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
https://entity.api.hubmapconsortium.org/entities/171bd6114652ce2a1ff0e4757b5eaef9,RNAseq,Dataset Type: RNAseq [Salmon],popv,28
https://entity.api.hubmapconsortium.org/entities/949827f25f423d54663f09596351795d,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,44
https://entity.api.hubmapconsortium.org/entities/93e233e001463fea35d8617c34da098c,RNAseq,Dataset Type: RNAseq [Salmon],popv,31
https://entity.api.hubmapconsortium.org/entities/8b65acdfecc504e9a96c84643c3ab02c,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,47
https://entity.api.hubmapconsortium.org/entities/04968c1fe0149ee367b0e53af55763e4,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
https://entity.api.hubmapconsortium.org/entities/056c97623fca0f1414572b68aca69cee,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,28
https://entity.api.hubmapconsortium.org/entities/046251c94ea0e79ee935dd3de57e093c,RNAseq,Dataset Type: RNAseq [Salmon],popv,19
https://entity.api.hubmapconsortium.org/entities/0d1eb3d774a694b79e844987f771b183,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,31
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,14
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,55
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,OTHER,"Data/Assay Types: OTHER, ",popv,28
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,47
https://entity.api.hubmapconsortium.org/entities/2dac500177620d78ca174c2c1d36a6c8,RNAseq,Dataset Type: RNAseq [Salmon],popv,32
https://entity.api.hubmapconsortium.org/entities/3c22b735beed13a206fa6d0af9762564,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,30
https://entity.api.hubmapconsortium.org/entities/2d0deacd8be70eefbdc33ac107d97e58,RNAseq,Dataset Type: RNAseq [Salmon],popv,6
https://entity.api.hubmapconsortium.org/entities/323c68262eb07f786041b6253e9e83ca,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,33
https://entity.api.hubmapconsortium.org/entities/35234b5e3eda236bb80ef3722da366f7,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,40
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D231$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,47
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,29
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,18
https://entity.api.hubmapconsortium.org/entities/91cfb45f5d398e950ed65786c87f4372,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,26
https://entity.api.hubmapconsortium.org/entities/922fdad6086766febc2f4a71059d6f82,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,59
https://entity.api.hubmapconsortium.org/entities/853ab5348f619043ab2f997ac8ae14f0,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,32
https://entity.api.hubmapconsortium.org/entities/56060793c38c82d8c312e5e05d5d189b,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
https://entity.api.hubmapconsortium.org/entities/61f4223d67ed09c9b167ebeae12c1532,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,45
https://entity.api.hubmapconsortium.org/entities/5bc39f0a0deb7632f5cb9650d5e7067c,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,34
https://entity.api.hubmapconsortium.org/entities/615462a0e4aa133d8b19644c404e3eeb,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,43
https://entity.api.hubmapconsortium.org/entities/072b4d43162c40f48ee9ef3f341c7269,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,19
https://entity.api.hubmapconsortium.org/entities/17fb6d5db17936acc8fb613ce98ab808,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,41
https://entity.api.hubmapconsortium.org/entities/0b1017f6a9d71c4e75125e7144b62795,RNAseq,Dataset Type: RNAseq [Salmon],popv,31
https://entity.api.hubmapconsortium.org/entities/17f67cb15e59f65e640d85d2f3866cde,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,20
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,59
https://entity.api.hubmapconsortium.org/entities/6015aa7cd30a4522b7e18ec617617619,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,50
https://entity.api.hubmapconsortium.org/entities/5ee0b172de3ea493e0da2e7f743b3631,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,58
https://entity.api.hubmapconsortium.org/entities/15882fef75843d5cef518853a0e8246d,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,45
https://entity.api.hubmapconsortium.org/entities/17f67cb15e59f65e640d85d2f3866cde,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,51
https://entity.api.hubmapconsortium.org/entities/0f35f3bd23a8f773c7213d558338e74d,RNAseq,Dataset Type: RNAseq [Salmon],popv,12
https://entity.api.hubmapconsortium.org/entities/072b4d43162c40f48ee9ef3f341c7269,RNAseq,Dataset Type: RNAseq [Salmon],popv,6
https://entity.api.hubmapconsortium.org/entities/0219f5ba7743f0fc59d027eb23c5187d,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,26
https://entity.api.hubmapconsortium.org/entities/0bcea0ab24e8bc5b0529b6f4d899ddad,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,36
https://entity.api.hubmapconsortium.org/entities/0daec302e2745287b29948a8c8c30cf1,CODEX,Dataset Type: CODEX,spatial,25
https://entity.api.hubmapconsortium.org/entities/176edb4b0e16059522f6f087576fbeec,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,35
https://entity.api.hubmapconsortium.org/entities/85dcbf66b078d61015a6e1c1f971d7d8,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,44
https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620,RNAseq,Dataset Type: RNAseq [Salmon],popv,11
https://entity.api.hubmapconsortium.org/entities/7b4d9ca7452ea1303ecca268db1fccba,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,60
https://entity.api.hubmapconsortium.org/entities/9305d53ae8c0dd565a088cd45f20e0c8,RNAseq,Dataset Type: RNAseq [Salmon],popv,30
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,37
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,20
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,26
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,10x,"Data/Assay Types: 10x, ",popv,6
https://entity.api.hubmapconsortium.org/entities/0b590c9e3a62178da592e85572e2f1bf,RNAseq,Dataset Type: RNAseq [Salmon],popv,27
https://entity.api.hubmapconsortium.org/entities/10b22d398b548c141167d4d9c4cbd79e,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,43
https://entity.api.hubmapconsortium.org/entities/0119a79114328c9b2802771bed6611f5,RNAseq,Dataset Type: RNAseq [Salmon],popv,30
https://entity.api.hubmapconsortium.org/entities/007f3dfaaa287d5c7c227651f61a9c5b,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,20
https://entity.api.hubmapconsortium.org/entities/85fa094cbdb29173e0a3463dce0790fc,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,30
https://entity.api.hubmapconsortium.org/entities/7e7d753ec5074f5d7ae987c47f1c3c0b,RNAseq,Dataset Type: RNAseq [Salmon],popv,32
https://entity.api.hubmapconsortium.org/entities/0c4b78ba3e001f58bb973ac51783d10c,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,31
https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda,RNAseq,Dataset Type: RNAseq [Salmon],popv,15
https://entity.api.hubmapconsortium.org/entities/072b4d43162c40f48ee9ef3f341c7269,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,52
https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
https://entity.api.hubmapconsortium.org/entities/020117a381ac84a941c974b939ea3115,RNAseq,Dataset Type: RNAseq [Salmon],popv,27
https://entity.api.hubmapconsortium.org/entities/611d301d6755508efd91a6d924d7c400,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,18
https://entity.api.hubmapconsortium.org/entities/643d4afbd87752a89d7643faed261aba,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,55
https://entity.api.hubmapconsortium.org/entities/6b5d4d3a6af69a3bb82c4768cd24396c,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,35
https://entity.api.hubmapconsortium.org/entities/65e850415322baad58626e3a228478dc,Cell Dive,Dataset Type: Cell Dive,spatial,4
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,28
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,OTHER,"Data/Assay Types: OTHER, ",popv,26
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,17
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,48
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D150$lung,OTHER,"Data/Assay Types: OTHER, ",popv,30
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,18
