organ,side,sex,modality,status,dataset_cnt,cell_cnt
blood,,female,sc_bulk,Non-Atlas,1332,31040
blood,,male,sc_bulk,Non-Atlas,1037,24201
blood,,unknown,sc_bulk,Non-Atlas,35,761
blood vasculature,,female,sc_bulk,Non-Atlas,5,74
blood vasculature,,male,sc_bulk,Non-Atlas,5,100
bone marrow,,female,sc_bulk,Non-Atlas,24,269
bone marrow,,male,sc_bulk,Non-Atlas,35,359
bone marrow,,unknown,sc_bulk,Non-Atlas,58,447
brain,,female,sc_bulk,Non-Atlas,234,4241
brain,,male,sc_bulk,Non-Atlas,211,3872
brain,,unknown,sc_bulk,Non-Atlas,63,516
eye,,female,sc_bulk,Non-Atlas,42,467
eye,,male,sc_bulk,Non-Atlas,71,719
eye,,unknown,sc_bulk,Non-Atlas,30,274
heart,,female,sc_bulk,Atlas,50,16730
heart,,female,sc_bulk,Non-Atlas,71,1594
heart,,male,sc_bulk,Atlas,68,24514
heart,,male,sc_bulk,Non-Atlas,130,2687
kidney,,female,sc_bulk,Non-Atlas,76,2120
kidney,,male,sc_bulk,Non-Atlas,82,2490
kidney,left,unknown,sc_bulk,Atlas,8,269
kidney,left,female,sc_bulk,Atlas,71,9172
kidney,left,male,sc_bulk,Atlas,80,8808
kidney,right,unknown,sc_bulk,Atlas,1,37
kidney,right,female,sc_bulk,Atlas,35,4414
kidney,right,male,sc_bulk,Atlas,95,14893
large intestine,,female,sc_bulk,Atlas,14,1358
large intestine,,female,sc_bulk,Non-Atlas,60,611
large intestine,,female,spatial,Atlas,8,1200
large intestine,,male,sc_bulk,Atlas,27,2422
large intestine,,male,sc_bulk,Non-Atlas,67,650
large intestine,,male,spatial,Atlas,24,3600
large intestine,,unknown,sc_bulk,Non-Atlas,9,103
liver,,female,sc_bulk,Atlas,1,17
liver,,female,sc_bulk,Non-Atlas,29,372
liver,,male,sc_bulk,Atlas,2,153
liver,,male,sc_bulk,Non-Atlas,22,261
liver,,unknown,sc_bulk,Non-Atlas,6,94
lung,,female,sc_bulk,Atlas,43,19326
lung,,female,sc_bulk,Non-Atlas,267,9360
lung,,male,sc_bulk,Atlas,91,39754
lung,,male,sc_bulk,Non-Atlas,372,13687
lung,,unknown,sc_bulk,Non-Atlas,26,866
lymph node,,female,sc_bulk,Non-Atlas,23,787
lymph node,,male,sc_bulk,Non-Atlas,27,957
lymph node,,unknown,sc_bulk,Non-Atlas,24,1475
male reproductive system,,male,sc_bulk,Atlas,4,192
male reproductive system,,male,sc_bulk,Non-Atlas,2,26
mammary gland,,female,sc_bulk,Atlas,3,37
mammary gland,right,female,sc_bulk,Atlas,3,185
pancreas,,female,sc_bulk,Non-Atlas,21,243
pancreas,,male,sc_bulk,Non-Atlas,22,256
prostate gland,,male,sc_bulk,Atlas,4,48
prostate gland,,male,sc_bulk,Non-Atlas,26,263
skin,,female,sc_bulk,Atlas,1,16
skin,,female,sc_bulk,Non-Atlas,10,189
skin,,female,spatial,Atlas,3,120
skin,,male,sc_bulk,Atlas,3,578
skin,,male,sc_bulk,Non-Atlas,20,395
skin,,male,spatial,Atlas,7,280
small intestine,,female,sc_bulk,Atlas,13,1085
small intestine,,female,sc_bulk,Non-Atlas,60,787
small intestine,,female,spatial,Atlas,8,1200
small intestine,,male,sc_bulk,Atlas,26,1834
small intestine,,male,sc_bulk,Non-Atlas,90,1149
small intestine,,male,spatial,Atlas,24,3600
small intestine,,unknown,sc_bulk,Non-Atlas,20,266
spleen,,female,sc_bulk,Atlas,2,396
spleen,,female,sc_bulk,Non-Atlas,13,237
spleen,,male,sc_bulk,Atlas,9,1776
spleen,,male,sc_bulk,Non-Atlas,12,218
thymus,,female,sc_bulk,Non-Atlas,15,271
thymus,,male,sc_bulk,Non-Atlas,21,368
trachea,,female,sc_bulk,Non-Atlas,9,67
trachea,,male,sc_bulk,Non-Atlas,10,117
ureter,left,female,sc_bulk,Atlas,7,1648
ureter,left,male,sc_bulk,Atlas,19,3704
urinary bladder,,female,sc_bulk,Atlas,6,560
urinary bladder,,male,sc_bulk,Atlas,8,700
uterus,,female,sc_bulk,Non-Atlas,19,207
