dataset,modality,sex,organ,side,organ_id,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
https://api.cellxgene.cziscience.com/dp/v1/collections/02b01703-bf1b-48de-b99a-23bef8cccc81#VS-LN$lymph%20node,sc_bulk,unknown,lymph node,,http://purl.obolibrary.org/obo/UBERON_0000029,94,false,true,false,true,false,CxG,Spatially mapping T cell receptors and transcriptomes,https://doi.org/10.1016/j.immuni.2022.09.002,Sophia Liu
https://api.cellxgene.cziscience.com/dp/v1/collections/02b01703-bf1b-48de-b99a-23bef8cccc81#VS-TON$tonsil,sc_bulk,unknown,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,47,false,true,false,true,false,CxG,Spatially mapping T cell receptors and transcriptomes,https://doi.org/10.1016/j.immuni.2022.09.002,Sophia Liu
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp1$alveolus%20of%20lung,sc_bulk,female,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,32,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp2$alveolus%20of%20lung,sc_bulk,female,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,33,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp3$alveolus%20of%20lung,sc_bulk,female,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,32,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL1$alveolus%20of%20lung,sc_bulk,male,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,34,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL2$alveolus%20of%20lung,sc_bulk,male,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,34,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL3$alveolus%20of%20lung,sc_bulk,female,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,33,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN11$nasal%20cavity,sc_bulk,female,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,37,false,true,false,true,false,CxG,Local and systemic responses to SARS-CoV-2 infection in children and adults,https://doi.org/10.1038/s41586-021-04345-x,Masahiro Yoshida
https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN12$nasal%20cavity,sc_bulk,female,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,17,false,true,false,true,false,CxG,Local and systemic responses to SARS-CoV-2 infection in children and adults,https://doi.org/10.1038/s41586-021-04345-x,Masahiro Yoshida
