organ,side,sex,modality,dataset_cnt,cell_cnt
blood,,female,sc_bulk,1332,31040
blood,,male,sc_bulk,1037,24201
blood,,unknown,sc_bulk,35,761
blood vasculature,,female,sc_bulk,5,74
blood vasculature,,male,sc_bulk,5,100
bone marrow,,female,sc_bulk,24,269
bone marrow,,male,sc_bulk,35,359
bone marrow,,unknown,sc_bulk,58,447
brain,,female,sc_bulk,234,4241
brain,,male,sc_bulk,211,3872
brain,,unknown,sc_bulk,63,516
eye,,female,sc_bulk,42,467
eye,,male,sc_bulk,71,719
eye,,unknown,sc_bulk,30,274
heart,,female,sc_bulk,121,18324
heart,,male,sc_bulk,198,27201
kidney,,female,sc_bulk,76,2120
kidney,,male,sc_bulk,82,2490
kidney,left,unknown,sc_bulk,8,269
kidney,left,female,sc_bulk,71,9172
kidney,left,male,sc_bulk,80,8808
kidney,right,unknown,sc_bulk,1,37
kidney,right,female,sc_bulk,35,4414
kidney,right,male,sc_bulk,95,14893
large intestine,,female,sc_bulk,74,1969
large intestine,,female,spatial,8,1200
large intestine,,male,sc_bulk,94,3072
large intestine,,male,spatial,24,3600
large intestine,,unknown,sc_bulk,9,103
liver,,female,sc_bulk,30,389
liver,,male,sc_bulk,24,414
liver,,unknown,sc_bulk,6,94
lung,,female,sc_bulk,310,28686
lung,,male,sc_bulk,463,53441
lung,,unknown,sc_bulk,26,866
lymph node,,female,sc_bulk,23,787
lymph node,,male,sc_bulk,27,957
lymph node,,unknown,sc_bulk,24,1475
male reproductive system,,male,sc_bulk,6,218
mammary gland,,female,sc_bulk,3,37
mammary gland,right,female,sc_bulk,3,185
pancreas,,female,sc_bulk,21,243
pancreas,,male,sc_bulk,22,256
prostate gland,,male,sc_bulk,30,311
skin,,female,sc_bulk,11,205
skin,,female,spatial,3,120
skin,,male,sc_bulk,23,973
skin,,male,spatial,7,280
small intestine,,female,sc_bulk,73,1872
small intestine,,female,spatial,8,1200
small intestine,,male,sc_bulk,116,2983
small intestine,,male,spatial,24,3600
small intestine,,unknown,sc_bulk,20,266
spleen,,female,sc_bulk,15,633
spleen,,male,sc_bulk,21,1994
thymus,,female,sc_bulk,15,271
thymus,,male,sc_bulk,21,368
trachea,,female,sc_bulk,9,67
trachea,,male,sc_bulk,10,117
ureter,left,female,sc_bulk,7,1648
ureter,left,male,sc_bulk,19,3704
urinary bladder,,female,sc_bulk,6,560
urinary bladder,,male,sc_bulk,8,700
uterus,,female,sc_bulk,19,207
