dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#F16$kidney,Kidney,26,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#F17$kidney,Kidney,31,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#F35$kidney,Kidney,21,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#F38$kidney,Kidney,30,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#F41$kidney,Kidney,28,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#F45$kidney,Kidney,26,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#RCC1$kidney,Kidney,32,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#RCC2$kidney,Kidney,25,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#RCC3$kidney,Kidney,20,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TTx$cortex%20of%20kidney,Kidney,19,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TTx$renal%20medulla,Kidney,22,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK1$cortex%20of%20kidney,Kidney,18,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK1$renal%20medulla,Kidney,25,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK1$renal%20pelvis,Kidney,25,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK2$cortex%20of%20kidney,Kidney,16,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK2$renal%20medulla,Kidney,,false,false,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK3$cortex%20of%20kidney,Kidney,15,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK3$renal%20medulla,Kidney,15,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK4$cortex%20of%20kidney,Kidney,23,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
