organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,kidney pyramid,0.3568704502614363,6,116
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,outer cortex of kidney,0.5091802429744835,6,149
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,outer cortex of kidney,0.5091802429744835,6,149
UBERON:0004538,left kidney,Female,sc_bulk,renal column,outer cortex of kidney,0.9075799078740859,23,149
UBERON:0004539,right kidney,Female,sc_bulk,renal column,outer cortex of kidney,0.9075799078740859,23,149
UBERON:0004538,left kidney,Male,sc_bulk,renal column,outer cortex of kidney,0.5070447229877272,23,149
UBERON:0004539,right kidney,Male,sc_bulk,renal column,outer cortex of kidney,0.5070447229877272,23,149
UBERON:0004538,left kidney,Male,sc_bulk,kidney capsule,outer cortex of kidney,0.5031549373079213,9,149
UBERON:0004539,right kidney,Female,sc_bulk,kidney capsule,outer cortex of kidney,0.854421549557263,9,149
UBERON:0004539,right kidney,Male,sc_bulk,kidney capsule,outer cortex of kidney,0.5031549373079213,9,149
UBERON:0004538,left kidney,Female,sc_bulk,kidney capsule,outer cortex of kidney,0.854421549557263,9,149
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,kidney pyramid,0.3568704502614363,6,116
UBERON:0004538,left kidney,Female,sc_bulk,renal column,kidney pyramid,0.7845253840671997,23,116
UBERON:0004538,left kidney,Female,sc_bulk,kidney capsule,kidney pyramid,0.889667213470029,9,116
UBERON:0004539,right kidney,Male,sc_bulk,outer cortex of kidney,kidney pyramid,0.7833423659936041,149,116
UBERON:0004538,left kidney,Female,sc_bulk,outer cortex of kidney,kidney pyramid,0.9319646063863326,149,116
UBERON:0004539,right kidney,Female,sc_bulk,renal column,kidney pyramid,0.7845253840671997,23,116
UBERON:0004538,left kidney,Male,sc_bulk,renal column,kidney pyramid,0.7164432710110644,23,116
UBERON:0004539,right kidney,Male,sc_bulk,renal column,kidney pyramid,0.7164432710110644,23,116
UBERON:0004538,left kidney,Male,sc_bulk,kidney capsule,kidney pyramid,0.48412803443584335,9,116
UBERON:0004539,right kidney,Female,sc_bulk,kidney capsule,kidney pyramid,0.889667213470029,9,116
UBERON:0004539,right kidney,Male,sc_bulk,kidney capsule,kidney pyramid,0.48412803443584335,9,116
UBERON:0004539,right kidney,Female,sc_bulk,outer cortex of kidney,kidney pyramid,0.9319646063863326,149,116
UBERON:0004538,left kidney,Male,sc_bulk,outer cortex of kidney,kidney pyramid,0.7833423659936041,149,116
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,hilum of kidney,0.1338713098529722,6,8
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,hilum of kidney,0.1338713098529722,6,8
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,kidney capsule,0.9249612531937624,6,9
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,kidney capsule,0.9249612531937624,6,9
UBERON:0004539,right kidney,Female,sc_bulk,kidney pyramid,hilum of kidney,0.7194918122655851,116,8
UBERON:0004538,left kidney,Female,sc_bulk,kidney pyramid,hilum of kidney,0.7194918122655851,116,8
UBERON:0004538,left kidney,Male,sc_bulk,kidney pyramid,hilum of kidney,0.7164432710110649,116,8
UBERON:0004539,right kidney,Male,sc_bulk,kidney pyramid,hilum of kidney,0.7164432710110649,116,8
UBERON:0000059,large intestine,Male,sc_bulk,descending colon,sigmoid colon,0.9586177693555081,19,19
UBERON:0000059,large intestine,Male,spatial,descending colon,sigmoid colon,0.9849517112197308,19,19
UBERON:0000059,large intestine,Female,spatial,descending colon,sigmoid colon,0.588722910462506,19,19
UBERON:0000059,large intestine,Female,sc_bulk,descending colon,sigmoid colon,0.9922173619176924,19,19
UBERON:0000059,large intestine,Male,sc_bulk,rectum,sigmoid colon,1,13,19
UBERON:0000059,large intestine,Male,spatial,rectum,sigmoid colon,0.9999999999999999,13,19
UBERON:0000059,large intestine,Female,sc_bulk,ascending colon,sigmoid colon,0.8317837477905832,18,19
UBERON:0000059,large intestine,Male,sc_bulk,ascending colon,sigmoid colon,0.9123488735148859,18,19
UBERON:0000059,large intestine,Female,spatial,ascending colon,sigmoid colon,0.7778282876292475,18,19
