Organ,Azimuth,CellTypist,popV,hasReferenceOrgan
blood,41,26,18,
bone marrow,43,39,14,
breast mammary gland,0,0,14,x
eye,0,0,27,x
heart,25,49,6,x
hippocampal gyrus (formation),0,20,0,
intestine,0,38,0,
kidney,58,34,0,x
large intestine,0,0,16,x
liver,25,35,12,x
lung,78,71,36,x
lymph node,0,28,22,x
male reproductive system,0,0,13,x
mesenteric lymph node,0,0,22,x
pancreas,11,9,14,x
prostate,0,0,13,x
respiratory system,0,0,36,x
skeletal muscle tissue,0,18,0,
skin of body,0,23,21,x
small intestine,0,0,16,x
spleen,0,32,22,x
thymus,0,0,21,x
trachea,0,0,18,x
urinary bladder,0,0,14,x
uterus,0,0,13,x
vascular system,0,0,14,x
