dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001223,0.34665729897285447
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004200,0.9100920928589199
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001284,0.7586188451798016
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0008716,0.699846738473244
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002015,0.8919141863241608
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001228,0.5264077006337905
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Unknown,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002189,0.9999884709560731
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7360,0.8951889968182285
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma15729,0.03228460128056833
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7374,0.9339086003933489
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,0.0002213636265188907
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma73165,0.03309908221583872
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7398,0.7786013099802784
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7430,0.8052141252083398
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7361,0.8793806473949977
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004888,0.9173005520759016
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7339,0.9687083548102953
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7267,0.024661967342342963
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.00020122921417567715
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7366,0.9545231719044148
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14926,0.0001265930510041462
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7338,0.9494387213895735
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7373,0.9603569484592742
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7402,0.7751786250146011
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7426,0.876820398278719
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14487,0.032284601280568336
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7385,0.9917262666086369
