dataset,reported_organ,tool,modality,corridor,similarity
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/0838235d-f0e1-406b-8133-429be147408d,0.9999935406646516
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/f31c1726-c693-4734-8c1c-4f1d64bbe034,0.9999920673458051
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/64c5c92d-dc07-40c4-a702-cbef17753fa6,0.999989446033468
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/f3f2fabb-6802-4fd4-920e-1914293db252,0.999988732843405
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/2990ecc8-1854-4794-8f11-1b31c5c94e5f,0.9999884709560735
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/cb68d9a5-9884-4eef-afe8-e087cac7bf54,0.9999884709560735
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/5166a7a1-bd21-4aa3-ba20-23453cb4c431,0.9999884709560735
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,0.9999884709560735
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/db35f27d-313f-4dd6-819b-375cf106aac1,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/decfd5b4-07de-4894-bc83-6698cfb1ef8c,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/6a6392a9-8ac1-4666-a684-83d310ca055f,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/d674ff95-4757-404a-b521-0bf66631401e,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/e4853294-071d-4bef-bff3-2fd52a5c6af0,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/ab795728-23ba-4eca-b1ed-c96e69e94ff0,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/df0b33f7-371a-47a4-a636-a27db19bdbc9,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/87be14d0-b753-4a3c-92cf-d486144079fa,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/769ca7e9-ead0-4882-966c-d6f5c273c2ee,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/14b3cd07-fd94-4aac-a467-6a287ca0d4b2,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/8d126897-60f6-433e-a56b-cbe730475742,0.9999884709560732
