dataset,reported_organ,tool,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001153,0.95
http://purl.org/ccf/1.5/000408ff-5c1a-4f08-9565-9175e32c47ac,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001158,0.95
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001158,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001153,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.88235294117647058824
http://purl.org/ccf/1.5/00087766-0287-467c-9060-b52773db3dce,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.88235294117647058824
http://purl.org/ccf/1.5/0016badc-9917-402c-b950-257d77c50b3d,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.88235294117647058824
