as_cnt,organ
98,VHFBloodVasculature
98,VHMBloodVasculature
62,VHFLung
59,VHMLung
56,VHFAllenBrain
56,VHMAllenBrain
31,VHMSpinalCord
30,VHFSpinalCord
24,VHFLeftEye
24,VHFRightEye
24,VHMRightEye
24,VHMLeftEye
23,VHFLiver
23,VHMLiver
17,VHFHeart
17,VHMHeart
14,VHMProstate
13,VHFLeftKnee
13,VHFRightKnee
13,VHMRightKnee
13,VHMLeftKnee
12,VHMSmallIntestine
11,VHFLarynx
11,VHFSmallIntestine
11,VHFLargeIntestine
11,VHMLargeIntestine
11,VHMLarynx
10,VHFUterus
9,VHFRightKidney
9,VHFLeftKidney
9,VHFRightMammaryGland
9,VHMLeftKidney
9,VHMRightKidney
9,VHFLeftMammaryGland
8,VHFPelvis
8,VHMLymphNode
8,VHFLymphNode
8,VHMPelvis
6,VHFSpleen
6,VHFUrinaryBladder
6,VHMUrinaryBladder
6,VHMSpleen
6,VHFPlacenta
6,VHMPancreas
5,VHFMainBronchus
5,VHFPancreas
5,VHFLeftFallopianTube
5,VHMMainBronchus
5,VHFRightFallopianTube
3,VHFTrachea
3,VHMThymus
3,VHFThymus
3,VHMTrachea
1,VHFLeftUreter
1,VHMLeftUreter
1,VHMSkin
1,VHFLeftOvary
1,VHFSkin
1,VHFRightOvary
1,VHFRightUreter
1,VHMLeftPalatineTonsil
1,VHFLeftPalatineTonsil
1,VHFRightPalatineTonsil
1,VHMRightPalatineTonsil
1,VHMRightUreter
