organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
VHFLeftKidney,renal pyramid,B cell,http://purl.obolibrary.org/obo/CL_0000236,200.5,6015
VHFLeftKidney,renal pyramid,"Descending Vasa Recta Endothelial ",https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,553,27097
VHFLeftKidney,renal pyramid,"Peritubular Capilary Endothelial ",https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,228.56521739130434782609,10514
VHFLeftKidney,renal pyramid,Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,9.93103448275862068966,288
VHFLeftKidney,renal pyramid,T cell,http://purl.obolibrary.org/obo/CL_0000084,109.91836734693877551020,5386
VHFLeftKidney,renal pyramid,conventional dendritic cell,http://purl.obolibrary.org/obo/CL_0000990,157.72,3943
VHFLeftKidney,renal pyramid,endothelial cell of arteriole,http://purl.obolibrary.org/obo/CL_1000412,63.04545454545454545455,2774
VHFLeftKidney,renal pyramid,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,26.97222222222222222222,971
VHFLeftKidney,renal pyramid,epithelial cell of early distal convoluted tubule,http://purl.obolibrary.org/obo/CL_4030016,2702.79545454545454545455,118923
VHFLeftKidney,renal pyramid,epithelial cell of late distal convoluted tubule,http://purl.obolibrary.org/obo/CL_4030017,6.69230769230769230769,87
VHFLeftKidney,renal pyramid,epithelial cell of proximal tubule segment 1,http://purl.obolibrary.org/obo/CL_4030009,894.275,35771
VHFLeftKidney,renal pyramid,epithelial cell of proximal tubule segment 2,http://purl.obolibrary.org/obo/CL_4030010,62.6875,1003
VHFLeftKidney,renal pyramid,epithelial cell of proximal tubule segment 3,http://purl.obolibrary.org/obo/CL_4030011,179.88372093023255813953,7735
VHFLeftKidney,renal pyramid,glomerular capillary endothelial cell,http://purl.obolibrary.org/obo/CL_1001005,96.26829268292682926829,3947
