organId,organ,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0000948,heart,interventricular septum,Posteromedial head of posterior papillary muscle of left ventricle,0.9990545465426707,14,6
UBERON:0000948,heart,heart right ventricle,interventricular septum,0.9945217318608393,29,14
UBERON:0000948,heart,heart right ventricle,Posteromedial head of posterior papillary muscle of left ventricle,0.9944113243541881,29,6
UBERON:0000948,heart,heart right ventricle,heart left ventricle,0.979055054616781,29,70
UBERON:0000948,heart,heart left ventricle,interventricular septum,0.967954714894634,70,14
UBERON:0000948,heart,heart left ventricle,Posteromedial head of posterior papillary muscle of left ventricle,0.9605940969668194,70,6
UBERON:0000948,heart,left cardiac atrium,Posteromedial head of posterior papillary muscle of left ventricle,0.9574525115896348,14,6
UBERON:0000948,heart,left cardiac atrium,interventricular septum,0.9448681224752309,14,14
UBERON:0000948,heart,right cardiac atrium,left cardiac atrium,0.9422573632682139,15,14
UBERON:0000948,heart,left cardiac atrium,heart right ventricle,0.9411376382751543,14,29
UBERON:0000948,heart,right cardiac atrium,heart right ventricle,0.9150410561874484,15,29
UBERON:0000948,heart,right cardiac atrium,Posteromedial head of posterior papillary muscle of left ventricle,0.9117194795771209,15,6
UBERON:0000948,heart,right cardiac atrium,interventricular septum,0.9000710603011163,15,14
UBERON:0000948,heart,right cardiac atrium,heart left ventricle,0.8763777219445943,15,70
UBERON:0000948,heart,left cardiac atrium,heart left ventricle,0.8646821797979396,14,70
UBERON:0000059,large intestine,caecum,descending colon,0.9745886822733076,5,19
UBERON:0000059,large intestine,transverse colon,descending colon,0.9664202770339225,17,19
UBERON:0000059,large intestine,transverse colon,sigmoid colon,0.96189869064484,17,19
UBERON:0000059,large intestine,caecum,transverse colon,0.96143468265481,5,17
UBERON:0000059,large intestine,descending colon,sigmoid colon,0.9394994685178456,19,19
UBERON:0000059,large intestine,caecum,sigmoid colon,0.9199901429844143,5,19
UBERON:0000059,large intestine,rectum,ascending colon,0.9113554356576407,13,18
UBERON:0000059,large intestine,caecum,ascending colon,0.00020745297362158882,5,18
UBERON:0000059,large intestine,ascending colon,sigmoid colon,0.00020043112131682444,18,19
UBERON:0000059,large intestine,rectum,caecum,0.00019232930985492775,13,5
UBERON:0000059,large intestine,ascending colon,transverse colon,0.0001907625555213787,18,17
UBERON:0000059,large intestine,rectum,sigmoid colon,0.00018581936215881996,13,19
UBERON:0000059,large intestine,rectum,transverse colon,0.00017685565074865238,13,17
UBERON:0000059,large intestine,ascending colon,descending colon,0.00013288247132524662,18,19
UBERON:0000059,large intestine,rectum,descending colon,0.00012319512010669135,13,19
UBERON:0004538,left kidney,renal column,hilum of kidney,0.9398021415850267,23,8
UBERON:0004538,left kidney,outer cortex of kidney,kidney pyramid,0.9096549086928603,149,116
UBERON:0004538,left kidney,kidney capsule,outer cortex of kidney,0.8897324752843527,9,149
UBERON:0004538,left kidney,renal column,kidney pyramid,0.864349386859434,23,116
UBERON:0004538,left kidney,kidney capsule,kidney pyramid,0.8519067231256479,9,116
UBERON:0004538,left kidney,kidney pyramid,hilum of kidney,0.804471503102105,116,8
UBERON:0004538,left kidney,renal column,outer cortex of kidney,0.758417167655456,23,149
UBERON:0004538,left kidney,outer cortex of kidney,hilum of kidney,0.6996385143507127,149,8
UBERON:0004538,left kidney,renal column,kidney capsule,0.6947917638179433,23,9
UBERON:0004538,left kidney,renal papilla,kidney capsule,0.6718034744321723,6,9
UBERON:0004538,left kidney,kidney capsule,hilum of kidney,0.6430524084865803,9,8
UBERON:0004538,left kidney,renal papilla,outer cortex of kidney,0.5242535235363688,6,149
UBERON:0004538,left kidney,renal papilla,kidney pyramid,0.5231127159471358,6,116
UBERON:0004538,left kidney,renal papilla,renal column,0.4387040405772201,6,23
UBERON:0004538,left kidney,renal papilla,hilum of kidney,0.32517025571456437,6,8
UBERON:0002107,liver,Gastric impression of liver,Diaphragmatic surface of liver,1,2,2
UBERON:0002107,liver,capsule of liver,Gastric impression of liver,1,2,2
UBERON:0002107,liver,capsule of liver,Diaphragmatic surface of liver,0.9999999999999998,2,2
UBERON:0000079,male reproductive system,peripheral zone of prostate,central zone of prostate,1,4,4
UBERON:0002509,mesenteric lymph node,medulla of lymph node,lymph node T cell domain,0.9999960534487514,3,3
UBERON:0002509,mesenteric lymph node,medulla of lymph node,capsule of lymph node,0.9999801707407839,3,3
UBERON:0002509,mesenteric lymph node,capsule of lymph node,lymph node T cell domain,0.9999585317544123,3,3
UBERON:0002509,mesenteric lymph node,capsule of lymph node,lymph node follicle,0.999953003102368,3,3
UBERON:0002509,mesenteric lymph node,medulla of lymph node,lymph node follicle,0.9998721212730312,3,3
UBERON:0002509,mesenteric lymph node,lymph vasculature,lymph node follicle,0.9998578383186908,3,3
UBERON:0002509,mesenteric lymph node,lymph node T cell domain,lymph node follicle,0.9998232465414193,3,3
UBERON:0002509,mesenteric lymph node,capsule of lymph node,lymph vasculature,0.9996473791315121,3,3
UBERON:0002509,mesenteric lymph node,medulla of lymph node,lymph vasculature,0.9994603335587884,3,3
UBERON:0002509,mesenteric lymph node,lymph vasculature,lymph node T cell domain,0.9993641017087578,3,3
UBERON:0002509,mesenteric lymph node,efferent lymphatic vessel,lymph node T cell domain,0.9980217488994364,3,3
UBERON:0002509,mesenteric lymph node,medulla of lymph node,efferent lymphatic vessel,0.9978411802418908,3,3
UBERON:0002509,mesenteric lymph node,capsule of lymph node,efferent lymphatic vessel,0.9974078183295859,3,3
UBERON:0002509,mesenteric lymph node,efferent lymphatic vessel,lymph node follicle,0.9966633366566555,3,3
UBERON:0002509,mesenteric lymph node,lymph vasculature,efferent lymphatic vessel,0.9951453925945152,3,3
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Right anterior segmental bronchus,0.9952548581219851,13,2
UBERON:0001004,respiratory system,left lung hilus,Left anterior segmental bronchus,0.9932163371626209,3,7
UBERON:0001004,respiratory system,Left anterior bronchopulmonary segment,Superior lingular bronchopulmonary segment,0.9923462140248054,13,9
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Superior lingular bronchopulmonary segment,0.9893602938602954,7,9
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Left anterior bronchopulmonary segment,0.9879906208421362,7,13
UBERON:0001004,respiratory system,Right anterior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.9872513894020926,18,8
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Right posterior bronchopulmonary segment,0.9870904769972227,7,13
UBERON:0001004,respiratory system,Inferior lingular bronchopulmonary segment,Left anterior segmental bronchus,0.9863916616780842,5,7
UBERON:0001004,respiratory system,left lung hilus,Inferior lingular bronchopulmonary segment,0.984689748742699,3,5
UBERON:0001004,respiratory system,Right anterior bronchopulmonary segment,Right superior bronchopulmonary segment,0.9843628697935273,18,4
UBERON:0001004,respiratory system,right lung hilus,Left posterior bronchopulmonary segment,0.9820229493695157,2,8
UBERON:0001004,respiratory system,Medial bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.9815792770535594,50,5
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Left anterior bronchopulmonary segment,0.9804397465267962,13,13
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Right anterior bronchopulmonary segment,0.9801799766298024,7,18
UBERON:0001004,respiratory system,Right anterior bronchopulmonary segment,Superior lingular bronchopulmonary segment,0.9800114183513098,18,9
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Right anterior segmental bronchus,0.9792252953194611,7,2
UBERON:0001004,respiratory system,left lung hilus,Lateral bronchopulmonary segment,0.9790509598903118,3,31
UBERON:0001004,respiratory system,Right anterior bronchopulmonary segment,Left anterior bronchopulmonary segment,0.978664135656136,18,13
UBERON:0001004,respiratory system,Right superior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.9784546596095681,4,8
UBERON:0001004,respiratory system,Left anterior bronchopulmonary segment,Right anterior segmental bronchus,0.9780914222099419,13,2
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Right superior bronchopulmonary segment,0.9772345472232798,13,4
UBERON:0001004,respiratory system,Right anterior basal bronchopulmonary segment,Right anterior segmental bronchus,0.9766995803576655,14,2
UBERON:0001004,respiratory system,Lateral bronchopulmonary segment,Left anterior segmental bronchus,0.9766787780166357,31,7
