tool,cell_id,dataset_count
azimuth,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,269
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,124
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,123
azimuth,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,259
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,122
celltypist,https://purl.org/ccf/ASCTB-TEMP_acm1,71
celltypist,https://purl.org/ccf/ASCTB-TEMP_acm2,72
celltypist,https://purl.org/ccf/ASCTB-TEMP_acm3,71
celltypist,https://purl.org/ccf/ASCTB-TEMP_acm4,54
celltypist,https://purl.org/ccf/ASCTB-TEMP_acm5,21
celltypist,https://purl.org/ccf/ASCTB-TEMP_adip1,100
celltypist,https://purl.org/ccf/ASCTB-TEMP_adip2,94
celltypist,https://purl.org/ccf/ASCTB-TEMP_adip3,44
celltypist,https://purl.org/ccf/ASCTB-TEMP_adip4,40
celltypist,https://purl.org/ccf/ASCTB-TEMP_alveolar-mph-ccl3-,122
celltypist,https://purl.org/ccf/ASCTB-TEMP_alveolar-mph-mt-positive,98
celltypist,https://purl.org/ccf/ASCTB-TEMP_alveolar-mph-proliferating,124
celltypist,https://purl.org/ccf/ASCTB-TEMP_at0,126
celltypist,https://purl.org/ccf/ASCTB-TEMP_at2-proliferating,128
celltypist,https://purl.org/ccf/ASCTB-TEMP_avnbundlecell,4
celltypist,https://purl.org/ccf/ASCTB-TEMP_avnpcell,7
celltypist,https://purl.org/ccf/ASCTB-TEMP_b,86
celltypist,https://purl.org/ccf/ASCTB-TEMP_basal-resting,128
celltypist,https://purl.org/ccf/ASCTB-TEMP_basophils,2
celltypist,https://purl.org/ccf/ASCTB-TEMP_bplasma,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_cd14-mo,98
celltypist,https://purl.org/ccf/ASCTB-TEMP_cd16-mo,108
celltypist,https://purl.org/ccf/ASCTB-TEMP_cd4-tact,104
