dataset,reported_organ,sex,tool,modality,as,as_tool,similarity
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,popv,0.15785669928872914
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,popv,0.15785669928872909
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,popv,0.1480576780629169
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,azimuth,0.890651976384128
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,celltypist,0.8286159729465967
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,celltypist,0.5763873569359838
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,azimuth,0.5918152525178018
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,celltypist,0.5261951288395479
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,popv,0.8038465040755137
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,azimuth,0.601976362491018
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,popv,0.7114625270926023
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,celltypist,0.6938036651492642
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,celltypist,0.8519482624900994
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,popv,0.9405506837753833
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,popv,0.9014897791208024
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,azimuth,0.8555934940322859
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77#P5$heart%20left%20ventricle,http://purl.obolibrary.org/obo/UBERON_0000948,Male,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004887,azimuth,0.1905626453348019
