sex,dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#A61$atrioventricular%20node,Heart,24,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#A61$sinoatrial%20node,Heart,5,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH1$atrioventricular%20node,Heart,5,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH1$interventricular%20septum,Heart,6,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH1$sinoatrial%20node,Heart,27,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH2$atrioventricular%20node,Heart,8,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH2$sinoatrial%20node,Heart,11,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH5$sinoatrial%20node,Heart,17,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AH6$atrioventricular%20node,Heart,8,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV1$sinoatrial%20node,Heart,41,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV10$sinoatrial%20node,Heart,3,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV13$atrioventricular%20node,Heart,8,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV13$sinoatrial%20node,Heart,2,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV14$sinoatrial%20node,Heart,37,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV3$sinoatrial%20node,Heart,2,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D3$heart%20right%20ventricle,Heart,6,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D3$interventricular%20septum,Heart,5,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D5$apex%20of%20heart,Heart,12,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D5$heart%20left%20ventricle,Heart,11,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D5$heart%20right%20ventricle,Heart,27,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D5$interventricular%20septum,Heart,6,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D5$left%20cardiac%20atrium,Heart,12,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D5$right%20cardiac%20atrium,Heart,11,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D6$apex%20of%20heart,Heart,7,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D6$heart%20left%20ventricle,Heart,3,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D6$heart%20right%20ventricle,Heart,5,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D6$left%20cardiac%20atrium,Heart,11,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
