sex,dataset,modality,organ,side,organ_id,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
male,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL1$alveolus%20of%20lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,34,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL2$alveolus%20of%20lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,34,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#336$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,25,false,true,false,true,false,CxG,Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH,https://doi.org/10.1101/2020.11.20.20227355,undefined undefined
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#367$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,20,false,true,false,true,false,CxG,Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH,https://doi.org/10.1101/2020.11.20.20227355,undefined undefined
female,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-S070$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,21,false,true,false,true,false,CxG,COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas,https://doi.org/10.1016/j.cell.2021.01.053,Xianwen Ren
female,https://api.cellxgene.cziscience.com/dp/v1/collections/0c3f148e-02ff-4c81-8946-29beaaf5fa59#P9_Epcam-CD235ab-CD45-$lamina%20propria%20of%20large%20intestine,sc_bulk,large intestine,,http://purl.obolibrary.org/obo/UBERON_0000059,24,false,true,false,true,false,CxG,Cell atlas of antigen-presenting and stromal cells from the human intestine,https://doi.org/10.1101/2021.03.28.437379,Thomas M. Fenton
female,https://api.cellxgene.cziscience.com/dp/v1/collections/0c3f148e-02ff-4c81-8946-29beaaf5fa59#P9_Epcam-CD235ab-CD45-$lamina%20propria%20of%20small%20intestine,sc_bulk,small intestine,,http://purl.obolibrary.org/obo/UBERON_0002108,68,false,true,false,true,false,CxG,Cell atlas of antigen-presenting and stromal cells from the human intestine,https://doi.org/10.1101/2021.03.28.437379,Thomas M. Fenton
male,https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK4$cortex%20of%20kidney,sc_bulk,kidney,,http://purl.obolibrary.org/obo/UBERON_0002113,23,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a#2029$colon,sc_bulk,large intestine,,http://purl.obolibrary.org/obo/UBERON_0000059,32,false,true,false,true,false,CxG,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://doi.org/10.1016/j.devcel.2020.11.010,Rasa Elmentaite
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a#2029$duodeno-jejunal%20junction,sc_bulk,small intestine,,http://purl.obolibrary.org/obo/UBERON_0002108,38,false,true,false,true,false,CxG,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://doi.org/10.1016/j.devcel.2020.11.010,Rasa Elmentaite
male,https://api.cellxgene.cziscience.com/dp/v1/collections/1d1c7275-476a-49e2-9022-ad1b1c793594#sanes_Pt2$fovea%20centralis,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,13,false,true,false,true,false,CxG,Cell Atlas of The Human Fovea and Peripheral Retina,https://doi.org/10.1038/s41598-020-66092-9,Wenjun Yan
male,https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780#SCS_2006$kidney,sc_bulk,kidney,,http://purl.obolibrary.org/obo/UBERON_0002113,23,false,true,false,true,false,CxG,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://doi.org/10.1073/pnas.2103240118,Yuping Zhang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/24d42e5e-ce6d-45ff-a66b-a3b3b715deaf#Donor1$bone%20marrow,sc_bulk,bone marrow,,http://purl.obolibrary.org/obo/UBERON_0002371,11,false,true,false,true,false,CxG,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,https://doi.org/10.1038/s41467-019-12464-3,Peter A. Szabo
male,https://api.cellxgene.cziscience.com/dp/v1/collections/26b5b4f6-828c-4791-b4a3-abb19e3b1952#pt04$bone%20marrow,sc_bulk,bone marrow,,http://purl.obolibrary.org/obo/UBERON_0002371,19,false,true,false,true,false,CxG,Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy,https://doi.org/10.1016/j.xcrm.2023.101158,Paolo Strati
male,https://api.cellxgene.cziscience.com/dp/v1/collections/26b5b4f6-828c-4791-b4a3-abb19e3b1952#pt21$bone%20marrow,sc_bulk,bone marrow,,http://purl.obolibrary.org/obo/UBERON_0002371,16,false,true,false,true,false,CxG,Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy,https://doi.org/10.1016/j.xcrm.2023.101158,Paolo Strati
male,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#HDBR14804$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,45,false,true,false,true,false,CxG,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,https://doi.org/10.1016/j.cell.2022.11.005,Peng He
male,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#HDBR14808$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,45,false,true,false,true,false,CxG,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,https://doi.org/10.1016/j.cell.2022.11.005,Peng He
female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc#F49b7_donor$retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,13,false,true,false,true,false,CxG,Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,https://doi.org/10.1016/j.cell.2020.08.013,Cameron S. Cowan
female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc#IMR90.4_donor$retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,14,false,true,false,true,false,CxG,Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,https://doi.org/10.1016/j.cell.2020.08.013,Cameron S. Cowan
female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#Donor_05$lung%20parenchyma,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,28,false,true,false,false,false,CxG,Azimuth meta-analysis of human scRNA-seq datasets,,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#D8$apex%20of%20heart,sc_bulk,heart,,http://purl.obolibrary.org/obo/UBERON_0000948,7,false,true,false,true,false,CxG,Spatially resolved multiomics of human cardiac niches,https://doi.org/10.1038/s41586-023-06311-1,Kazumasa Kanemaru
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/32f2fd23-ec74-486f-9544-e5b2f41725f5#U1$endometrium,sc_bulk,uterus,,http://purl.obolibrary.org/obo/UBERON_0000995,4,false,true,false,true,false,CxG,Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro,https://doi.org/10.1038/s41588-021-00972-2,Luz Garcia-Alonso
