dataset,count_dx,tool,cell_count,tool_cell_count
https://entity.api.hubmapconsortium.org/entities/58167d0f778284d5b95af782bd8132da,-92300,popv,100527,8227
https://entity.api.hubmapconsortium.org/entities/ee6e44b3e6cb77ef1806e722390a01a8,-92300,popv,100527,8227
https://entity.api.hubmapconsortium.org/entities/426940c89892024677d5d26bfbf157a0,-88374,popv,100947,12573
https://entity.api.hubmapconsortium.org/entities/b8afc634e3e2b2a10f759596fa30101c,-88037,popv,100943,12906
https://entity.api.hubmapconsortium.org/entities/668a833e9d3ba0071d8648d6108828df,-85275,popv,100981,15706
https://entity.api.hubmapconsortium.org/entities/8fc6de017a39057be8e19737ce5eff67,-81254,popv,100961,19707
https://entity.api.hubmapconsortium.org/entities/072b4d43162c40f48ee9ef3f341c7269,-78476,popv,100695,22219
https://entity.api.hubmapconsortium.org/entities/a39fed027b51d97f83cec90c63c44744,-74910,popv,100957,26047
https://entity.api.hubmapconsortium.org/entities/23a62a81daa7b6871b4422826d58ce1b,-74909,popv,100957,26048
https://entity.api.hubmapconsortium.org/entities/f7a8e78dea9cf70735059e8b4a179701,-74906,popv,100957,26051
https://entity.api.hubmapconsortium.org/entities/65b09a22752175901f42fe92e84f1c8e,-72570,popv,100858,28288
https://entity.api.hubmapconsortium.org/entities/c939070bed51fbad07814bc5f265d839,-65488,popv,73700,8212
https://entity.api.hubmapconsortium.org/entities/e0bc8680624ee3aa097f52cc0f860f48,-59823,popv,100660,40837
https://entity.api.hubmapconsortium.org/entities/ca35382d67c90d4d9bca1ee16526b1d3,-59481,popv,100608,41127
https://entity.api.hubmapconsortium.org/entities/d8ec264c4660ef7053764f71ae1789d0,-59481,popv,100608,41127
https://entity.api.hubmapconsortium.org/entities/b0f51c557f05bcff69c9eed090c93b79,-57683,popv,100749,43066
https://entity.api.hubmapconsortium.org/entities/85fa094cbdb29173e0a3463dce0790fc,-57682,popv,100749,43067
https://entity.api.hubmapconsortium.org/entities/c6bb00096b0cf40751f9d6003fb730c7,-56489,popv,65248,8759
