rui_location,organ,organ_label,as_label,as_id,intersection_volume,as_volume,tissue_block_volume,total_collision_percentage
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,5531.625,65894.53465930313,7425,8.562
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,883.5749999999999,78714.75572486868,7425,8.562
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,631.125,4401.498768462402,7425,8.562
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,3549.1499999999996,229312.7801882646,7425,8.562
http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,VHMHeart,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,838.3499999999999,121604.2070274211,2430,8.463000000000001
http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,VHMHeart,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,1334.0700000000002,28091.8760666331,2430,8.463000000000001
http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,VHMHeart,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,765.45,73988.45321948585,2430,8.463000000000001
http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,VHMLung,respiratory system,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,75,162410.6783887328,75,6.935999999999999
http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,VHMLung,respiratory system,Lateral segmental bronchus,http://purl.org/sig/ont/fma/fma7402,11.7,665.0720323461572,75,6.935999999999999
http://purl.org/ccf/1.5/9bd653dd-2309-4ecc-b4c8-e9f3de4bf8ca,VHMHeart,heart,left cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002079,696.96,31346.0636820313,720,6.776
http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,VHMHeart,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,2406.144,121604.2070274211,2496,6.748000000000001
http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,VHMHeart,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,3397.6319999999996,121604.2070274211,3584,6.636000000000001
http://purl.org/ccf/1.5/6acd66b8-2659-4626-bef9-a80f135489ad,VHFLung,respiratory system,Lateral segmental bronchus,http://purl.org/sig/ont/fma/fma7402,52.275,588.9754895789944,75,6.54
http://purl.org/ccf/1.5/6acd66b8-2659-4626-bef9-a80f135489ad,VHFLung,respiratory system,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,75,149921.3888392674,75,6.54
http://purl.org/ccf/1.5/6acd66b8-2659-4626-bef9-a80f135489ad,VHFLung,respiratory system,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,36.225,83916.23058980214,75,6.54
http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,VHFHeart,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,2687.1600000000003,229312.7801882646,2940,6.398
http://purl.org/ccf/1.5/1fe61622-ba53-47c9-967e-e764c21b8189,VHFHeart,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,2023.1999999999998,78714.75572486868,2400,5.901
http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,VHFHeart,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,6972.4800000000005,229312.7801882646,8640,5.649000000000001
http://purl.org/ccf/1.5/ca476545-5b98-476c-b2fd-1b8e1708faed,VHFHeart,heart,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002078,504.90000000000003,33225.90134453539,540,5.610000000000001
http://purl.org/ccf/1.5/f1790d4b-bbc0-434c-b8ed-f21e8b8be903,VHMHeart,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,1348.032,73988.45321948585,1904,4.956
http://purl.org/ccf/1.5/502166ab-e841-4b65-9045-7c386166a9e8,VHFHeart,heart,left cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002079,369.90000000000003,18115.96846829785,540,4.795
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,male reproductive system,central zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410027,33.6,1846.379700236673,700,4.0200000000000005
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,male reproductive system,central zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410027,30.099999999999998,1753.812347120709,700,4.0200000000000005
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,male reproductive system,peripheral zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410026,319.2,4502.338753224233,700,4.0200000000000005
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,male reproductive system,peripheral zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410026,320.6,4398.494894308656,700,4.0200000000000005
http://purl.org/ccf/1.5/3bf6e5a0-a04d-498e-89b1-b2c2562e4483,VHMHeart,heart,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002078,163.758,27714.91711157488,294,3.899
http://purl.org/ccf/1.5/ab2e49b2-1959-44af-8e83-ac16878f6c12,VHMLung,respiratory system,Left apical bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7385,1000,174591.3885900344,1000,3
http://purl.org/ccf/1.5/3b5d2036-3c56-4cf8-808f-462c9e3681e5,VHFRightMammaryGland,Set of lactiferous glands in right breast,Interlobar adipose tissue of right mammary gland,http://purl.org/sig/ont/fma/fma73165,384.8,726890.7114561738,400,2.886
http://purl.org/ccf/1.5/cce37703-e4e8-454c-a0c4-4ff58652ab8f,VHMSkin,skin of body,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,1000,2109804.44224585,1000,2
http://purl.org/ccf/1.5/70ad7ae6-c9af-4975-98e2-98c249e36ddd,VHFLeftKidney,left kidney,hilum of kidney,http://purl.obolibrary.org/obo/UBERON_0008716,4.184,8361.985667661724,8,1.787
http://purl.org/ccf/1.5/70ad7ae6-c9af-4975-98e2-98c249e36ddd,VHFLeftKidney,left kidney,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,2.112,72301.89436880287,8,1.787
http://purl.org/ccf/1.5/70ad7ae6-c9af-4975-98e2-98c249e36ddd,VHFLeftKidney,left kidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,8,5407.315100123255,8,1.787
http://purl.org/ccf/1.5/cf4ba102-edf7-4fe4-bb1d-860cdf57609d,VHMLeftKidney,left kidney,hilum of kidney,http://purl.obolibrary.org/obo/UBERON_0008716,66.10000000000001,7937.076400845168,100,1.748
http://purl.org/ccf/1.5/cf4ba102-edf7-4fe4-bb1d-860cdf57609d,VHMLeftKidney,left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,9.2,119897.3006204218,100,1.748
http://purl.org/ccf/1.5/cf4ba102-edf7-4fe4-bb1d-860cdf57609d,VHMLeftKidney,left kidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,14.299999999999999,3093.172890672951,100,1.748
http://purl.org/ccf/1.5/cf4ba102-edf7-4fe4-bb1d-860cdf57609d,VHMLeftKidney,left kidney,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,85.2,39325.42900374378,100,1.748
http://purl.org/ccf/1.5/72ea5aad-4be7-4478-afc0-7736bc0d90e3,VHMLeftKidney,left kidney,renal papilla,http://purl.obolibrary.org/obo/UBERON_0001228,11.040000000000001,29.41792173604161,12,1.6070000000000002
http://purl.org/ccf/1.5/72ea5aad-4be7-4478-afc0-7736bc0d90e3,VHMLeftKidney,left kidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,8.244,2112.787327093366,12,1.6070000000000002
http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,VHMLung,respiratory system,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,295.0,229964.967376884,500,1.5899999999999999
http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,VHMLung,respiratory system,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,500,162410.6783887328,500,1.5899999999999999
