cell_label,cell_id,level,level_cell_id,level_cell_label
intestinal tuft cell,http://purl.obolibrary.org/obo/CL_0019032,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
tracheobronchial goblet cell,http://purl.obolibrary.org/obo/CL_0019003,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
B cell,http://purl.obolibrary.org/obo/CL_0000236,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
B cell,http://purl.obolibrary.org/obo/CL_0000236,L2,http://purl.obolibrary.org/obo/CL_0000236,B cell
"B cell, CD19-positive",http://purl.obolibrary.org/obo/CL_0001201,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"B cell, CD19-positive",http://purl.obolibrary.org/obo/CL_0001201,L2,http://purl.obolibrary.org/obo/CL_0000236,B cell
CCL3-positive alveolar macrophage,http://purl.obolibrary.org/obo/CL_4033041,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CCL3-positive alveolar macrophage,http://purl.obolibrary.org/obo/CL_4033041,L2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
"CD14-low, CD16-positive monocyte",http://purl.obolibrary.org/obo/CL_0002396,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD14-low, CD16-positive monocyte",http://purl.obolibrary.org/obo/CL_0002396,L2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
CD141-positive myeloid dendritic cell,http://purl.obolibrary.org/obo/CL_0002394,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CD141-positive myeloid dendritic cell,http://purl.obolibrary.org/obo/CL_0002394,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
"CD16-negative, CD56-bright natural killer cell, human",http://purl.obolibrary.org/obo/CL_0000938,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CD1c-positive myeloid dendritic cell,http://purl.obolibrary.org/obo/CL_0002399,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CD1c-positive myeloid dendritic cell,http://purl.obolibrary.org/obo/CL_0002399,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
CD4-positive helper T cell,http://purl.obolibrary.org/obo/CL_0000492,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CD4-positive helper T cell,http://purl.obolibrary.org/obo/CL_0000492,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",http://purl.obolibrary.org/obo/CL_0000792,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",http://purl.obolibrary.org/obo/CL_0000792,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD4-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000897,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD4-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000897,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000625,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000625,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD8-positive, alpha-beta cytotoxic T cell",http://purl.obolibrary.org/obo/CL_0000794,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD8-positive, alpha-beta cytotoxic T cell",http://purl.obolibrary.org/obo/CL_0000794,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD8-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000909,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD8-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000909,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
Langerhans cell,http://purl.obolibrary.org/obo/CL_0000453,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
Langerhans cell,http://purl.obolibrary.org/obo/CL_0000453,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
Purkinje myocyte,http://purl.obolibrary.org/obo/CL_0002068,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,L1,http://purl.obolibrary.org/obo/CL_0002319,neural cell
Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,L2,http://purl.obolibrary.org/obo/CL_0000125,glial cell
T cell,http://purl.obolibrary.org/obo/CL_0000084,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
T cell,http://purl.obolibrary.org/obo/CL_0000084,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
