organ_id,organ,extraction_site,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct principal cell,43917,0.2176457761346404
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030016,epithelial cell of early distal convoluted tubule,27466,0.1361171957855507
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,14671,0.07270717903479994
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,13768,0.06823205241300016
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,12818,0.06352400114975568
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,10960,0.05431604404753645
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030009,epithelial cell of proximal tubule segment 1,10254,0.05081721858243055
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030011,epithelial cell of proximal tubule segment 3,10004,0.049578257723682
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,9194,0.04556402454133669
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell,6055,0.03000763199888989
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,5553,0.0275197985945228
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030022,renal medullary fibroblast,5107,0.02530949242251539
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,4296,0.02129030339673509
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell,4256,0.02109206965933532
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030014,kidney loop of Henle long descending thin limb inner medulla epithelial cell,3818,0.01892141023480786
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,"Peritubular Capilary Endothelial ",2627,0.01301900070372977
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030010,epithelial cell of proximal tubule segment 2,2619,0.01297935395624981
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell,1918,0.009505307708318879
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000715,kidney cortex collecting duct intercalated cell,1575,0.007805453410115868
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001131,vasa recta ascending limb cell,1208,0.005986658869472996
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte,1204,0.005966835495733019
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B cell,1093,0.005416736874448662
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,"Descending Vasa Recta Endothelial ",1071,0.00530770831887879
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030018,kidney connecting tubule principal cell,1040,0.00515407717239397
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000653,podocyte,938,0.004648581142024561
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000717,kidney outer medulla collecting duct intercalated cell,677,0.003355106005491075
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000890,alternatively activated macrophage,580,0.002874389192296637
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell,557,0.002760404793291771
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T cell,497,0.002463054187192118
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,408,0.002021984121477634
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002201,renal beta-intercalated cell,405,0.002007116591172652
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001005,glomerular capillary endothelial cell,354,0.001754368575987947
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000650,mesangial cell,289,0.001432238752713324
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002573,Schwann cell,220,0.001090285555698724
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,115,5.699219950243331E-4
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030017,epithelial cell of late distal convoluted tubule,82,4.063791616695246E-4
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,mast cell,63,3.122181364046347E-4
http://purl.obolibrary.org/obo/UBERON_0004538,Left kidney,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000648,kidney granular cell,31,1.536311464848203E-4
