sex,provider,dataset_count,cell_count
Female,Broad Institute,40,439390
Male,Broad Institute,42,532878
Female,GTEx,7,99216
Male,GTEx,8,131189
Male,Harvard University,25,12758141
Female,NHLBI/LungMap,1,14040
Male,NHLBI/LungMap,2,17139
Female,RTI-General Electric,4,19729
Male,RTI-General Electric,6,28594
Female,TMC - University of Pittsburgh,17,590109
Male,TMC - University of Pittsburgh,35,1104685
Female,TMC - Washington University,1,21772
Male,TMC - Washington University,1,21963
Female,TMC-CalTech,5,506760
Male,TMC-CalTech,15,1492742
Female,TMC-Florida,4,347961
Male,TMC-Florida,9,369219
Female,TMC-Stanford,45,779928
Male,TMC-Stanford,101,2342332
Female,TMC-UCSD,76,2541205
Male,TMC-UCSD,178,8249268
Female,Tabula Sapiens,23,189457
Male,Tabula Sapiens,16,125309
Male,University of California San Diego,1,622784
