organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
VHFLargeIntestine,ascending colon,B,http://purl.obolibrary.org/obo/CL_0000236,208,416
VHFLargeIntestine,ascending colon,CD4+ T cell,http://purl.obolibrary.org/obo/CL_0000624,876,1752
VHFLargeIntestine,ascending colon,CD57+ Enterocyte,http://purl.obolibrary.org/obo/CL_4033092,1,1
VHFLargeIntestine,ascending colon,CD66+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,711.5,1423
VHFLargeIntestine,ascending colon,CD7+ Immune,http://purl.obolibrary.org/obo/CL_0001028,30,60
VHFLargeIntestine,ascending colon,CD8+ T,http://purl.obolibrary.org/obo/CL_0000625,812.5,1625
VHFLargeIntestine,ascending colon,Cycling TA,http://purl.obolibrary.org/obo/CL_0009010,904.5,1809
VHFLargeIntestine,ascending colon,DC,http://purl.obolibrary.org/obo/CL_0000451,299.5,599
VHFLargeIntestine,ascending colon,Endothelial,http://purl.obolibrary.org/obo/CL_0000071,1259,2518
VHFLargeIntestine,ascending colon,Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,2651,5302
VHFLargeIntestine,ascending colon,Goblet,http://purl.obolibrary.org/obo/CL_0000160,1876.5,3753
VHFLargeIntestine,ascending colon,ICC,http://purl.obolibrary.org/obo/CL_0002088,262,524
VHFLargeIntestine,ascending colon,Lymphatic,http://purl.obolibrary.org/obo/CL_0002138,498.5,997
VHFLargeIntestine,ascending colon,M1 Macrophage,http://purl.obolibrary.org/obo/CL_0000863,45.5,91
VHFLargeIntestine,ascending colon,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,921,1842
VHFLargeIntestine,ascending colon,MUC1+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,223.5,447
VHFLargeIntestine,ascending colon,NK,http://purl.obolibrary.org/obo/CL_0000623,38.5,77
VHFLargeIntestine,ascending colon,Nerve,http://purl.obolibrary.org/obo/CL_0000540,341,682
VHFLargeIntestine,ascending colon,Neuroendocrine,http://purl.obolibrary.org/obo/CL_0000165,65,130
VHFLargeIntestine,ascending colon,Neutrophil,http://purl.obolibrary.org/obo/CL_0000775,95.5,191
VHFLargeIntestine,ascending colon,Paneth,http://purl.obolibrary.org/obo/CL_0000510,3,3
VHFLargeIntestine,ascending colon,Plasma,http://purl.obolibrary.org/obo/CL_0000786,1369,2738
VHFLargeIntestine,ascending colon,Smooth muscle,http://purl.obolibrary.org/obo/CL_0002504,2291,4582
VHFLargeIntestine,ascending colon,Stroma,http://purl.obolibrary.org/obo/CL_0000499,2168.5,4337
VHFLargeIntestine,ascending colon,TA,http://purl.obolibrary.org/obo/CL_0009010,897.5,1795
VHFLargeIntestine,caecum,B,http://purl.obolibrary.org/obo/CL_0000236,208,416
VHFLargeIntestine,caecum,CD4+ T cell,http://purl.obolibrary.org/obo/CL_0000624,876,1752
VHFLargeIntestine,caecum,CD57+ Enterocyte,http://purl.obolibrary.org/obo/CL_4033092,1,1
VHFLargeIntestine,caecum,CD66+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,711.5,1423
VHFLargeIntestine,caecum,CD7+ Immune,http://purl.obolibrary.org/obo/CL_0001028,30,60
VHFLargeIntestine,caecum,CD8+ T,http://purl.obolibrary.org/obo/CL_0000625,812.5,1625
VHFLargeIntestine,caecum,Cycling TA,http://purl.obolibrary.org/obo/CL_0009010,904.5,1809
VHFLargeIntestine,caecum,DC,http://purl.obolibrary.org/obo/CL_0000451,299.5,599
VHFLargeIntestine,caecum,Endothelial,http://purl.obolibrary.org/obo/CL_0000071,1259,2518
VHFLargeIntestine,caecum,Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,2651,5302
VHFLargeIntestine,caecum,Goblet,http://purl.obolibrary.org/obo/CL_0000160,1876.5,3753
VHFLargeIntestine,caecum,ICC,http://purl.obolibrary.org/obo/CL_0002088,262,524
VHFLargeIntestine,caecum,Lymphatic,http://purl.obolibrary.org/obo/CL_0002138,498.5,997
VHFLargeIntestine,caecum,M1 Macrophage,http://purl.obolibrary.org/obo/CL_0000863,45.5,91
VHFLargeIntestine,caecum,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,921,1842
VHFLargeIntestine,caecum,MUC1+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,223.5,447
VHFLargeIntestine,caecum,NK,http://purl.obolibrary.org/obo/CL_0000623,38.5,77
VHFLargeIntestine,caecum,Nerve,http://purl.obolibrary.org/obo/CL_0000540,341,682
VHFLargeIntestine,caecum,Neuroendocrine,http://purl.obolibrary.org/obo/CL_0000165,65,130
VHFLargeIntestine,caecum,Neutrophil,http://purl.obolibrary.org/obo/CL_0000775,95.5,191
VHFLargeIntestine,caecum,Paneth,http://purl.obolibrary.org/obo/CL_0000510,3,3
VHFLargeIntestine,caecum,Plasma,http://purl.obolibrary.org/obo/CL_0000786,1369,2738
VHFLargeIntestine,caecum,Smooth muscle,http://purl.obolibrary.org/obo/CL_0002504,2291,4582
VHFLargeIntestine,caecum,Stroma,http://purl.obolibrary.org/obo/CL_0000499,2168.5,4337
VHFLargeIntestine,caecum,TA,http://purl.obolibrary.org/obo/CL_0009010,897.5,1795
VHFLargeIntestine,descending colon,B,http://purl.obolibrary.org/obo/CL_0000236,2463,4926
VHFLargeIntestine,descending colon,CD4+ T cell,http://purl.obolibrary.org/obo/CL_0000624,2491,4982
VHFLargeIntestine,descending colon,CD57+ Enterocyte,http://purl.obolibrary.org/obo/CL_4033092,3,6
VHFLargeIntestine,descending colon,CD66+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,1524.5,3049
VHFLargeIntestine,descending colon,CD7+ Immune,http://purl.obolibrary.org/obo/CL_0001028,45.5,91
VHFLargeIntestine,descending colon,CD8+ T,http://purl.obolibrary.org/obo/CL_0000625,1445.5,2891
VHFLargeIntestine,descending colon,Cycling TA,http://purl.obolibrary.org/obo/CL_0009010,2928.5,5857
VHFLargeIntestine,descending colon,DC,http://purl.obolibrary.org/obo/CL_0000451,811.5,1623
VHFLargeIntestine,descending colon,Endothelial,http://purl.obolibrary.org/obo/CL_0000071,2424.5,4849
VHFLargeIntestine,descending colon,Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,5921.5,11843
VHFLargeIntestine,descending colon,Goblet,http://purl.obolibrary.org/obo/CL_0000160,3522.5,7045
VHFLargeIntestine,descending colon,ICC,http://purl.obolibrary.org/obo/CL_0002088,519,1038
VHFLargeIntestine,descending colon,Lymphatic,http://purl.obolibrary.org/obo/CL_0002138,763.5,1527
VHFLargeIntestine,descending colon,M1 Macrophage,http://purl.obolibrary.org/obo/CL_0000863,163,326
VHFLargeIntestine,descending colon,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,1447,2894
VHFLargeIntestine,descending colon,MUC1+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,251.5,503
VHFLargeIntestine,descending colon,NK,http://purl.obolibrary.org/obo/CL_0000623,27.5,55
VHFLargeIntestine,descending colon,Nerve,http://purl.obolibrary.org/obo/CL_0000540,729,1458
VHFLargeIntestine,descending colon,Neuroendocrine,http://purl.obolibrary.org/obo/CL_0000165,307.5,615
VHFLargeIntestine,descending colon,Neutrophil,http://purl.obolibrary.org/obo/CL_0000775,187.5,375
VHFLargeIntestine,descending colon,Plasma,http://purl.obolibrary.org/obo/CL_0000786,1729.5,3459
VHFLargeIntestine,descending colon,Smooth muscle,http://purl.obolibrary.org/obo/CL_0002504,2491,4982
VHFLargeIntestine,descending colon,Stroma,http://purl.obolibrary.org/obo/CL_0000499,2089.5,4179
VHFLargeIntestine,descending colon,TA,http://purl.obolibrary.org/obo/CL_0009010,1612.5,3225
VHFLargeIntestine,sigmoid colon,B,http://purl.obolibrary.org/obo/CL_0000236,3.5,7
VHFLargeIntestine,sigmoid colon,CD4+ T cell,http://purl.obolibrary.org/obo/CL_0000624,230,460
VHFLargeIntestine,sigmoid colon,CD57+ Enterocyte,http://purl.obolibrary.org/obo/CL_4033092,3,3
VHFLargeIntestine,sigmoid colon,CD66+ Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,629.5,1259
VHFLargeIntestine,sigmoid colon,CD7+ Immune,http://purl.obolibrary.org/obo/CL_0001028,11,11
VHFLargeIntestine,sigmoid colon,CD8+ T,http://purl.obolibrary.org/obo/CL_0000625,217,434
VHFLargeIntestine,sigmoid colon,Cycling TA,http://purl.obolibrary.org/obo/CL_0009010,507,1014
VHFLargeIntestine,sigmoid colon,DC,http://purl.obolibrary.org/obo/CL_0000451,267,534
VHFLargeIntestine,sigmoid colon,Endothelial,http://purl.obolibrary.org/obo/CL_0000071,1439.5,2879
VHFLargeIntestine,sigmoid colon,Enterocyte,http://purl.obolibrary.org/obo/CL_0000584,1316.5,2633
VHFLargeIntestine,sigmoid colon,Goblet,http://purl.obolibrary.org/obo/CL_0000160,178.5,357
VHFLargeIntestine,sigmoid colon,ICC,http://purl.obolibrary.org/obo/CL_0002088,225.5,451
