consortium,dataset_count,atlas_dataset_count,test_dataset_count,excluded_dataset_count,no_rui_dataset_count,no_summary_dataset_count
<Consortium Name>,18,0,18,0,0,18
Allen Institute for Brain Science,10,0,10,0,0,10
CxG,9744,0,6362,3382,9744,3382
GTEx,74,15,50,9,9,59
GUDMAP,12,0,12,0,0,12
HCA,285,121,82,82,82,164
"HIRN, ESPACE",1,0,1,0,0,1
HRA,1,0,1,0,0,1
HTAN,5,0,3,2,0,5
HuBMAP,4267,478,3717,72,96,3765
KPMP,74,27,47,0,0,47
LungMap,9,0,0,9,9,9
NHLBI/LungMap,10,9,1,0,0,1
SEA-AD,1,0,0,1,1,1
SPARC,50,0,50,0,0,50
SenNet,1333,82,1247,4,13,1242
UEdinburgh,64,0,64,0,0,64
UIowa,43,0,43,0,0,43
