tool,organ,cell_label,dataset_count
azimuth,UBERON:0000178,Doublet,92
azimuth,UBERON:0001013,hASPC1,10
azimuth,UBERON:0001013,hASPC2,9
azimuth,UBERON:0001013,hASPC3,2
azimuth,UBERON:0001013,hASPC4,2
azimuth,UBERON:0001013,hASPC5,1
azimuth,UBERON:0001013,hAd1,3
azimuth,UBERON:0001013,hAd2,4
azimuth,UBERON:0001013,hAd3,8
azimuth,UBERON:0001013,hAd7,1
azimuth,UBERON:0001013,hBcell,6
azimuth,UBERON:0001013,hEndoA1,8
azimuth,UBERON:0001013,hEndoA2,4
azimuth,UBERON:0001013,hEndoS1,8
azimuth,UBERON:0001013,hEndoS2,7
azimuth,UBERON:0001013,hEndoV,9
azimuth,UBERON:0001013,hLEC1,6
azimuth,UBERON:0001013,hMac1,10
azimuth,UBERON:0001013,hMac2,10
azimuth,UBERON:0001013,hMac3,1
azimuth,UBERON:0001013,hMast,9
azimuth,UBERON:0001013,hMes1,6
azimuth,UBERON:0001013,hMes2,4
azimuth,UBERON:0001013,hMono1,8
azimuth,UBERON:0001013,hMono2,1
azimuth,UBERON:0001013,hNK,8
azimuth,UBERON:0001013,hNeu,2
azimuth,UBERON:0001013,hPeri,7
azimuth,UBERON:0001013,hPlasmablast,1
azimuth,UBERON:0001013,hSMC1,8
azimuth,UBERON:0001013,hSMC2,5
azimuth,UBERON:0001013,hTcell1,8
azimuth,UBERON:0001013,hTcell2,8
azimuth,UBERON:0001013,hcDC1,1
azimuth,UBERON:0001013,hcDC2,9
azimuth,UBERON:0001013,hmDC,1
azimuth,UBERON:0001384,Astro,176
azimuth,UBERON:0001384,Endo,177
azimuth,UBERON:0001384,L2/3 IT,165
azimuth,UBERON:0001384,L5 ET,98
azimuth,UBERON:0001384,L5 IT,169
azimuth,UBERON:0001384,L5/6 NP,142
azimuth,UBERON:0001384,L6 CT,160
azimuth,UBERON:0001384,L6 IT,155
azimuth,UBERON:0001384,L6 IT Car3,151
azimuth,UBERON:0001384,L6b,160
azimuth,UBERON:0001384,Lamp5,168
azimuth,UBERON:0001384,Micro-PVM,175
azimuth,UBERON:0001384,OPC,175
azimuth,UBERON:0001384,Oligo,176
azimuth,UBERON:0001384,Pvalb,165
