modality,tool,cell_label,cell_id,cell_count,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_proteomics,sc_proteomics,macrophage,http://purl.obolibrary.org/obo/CL_0000235,390,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
sc_proteomics,sc_proteomics,enterocyte,http://purl.obolibrary.org/obo/CL_0000584,362,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624,285,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,282,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,sc_proteomics,B cell,http://purl.obolibrary.org/obo/CL_0000236,248,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,"CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000625,245,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,plasma cell,http://purl.obolibrary.org/obo/CL_0000786,221,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,207,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,196,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
sc_proteomics,sc_proteomics,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,194,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,sc_proteomics,"dendritic cell, human",http://purl.obolibrary.org/obo/CL_0001056,180,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,neuron,http://purl.obolibrary.org/obo/CL_0000540,178,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_proteomics,sc_proteomics,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,161,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,neutrophil,http://purl.obolibrary.org/obo/CL_0000775,151,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_proteomics,sc_proteomics,stromal cell,http://purl.obolibrary.org/obo/CL_0000499,148,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_proteomics,sc_proteomics,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,148,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_proteomics,sc_proteomics,M1 macrophage,http://purl.obolibrary.org/obo/CL_0000863,148,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
