organ,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000347,Colonocyte,1.224,0.1499816198995222,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000987,IgA plasma cell,1.182,0.1448351917657151,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030026,BEST4+ epithelial,0.7010000000000001,0.08589633623330481,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000896,Activated CD4 T,0.6900000000000001,0.08454846219826008,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000798,TRGV2 gdT,0.502,0.06151206959931385,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0009010,TA,0.494,0.06053179757382678,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000787,Memory B,0.432,0.05293468937630196,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000499,Transitional Stromal 3 (C3+),0.372,0.04558264918514891,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000160,BEST2+ Goblet cell,0.294,0.03602499693664995,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000906,Activated CD8 T,0.258,0.03161377282195812,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000235,Macrophages,0.22,0.02695748070089452,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002038,Tfh,0.172,0.02107584854797208,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000909,CD8 Tmem,0.141,0.01727729444920967,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000788,STAT1+ Naive B,0.138,0.01690969243965202,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000815,Treg,0.112,0.01372380835681903,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000624,SELL+ CD4 T,0.101,0.0123759343217743,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000625,SELL+ CD8 T,0.096,0.01176326430584488,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,CLC+ Mast cell,0.092,0.01127312829310134,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4033068,Cycling B cell,0.07500000000000001,0.009190050238941315,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000899,Th17,0.07100000000000001,0.008699914226197777,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002204,Tuft,0.062,0.007597108197524819,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4047003,Cycling plasma cell,0.057,0.006984438181595398,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0001071,LTi-like NCR- ILC3,0.05400000000000001,0.006616836172037746,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0011026,Proximal progenitor,0.051,0.006249234162480093,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000576,Monocytes,0.05,0.006126700159294209,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000034,Stem cells,0.048,0.00588163215292244,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4040002,Adult Glia,0.037,0.004533758117877714,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000669,Contractile pericyte (PLN+),0.034,0.004166156108320062,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,Activated T,0.032,0.003921088101948293,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002607,Branch A4 (IN),0.029,0.003553486092390641,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002138,LEC6 (ADAMTS4+),0.028,0.003430952089204757,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002071,EC cells (NPW+),0.028,0.003430952089204757,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4047029,arterial capillary,0.028,0.003430952089204757,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000682,Microfold cell,0.026,0.003185884082832989,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000031,Neuroblast,0.022,0.002695748070089452,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002543,Mature venous EC,0.016,0.001960544050974147,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000125,Glia 3 (BCAN+),0.015,0.001838010047788262,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002279,L cells (PYY+),0.015,0.001838010047788262,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000623,NK cell,0.015,0.001838010047788263,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000985,IgG plasma cell,0.012,0.00147040803823061,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000222,Mesoderm 1 (HAND1+),0.01,0.001225340031858842,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4047011,Fetal venous EC,0.01,0.001225340031858842,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0011020,ENCC/glia Progenitor,0.01,0.001225340031858842,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000577,EECs,0.009000000000000001,0.001102806028672958,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast (RSPO2+),0.008,9.802720254870733E-4,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000077,Mesothelium,0.007,8.577380223011892E-4,3
large intestine,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002394,cDC1,0.006,7.35204019115305E-4,3
