sex,organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
Female,VHFLeftKidney,renal papilla,Alveolar macrophage,http://purl.obolibrary.org/obo/CL_0000583,1,2
Female,VHFLeftKidney,renal papilla,Arterial EC,http://purl.obolibrary.org/obo/CL_1000413,6,12
Female,VHFLeftKidney,renal papilla,Ascending Thin Limb,http://purl.obolibrary.org/obo/CL_1001107,668.5,1337
Female,VHFLeftKidney,renal papilla,Ascending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001131,354.5,709
Female,VHFLeftKidney,renal papilla,Basal cell of bladder,http://purl.obolibrary.org/obo/CL_0000646,116,232
Female,VHFLeftKidney,renal papilla,CD16 NK cell,http://purl.obolibrary.org/obo/CL_0000939,279,558
Female,VHFLeftKidney,renal papilla,CFD+MGP+ fibroblast,http://purl.obolibrary.org/obo/CL_0000057,4,8
Female,VHFLeftKidney,renal papilla,CLDN3+ epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,8,16
Female,VHFLeftKidney,renal papilla,Connecting Tubule,http://purl.obolibrary.org/obo/CL_1000768,1315.5,2631
Female,VHFLeftKidney,renal papilla,Cortical Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000714,79.5,159
Female,VHFLeftKidney,renal papilla,Cortical Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001109,1,1
Female,VHFLeftKidney,renal papilla,Cycling T/NK cell,http://purl.obolibrary.org/obo/CL_0000542,1,2
Female,VHFLeftKidney,renal papilla,Descending Thin Limb Type 1,http://purl.obolibrary.org/obo/CL_4030012,91.5,183
Female,VHFLeftKidney,renal papilla,Descending Thin Limb Type 2,http://purl.obolibrary.org/obo/CL_4030013,1,1
Female,VHFLeftKidney,renal papilla,Descending Thin Limb Type 3,http://purl.obolibrary.org/obo/CL_4030014,574,1148
Female,VHFLeftKidney,renal papilla,Descending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001285,44,88
Female,VHFLeftKidney,renal papilla,Fetal HBG+ erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,3,6
Female,VHFLeftKidney,renal papilla,Fibroblast,http://purl.obolibrary.org/obo/CL_1000692,2,2
Female,VHFLeftKidney,renal papilla,GZMB CD8 T cell,http://purl.obolibrary.org/obo/CL_0000909,3,6
Female,VHFLeftKidney,renal papilla,GZMK CD8 T cell,http://purl.obolibrary.org/obo/CL_4052021,1,2
Female,VHFLeftKidney,renal papilla,Hofbauer cell,http://purl.obolibrary.org/obo/CL_3000001,2,4
Female,VHFLeftKidney,renal papilla,Inner Medullary Collecting Duct,http://purl.obolibrary.org/obo/CL_1000718,3610.5,7221
Female,VHFLeftKidney,renal papilla,LYVE1 macrophage,http://purl.obolibrary.org/obo/CL_0000235,5,10
Female,VHFLeftKidney,renal papilla,Lymphatic Endothelial,http://purl.obolibrary.org/obo/CL_0002138,3,6
Female,VHFLeftKidney,renal papilla,M1 macrophage,http://purl.obolibrary.org/obo/CL_0000863,2,4
Female,VHFLeftKidney,renal papilla,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,82.5,165
Female,VHFLeftKidney,renal papilla,Macula Densa,http://purl.obolibrary.org/obo/CL_1000850,1,2
Female,VHFLeftKidney,renal papilla,Medullary Fibroblast,http://purl.obolibrary.org/obo/CL_4030022,603,1206
Female,VHFLeftKidney,renal papilla,Memory CD4 T cell,http://purl.obolibrary.org/obo/CL_0000897,1,2
Female,VHFLeftKidney,renal papilla,Mesenchymal stromal cell,http://purl.obolibrary.org/obo/CL_0008019,2,4
Female,VHFLeftKidney,renal papilla,Microglia,http://purl.obolibrary.org/obo/CL_0000129,3,6
Female,VHFLeftKidney,renal papilla,Monocyte-derived,http://purl.obolibrary.org/obo/CL_0011031,9,18
Female,VHFLeftKidney,renal papilla,Naive B cell,http://purl.obolibrary.org/obo/CL_0000788,4,8
Female,VHFLeftKidney,renal papilla,Naive CD4 T cell,http://purl.obolibrary.org/obo/CL_0000895,1,2
Female,VHFLeftKidney,renal papilla,Natural Killer T,http://purl.obolibrary.org/obo/CL_0000814,2.5,5
Female,VHFLeftKidney,renal papilla,Outer Medullary Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000717,2,2
Female,VHFLeftKidney,renal papilla,Outer Medullary Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000716,9.5,19
Female,VHFLeftKidney,renal papilla,Papillary Tip Epithelial,http://purl.obolibrary.org/obo/CL_1000597,608,1216
Female,VHFLeftKidney,renal papilla,Pericyte,http://purl.obolibrary.org/obo/CL_0000669,1,2
Female,VHFLeftKidney,renal papilla,Plasma cell,http://purl.obolibrary.org/obo/CL_0000786,228,456
Female,VHFLeftKidney,renal papilla,Podocyte,http://purl.obolibrary.org/obo/CL_0000653,3,6
Female,VHFLeftKidney,renal papilla,Renal epithelial cell - Loop of Henle,http://purl.obolibrary.org/obo/CL_1000909,201,402
Female,VHFLeftKidney,renal papilla,Renal epithelial cell - distal tubules,http://purl.obolibrary.org/obo/CL_0002305,196,392
Female,VHFLeftKidney,renal papilla,Renal epithelial cell - proximal tubules,http://purl.obolibrary.org/obo/CL_0002306,40,80
Female,VHFLeftKidney,renal papilla,T,http://purl.obolibrary.org/obo/CL_0000084,29,58
Female,VHFLeftKidney,renal papilla,Treg cell,http://purl.obolibrary.org/obo/CL_0000792,2,4
Female,VHFLeftKidney,renal papilla,Type B intercalated cell,http://purl.obolibrary.org/obo/CL_0002201,83,166
Female,VHFLeftKidney,renal papilla,Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,22.5,45
Female,VHFLeftKidney,renal papilla,Venous EC,http://purl.obolibrary.org/obo/CL_0002543,100,200
Female,VHFLeftKidney,renal papilla,cDC1,http://purl.obolibrary.org/obo/CL_0002394,1,2
Female,VHFLeftKidney,renal papilla,cDC2,http://purl.obolibrary.org/obo/CL_0002399,12,24
Female,VHFLeftKidney,renal pyramid,Adipocyte,http://purl.obolibrary.org/obo/CL_0000136,1.66666666666666666667,5
Female,VHFLeftKidney,renal pyramid,Afferent / Efferent Arteriole Endothelial,http://purl.obolibrary.org/obo/CL_1000412,73.83870967741935483871,2289
Female,VHFLeftKidney,renal pyramid,Alveolar macrophage,http://purl.obolibrary.org/obo/CL_0000583,2.625,42
Female,VHFLeftKidney,renal pyramid,Amacrine cell,http://purl.obolibrary.org/obo/CL_0000561,2,8
Female,VHFLeftKidney,renal pyramid,Arterial EC,http://purl.obolibrary.org/obo/CL_1000413,29.15625,933
Female,VHFLeftKidney,renal pyramid,Ascending Thin Limb,http://purl.obolibrary.org/obo/CL_1001107,1181.73529411764705882353,40179
Female,VHFLeftKidney,renal pyramid,Ascending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001131,298.21875,9543
Female,VHFLeftKidney,renal pyramid,B,http://purl.obolibrary.org/obo/CL_0000236,157.03846153846153846154,4083
Female,VHFLeftKidney,renal pyramid,Basal cell of bladder,http://purl.obolibrary.org/obo/CL_0000646,87.51724137931034482759,2538
Female,VHFLeftKidney,renal pyramid,CD14 monocyte,http://purl.obolibrary.org/obo/CL_0001054,1.27272727272727272727,14
Female,VHFLeftKidney,renal pyramid,CD16 NK cell,http://purl.obolibrary.org/obo/CL_0000939,420.70588235294117647059,14304
Female,VHFLeftKidney,renal pyramid,CD16 monocyte,http://purl.obolibrary.org/obo/CL_0000576,1,1
Female,VHFLeftKidney,renal pyramid,CD56 NK cell,http://purl.obolibrary.org/obo/CL_0000938,1.25,10
Female,VHFLeftKidney,renal pyramid,CFD+MGP+ fibroblast,http://purl.obolibrary.org/obo/CL_0000057,18.33333333333333333333,330
Female,VHFLeftKidney,renal pyramid,CLDN3+ epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,8.42857142857142857143,118
Female,VHFLeftKidney,renal pyramid,CRABP1+ mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077,1,2
Female,VHFLeftKidney,renal pyramid,Capillary EC,http://purl.obolibrary.org/obo/CL_0002144,62.73076923076923076923,1631
Female,VHFLeftKidney,renal pyramid,Classical Dendritic,http://purl.obolibrary.org/obo/CL_0000990,130.36363636363636363636,2868
Female,VHFLeftKidney,renal pyramid,Club cell,http://purl.obolibrary.org/obo/CL_0000158,1.6,16
Female,VHFLeftKidney,renal pyramid,Cone-OFF-bipolar cell,http://purl.obolibrary.org/obo/CL_0000750,1,2
Female,VHFLeftKidney,renal pyramid,Connecting Tubule,http://purl.obolibrary.org/obo/CL_1000768,2292.14705882352941176471,77933
Female,VHFLeftKidney,renal pyramid,Connecting Tubule Intercalated Type A,http://purl.obolibrary.org/obo/CL_4030020,4.46666666666666666667,67
Female,VHFLeftKidney,renal pyramid,Connecting Tubule Principal,http://purl.obolibrary.org/obo/CL_4030018,146.3125,4682
Female,VHFLeftKidney,renal pyramid,Cortical Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000715,411.625,13172
Female,VHFLeftKidney,renal pyramid,Cortical Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000714,1492.05882352941176470588,50730
Female,VHFLeftKidney,renal pyramid,Cortical Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001109,5573.06060606060606060606,183911
Female,VHFLeftKidney,renal pyramid,Cortical Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,347.4,1737
Female,VHFLeftKidney,renal pyramid,Cycling B,http://purl.obolibrary.org/obo/CL_4033068,1,2
Female,VHFLeftKidney,renal pyramid,Cycling Mononuclear Phagocyte,http://purl.obolibrary.org/obo/CL_4033078,1,5
Female,VHFLeftKidney,renal pyramid,Cycling T/NK cell,http://purl.obolibrary.org/obo/CL_0000542,5.71428571428571428571,160
Female,VHFLeftKidney,renal pyramid,Cycling macrophage,http://purl.obolibrary.org/obo/CL_4033076,2,16
