tool,cell_id,cell_label,count,avg_percentage_of_total
azimuth,http://purl.obolibrary.org/obo/CL_4028002,alveolar capillary type 1 endothelial cell,1334266,0.1801479112839107
azimuth,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,1198194,0.2379875954752074
azimuth,http://purl.obolibrary.org/obo/CL_0002145,multiciliated columnar cell of tracheobronchial tree,461964,0.08214288716969399
azimuth,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,444728,0.11160520893278603
azimuth,http://purl.obolibrary.org/obo/CL_4028004,alveolar type 1 fibroblast cell,343128,0.07781781481766681
azimuth,http://purl.obolibrary.org/obo/CL_0000625,"CD8-positive, alpha-beta T cell",256224,0.043050980414135215
azimuth,http://purl.obolibrary.org/obo/CL_0000624,"CD4-positive, alpha-beta T cell",232526,0.03029935803489935
azimuth,http://purl.obolibrary.org/obo/CL_4033008,vein endothelial cell of respiratory system,187604,0.021388871377817913
azimuth,http://purl.obolibrary.org/obo/CL_0017000,pulmonary ionocyte,139324,0.021342548954571248
azimuth,http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell,99608,0.014094061757303171
azimuth,http://purl.obolibrary.org/obo/CL_0009089,lung pericyte,81514,0.016603150396987093
azimuth,http://purl.obolibrary.org/obo/CL_1001603,lung macrophage,73712,0.03611279028030321
azimuth,http://purl.obolibrary.org/obo/CL_4052030,Adventitial fibroblasts,61386,0.013251454450753325
azimuth,http://purl.obolibrary.org/obo/CL_4028003,alveolar capillary type 2 endothelial cell,59800,0.018394149439415634
azimuth,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,39296,0.007331332855326102
azimuth,http://purl.obolibrary.org/obo/CL_0000860,classical monocyte,39104,0.01572449729457341
azimuth,http://purl.obolibrary.org/obo/CL_0000583,alveolar macrophage,38220,0.0277753285632949
azimuth,http://purl.obolibrary.org/obo/CL_0009086,endothelial cell of respiratory system lymphatic vessel,37958,0.007101784291897007
azimuth,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,36520,0.017423335718873542
azimuth,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast cell,33644,0.011241048996499534
azimuth,http://purl.obolibrary.org/obo/CL_0002633,respiratory basal cell,32616,0.005363454688530731
azimuth,http://purl.obolibrary.org/obo/CL_0002399,CD1c-positive myeloid dendritic cell,26356,0.006616918411798181
azimuth,http://purl.obolibrary.org/obo/CL_0000236,B cell,23814,0.005779716600351138
azimuth,http://purl.obolibrary.org/obo/CL_0000322,pulmonary alveolar epithelial cell,13100,0.006035385355104934
azimuth,http://purl.obolibrary.org/obo/CL_0000097,mast cell,13048,0.003984209699523663
azimuth,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell,5850,0.001881824369759897
azimuth,http://purl.obolibrary.org/obo/CL_4033043,lung interstitial macrophage,4556,0.004868993068519341
azimuth,http://purl.obolibrary.org/obo/CL_0000158,club cell,4436,0.002176172645978605
azimuth,http://purl.obolibrary.org/obo/CL_0002480,Goblet (nasal),4334,0.001093142100115725
azimuth,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,3504,0.002195820772405099
azimuth,http://purl.obolibrary.org/obo/CL_4033080,AT2 proliferating,2224,0.001811427242306897
azimuth,http://purl.obolibrary.org/obo/CL_0002241,pulmonary interstitial fibroblast,1852,0.0020220424674328684
azimuth,http://purl.obolibrary.org/obo/CL_0005012,multiciliated epithelial cell,1746,0.002641204184565365
azimuth,http://purl.obolibrary.org/obo/CL_4033077,cycling alveolar macrophage,970,0.0068132316967564974
azimuth,http://purl.obolibrary.org/obo/CL_0001058,"plasmacytoid dendritic cell, human",958,2.6329932491863745E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033005,serous secreting cell of bronchus submucosal gland,894,0.0032666553675073174
azimuth,http://purl.obolibrary.org/obo/CL_4033048,respiratory tract suprabasal cell,876,2.28649019769164E-4
azimuth,http://purl.obolibrary.org/obo/CL_0002075,brush cell of tracheobronchial tree,798,2.728169654430371E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033044,deuterosomal cell,708,8.234838385784433E-4
azimuth,http://purl.obolibrary.org/obo/CL_0019003,tracheobronchial goblet cell,288,0.0016496783159081257
azimuth,http://purl.obolibrary.org/obo/CL_4033069,T cells proliferating,272,4.3622469484623E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033023,airway submucosal gland collecting duct epithelial cell,234,5.45271491882702E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033022,mucus secreting cell of bronchus submucosal gland,96,1.0807469952298023E-4
azimuth,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell,80,1.4713983563003244E-4
azimuth,http://purl.obolibrary.org/obo/CL_1000223,pulmonary neuroendocrine cell,36,7.584614105684946E-4
azimuth,http://purl.obolibrary.org/obo/CL_1000491,mesothelial cell of pleura,24,3.0126011681035287E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033041,CCL3-positive alveolar macrophage,22,0.0010700125083407132
azimuth,http://purl.obolibrary.org/obo/CL_4033045,lung migratory dendritic cell,6,3.127280308558324E-4
azimuth,http://purl.obolibrary.org/obo/CL_4052029,Subpleural fibroblasts,2,9.091735612328394E-5
celltypist,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,817774,0.15186612396350793
celltypist,http://purl.obolibrary.org/obo/CL_0002633,respiratory basal cell,624368,0.0649596887929018
celltypist,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,585298,0.1286764469975679
celltypist,http://purl.obolibrary.org/obo/CL_0000492,CD4-positive helper T cell,533354,0.06843016298640692
celltypist,http://purl.obolibrary.org/obo/CL_0005012,multiciliated epithelial cell,424264,0.0692157534366387
celltypist,http://purl.obolibrary.org/obo/CL_0002144,capillary endothelial cell,403106,0.06780654631759574
celltypist,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,264710,0.06488690121092368
celltypist,http://purl.obolibrary.org/obo/CL_0000158,club cell,231006,0.030131639001948478
celltypist,http://purl.obolibrary.org/obo/CL_4028004,alveolar type 1 fibroblast cell,191236,0.040197460277882756
celltypist,http://purl.obolibrary.org/obo/CL_1001603,lung macrophage,142922,0.04507508972780447
celltypist,http://purl.obolibrary.org/obo/CL_1000312,bronchial goblet cell,133316,0.02271753711924806
celltypist,http://purl.obolibrary.org/obo/CL_0019001,tracheobronchial serous cell,99096,0.01899260026575756
celltypist,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,90362,0.02214980337692669
celltypist,http://purl.obolibrary.org/obo/CL_4028003,alveolar capillary type 2 endothelial cell,90142,0.022195261438156644
celltypist,http://purl.obolibrary.org/obo/CL_0000913,"effector memory CD8-positive, alpha-beta T cell",62378,0.010650732475532602
celltypist,http://purl.obolibrary.org/obo/CL_1000413,endothelial cell of artery,62308,0.01552381954238217
