sex,provider,dataset_count,cell_count
Female,Broad Institute,39,650053
Male,Broad Institute,42,787645
Female,CHOP,2,166311
Female,GTEx,6,142466
Male,GTEx,8,183482
Male,Harvard University,27,12813396
Female,NHLBI/LungMap,1,22923
Male,NHLBI/LungMap,2,27034
Female,RTI-General Electric,4,19729
Male,RTI-General Electric,6,28594
Male,Stanford University,29,2639215
Female,TMC - Buck Institute,28,14000
Female,TMC - Children's Hospital of Philadelphia,6,503664
Male,TMC - Children's Hospital of Philadelphia,4,216550
Female,TMC - Pacific Northwest National Laboratory,8,9826337
Male,TMC - Pacific Northwest National Laboratory,4,5065538
Female,TMC - University of Pennsylvania,23,105997
Female,TMC - University of Pittsburgh,29,1413148
Male,TMC - University of Pittsburgh,59,2658527
Female,TMC - Washington University,3,63920
Male,TMC - Washington University,4,101784
Female,TMC - Yale University - Fan,2,4985010
Male,TMC - Yale University - Fan,3,3933835
Female,TMC-CalTech,5,522634
Male,TMC-CalTech,15,1560170
Female,TMC-Florida,2,330673
Male,TMC-Florida,5,331369
Female,TMC-Stanford,37,795690
Male,TMC-Stanford,85,2344896
Female,TMC-UCSD,89,3408532
Male,TMC-UCSD,189,10066268
Female,TMC-UConn,1,3302
Female,Tabula Sapiens,27,374241
Male,Tabula Sapiens,13,201562
