organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0004539,right kidney,Male,sc_transcriptomics,kidney pyramid,hilum of kidney,0.2946064250819930003125,81,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,kidney pyramid,hilum of kidney,0.2946064250819930003125,81,2
UBERON:0004539,right kidney,Male,sc_transcriptomics,kidney capsule,hilum of kidney,0.28649101047461770283,7,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,kidney capsule,hilum of kidney,0.28649101047461770283,7,2
UBERON:0004539,right kidney,Male,sc_transcriptomics,outer cortex of kidney,hilum of kidney,0.343377074090326342467,46,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,outer cortex of kidney,hilum of kidney,0.343377074090326342467,46,2
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal column,hilum of kidney,0.9999999994615600,12,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal column,hilum of kidney,0.9999999994615600,12,2
UBERON:0004539,right kidney,Female,sc_transcriptomics,renal papilla,kidney pyramid,0.31469847001485293515,7,81
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,kidney pyramid,0.126032569705123662934,7,81
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,kidney pyramid,0.126032569705123662934,7,81
UBERON:0004538,left kidney,Female,sc_transcriptomics,renal papilla,kidney pyramid,0.31469847001485293515,7,81
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,hilum of kidney,0.2598956640517503407065,7,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,hilum of kidney,0.2598956640517503407065,7,2
UBERON:0004538,left kidney,Male,sc_transcriptomics,kidney capsule,kidney pyramid,0.24957633621631184,7,81
UBERON:0004538,left kidney,Female,sc_transcriptomics,kidney capsule,kidney pyramid,0.394116808943283147375,7,81
UBERON:0004539,right kidney,Male,sc_transcriptomics,kidney capsule,kidney pyramid,0.24957633621631184,7,81
UBERON:0004539,right kidney,Female,sc_transcriptomics,kidney capsule,kidney pyramid,0.394116808943283147375,7,81
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,outer cortex of kidney,0.387793844367311373475,7,46
UBERON:0004538,left kidney,Female,sc_transcriptomics,renal papilla,outer cortex of kidney,0.36264975378932835395,7,46
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,outer cortex of kidney,0.387793844367311373475,7,46
UBERON:0004539,right kidney,Female,sc_transcriptomics,renal papilla,outer cortex of kidney,0.36264975378932835395,7,46
UBERON:0004538,left kidney,Female,sc_transcriptomics,renal column,kidney pyramid,0.26588026934295773621,12,81
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal column,kidney pyramid,0.2946064072867327560305,12,81
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal column,kidney pyramid,0.2946064072867327560305,12,81
UBERON:0004539,right kidney,Female,sc_transcriptomics,renal column,kidney pyramid,0.26588026934295773621,12,81
UBERON:0004539,right kidney,Female,sc_transcriptomics,renal papilla,kidney capsule,0.428839754070692319375,7,7
UBERON:0004538,left kidney,Female,sc_transcriptomics,renal papilla,kidney capsule,0.428839754070692319375,7,7
UBERON:0004539,right kidney,Female,sc_transcriptomics,outer cortex of kidney,kidney pyramid,0.40545039480029177875,46,81
UBERON:0004539,right kidney,Male,sc_transcriptomics,outer cortex of kidney,kidney pyramid,0.278053732967427155015,46,81
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,kidney capsule,0.4065762577287079,7,7
