organId,organ,sex,modality,tool,total_organ_as_count,organ_as_count_with_collisions,rui_location_count,dataset_count,non_atlas_dataset_count
UBERON:0000059,large intestine,Female,sc_proteomics,sc_proteomics,11,7,6,6,64
UBERON:0000059,large intestine,Male,sc_proteomics,sc_proteomics,11,6,25,49,266
UBERON:0002509,mesenteric lymph node,Female,sc_proteomics,sc_proteomics,8,6,2,2,6
UBERON:0002509,mesenteric lymph node,Male,sc_proteomics,sc_proteomics,8,7,3,3,8
UBERON:0001264,pancreas,Female,sc_proteomics,sc_proteomics,6,5,8,8,202
UBERON:0001004,respiratory system,Male,sc_proteomics,sc_proteomics,59,11,1,1,290
UBERON:0002097,skin of body,Male,sc_proteomics,sc_proteomics,1,1,2,2,17
UBERON:0002108,small intestine,Female,sc_proteomics,sc_proteomics,11,8,8,8,211
UBERON:0002108,small intestine,Male,sc_proteomics,sc_proteomics,12,7,24,24,244
UBERON:0002106,spleen,Female,sc_proteomics,sc_proteomics,6,1,1,1,19
UBERON:0002106,spleen,Male,sc_proteomics,sc_proteomics,6,3,2,2,63
FMA:24978,Left knee,Male,sc_transcriptomics,popv,13,4,2,2,7
FMA:24978,Left knee,Male,sc_transcriptomics,pan-human-azimuth,13,4,2,2,7
FMA:24977,Right knee,Female,sc_transcriptomics,pan-human-azimuth,13,5,4,5,12
FMA:24977,Right knee,Male,sc_transcriptomics,pan-human-azimuth,13,5,6,6,11
FMA:57987,Set of lactiferous glands in right breast,Female,sc_transcriptomics,popv,9,2,1,3,4
FMA:57987,Set of lactiferous glands in right breast,Female,sc_transcriptomics,pan-human-azimuth,9,2,1,3,4
UBERON:0000948,heart,Female,sc_transcriptomics,azimuth,17,5,5,17,51
UBERON:0000948,heart,Female,sc_transcriptomics,celltypist,17,5,5,17,51
UBERON:0000948,heart,Female,sc_transcriptomics,pan-human-azimuth,17,5,5,17,51
UBERON:0000948,heart,Male,sc_transcriptomics,azimuth,17,5,18,60,341
UBERON:0000948,heart,Male,sc_transcriptomics,celltypist,17,5,18,60,341
UBERON:0000948,heart,Male,sc_transcriptomics,pan-human-azimuth,17,5,18,60,341
UBERON:0000059,large intestine,Female,sc_transcriptomics,celltypist,11,7,8,14,64
UBERON:0000059,large intestine,Female,sc_transcriptomics,popv,11,7,8,14,64
UBERON:0000059,large intestine,Female,sc_transcriptomics,pan-human-azimuth,11,7,8,14,64
UBERON:0000059,large intestine,Male,sc_transcriptomics,celltypist,11,6,24,27,266
UBERON:0000059,large intestine,Male,sc_transcriptomics,popv,11,6,24,27,266
UBERON:0000059,large intestine,Male,sc_transcriptomics,pan-human-azimuth,11,6,24,27,266
UBERON:0004538,left kidney,Female,sc_transcriptomics,azimuth,9,4,6,32,327
UBERON:0004538,left kidney,Female,sc_transcriptomics,pan-human-azimuth,9,4,6,32,327
UBERON:0004538,left kidney,Male,sc_transcriptomics,azimuth,9,6,11,40,438
UBERON:0004538,left kidney,Male,sc_transcriptomics,pan-human-azimuth,9,6,11,40,438
UBERON:0002119,left ovary,Female,sc_transcriptomics,pan-human-azimuth,1,1,2,18,48
UBERON:0001223,left ureter,Female,sc_transcriptomics,azimuth,1,1,2,4,4
UBERON:0001223,left ureter,Female,sc_transcriptomics,pan-human-azimuth,1,1,2,4,4
