cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
neural crest derived fibroblast,http://purl.obolibrary.org/obo/CL_0000005,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
neuronal receptor cell,http://purl.obolibrary.org/obo/CL_0000006,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
migratory cranial neural crest cell,http://purl.obolibrary.org/obo/CL_0000008,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
migratory trunk neural crest cell,http://purl.obolibrary.org/obo/CL_0000011,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
germ line stem cell,http://purl.obolibrary.org/obo/CL_0000014,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
male germ cell,http://purl.obolibrary.org/obo/CL_0000015,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
male germ line stem cell,http://purl.obolibrary.org/obo/CL_0000016,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
spermatocyte,http://purl.obolibrary.org/obo/CL_0000017,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
spermatid,http://purl.obolibrary.org/obo/CL_0000018,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
sperm,http://purl.obolibrary.org/obo/CL_0000019,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
spermatogonium,http://purl.obolibrary.org/obo/CL_0000020,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
female germ cell,http://purl.obolibrary.org/obo/CL_0000021,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
female germ line stem cell,http://purl.obolibrary.org/obo/CL_0000022,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
oocyte,http://purl.obolibrary.org/obo/CL_0000023,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
oogonial cell,http://purl.obolibrary.org/obo/CL_0000024,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
egg cell,http://purl.obolibrary.org/obo/CL_0000025,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
invertebrate nurse cell,http://purl.obolibrary.org/obo/CL_0000026,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
smooth muscle cell neural crest derived,http://purl.obolibrary.org/obo/CL_0000027,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
CNS neuron (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000028,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
neural crest derived neuron,http://purl.obolibrary.org/obo/CL_0000029,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
apocrine cell,http://purl.obolibrary.org/obo/CL_0000033,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
stem cell,http://purl.obolibrary.org/obo/CL_0000034,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
single fate stem cell,http://purl.obolibrary.org/obo/CL_0000035,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
epithelial fate stem cell,http://purl.obolibrary.org/obo/CL_0000036,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
erythroid progenitor cell,http://purl.obolibrary.org/obo/CL_0000038,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
germ line cell,http://purl.obolibrary.org/obo/CL_0000039,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
monoblast,http://purl.obolibrary.org/obo/CL_0000040,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
