sex,dataset,technology,description,annotation_method,unique_cell_type_count
Female,https://entity.api.hubmapconsortium.org/entities/efaecdc1565274900386733cf1661ca6,CODEX,Dataset Type: CODEX,sc_proteomics,21
Female,https://entity.api.hubmapconsortium.org/entities/e45724a72ab0e7d7b283451836dd983e,CODEX,Dataset Type: CODEX,sc_proteomics,22
Male,https://entity.api.hubmapconsortium.org/entities/f85a3bfcde06f603102506c851dd76a0,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,77
Male,https://entity.api.hubmapconsortium.org/entities/dc535e26fd17b8286a57d6dcd734c648,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,36
Male,https://entity.api.hubmapconsortium.org/entities/dc535e26fd17b8286a57d6dcd734c648,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,30
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,19
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,27
Male,https://entity.api.hubmapconsortium.org/entities/f85a3bfcde06f603102506c851dd76a0,RNAseq,Dataset Type: RNAseq [Salmon],popv,15
Male,https://entity.api.hubmapconsortium.org/entities/f85a3bfcde06f603102506c851dd76a0,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,49
Male,https://entity.api.hubmapconsortium.org/entities/e7b70f4c1b3cb934e45fc4114a4fca28,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,63
Male,https://entity.api.hubmapconsortium.org/entities/e7b70f4c1b3cb934e45fc4114a4fca28,RNAseq,Dataset Type: RNAseq [Salmon],popv,16
Male,https://entity.api.hubmapconsortium.org/entities/e7b70f4c1b3cb934e45fc4114a4fca28,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,27
Male,https://entity.api.hubmapconsortium.org/entities/f7b14f3298c0676d8cc5b127e72c8bc7,CODEX,Dataset Type: CODEX,sc_proteomics,22
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,39
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,26
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,42
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,19
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,28
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,34
Female,https://entity.api.hubmapconsortium.org/entities/fee4cf0e7da557d3ef5c535b5417ed7a,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,39
Female,https://entity.api.hubmapconsortium.org/entities/fee4cf0e7da557d3ef5c535b5417ed7a,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,34
Female,https://entity.api.hubmapconsortium.org/entities/fd0b0c1d050010de3520492147aacef4,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,41
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,19
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,24
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,31
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,27
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,38
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,17
