dataset,publication,publication_lead_author,publication_title
https://entity.api.hubmapconsortium.org/entities/00d1a3623dac388773bc7780fcb42797,https://doi.org/10.1101/2023.10.05.560733,,
https://entity.api.hubmapconsortium.org/entities/319aafd9420a0c1c6f175d6a2ef060a9,,,
https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d,,,
https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,,,
https://entity.api.hubmapconsortium.org/entities/5d111a1db2f18d507d23e79b993e1e4a,,,
https://entity.api.hubmapconsortium.org/entities/654418415bed5ecb9596b17a0320a2c6,https://doi.org/10.1101/2023.10.05.560733,,
https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734,,,
https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,,,
https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,,,
https://entity.api.hubmapconsortium.org/entities/b299e98235f157534445f00884ae7c44,,,
https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,,,
https://entity.api.hubmapconsortium.org/entities/ca35382d67c90d4d9bca1ee16526b1d3,,,
https://entity.api.hubmapconsortium.org/entities/d0c1bd09443c301413f44f7108d20e08,,,
https://entity.api.hubmapconsortium.org/entities/d8ec264c4660ef7053764f71ae1789d0,,,
https://entity.api.hubmapconsortium.org/entities/0b590c9e3a62178da592e85572e2f1bf,,,
https://entity.api.hubmapconsortium.org/entities/237b8f24c23821690519af862cf25a9f,,,
https://entity.api.hubmapconsortium.org/entities/3152ddcb811d362113ebb119602f2cd4,,,
https://entity.api.hubmapconsortium.org/entities/37ccf28cb5c06e8ba076f587ee4e50be,,,
https://entity.api.hubmapconsortium.org/entities/391061b538480d6d630bdfec283c0293,,,
https://entity.api.hubmapconsortium.org/entities/4369a119a9c06ea304003a5c3cb3a2e0,,,
https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,,,
https://entity.api.hubmapconsortium.org/entities/58167d0f778284d5b95af782bd8132da,,,
