sex,donor,consortium_name
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor1,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor2,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor3,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor4,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor5,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor6,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor7,<Consortium Name>
Female,http://purl.org/ccf/10.1016/j.celrep.2022.111838#Donor8,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor1,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor10,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor11,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor12,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor13,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor14,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor15,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor16,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor17,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor2,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor3,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor4,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor5,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor6,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor7,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor8,<Consortium Name>
Female,https://doi.org/10.1038/s41467-024-55440-2#Donor9,<Consortium Name>
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H18.30.001_Donor,Allen Institute for Brain Science
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H200.1023_Donor,Allen Institute for Brain Science
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2a0b02c0-fea6-47bd-92b9-9b03f5d2580c#MM04,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2a0b02c0-fea6-47bd-92b9-9b03f5d2580c#MM08,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2a0b02c0-fea6-47bd-92b9-9b03f5d2580c#MM11,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2a0b02c0-fea6-47bd-92b9-9b03f5d2580c#MM12,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2bebc4ae-69a2-4001-9d2f-091ec9b4020c#CTL04E,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#BRC2188,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#BRC2192,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#HDBR14853,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#HDBR14854,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028#HDBR15279,CxG
