tool,cell_id,cell_label,cell_count,gene_id,gene_label,gene_expr,dataset
azimuth,http://purl.obolibrary.org/obo/CL_0002480,Goblet (nasal),60,HGNC:534,ANXA10,5.690554618835449,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_NEUROD1_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_0000158,Club (nasal),90,HGNC:534,ANXA10,6.152210235595703,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_NEUROD1_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,715,HGNC:534,ANXA10,3.42593789100647,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855479_Lung_2_2$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_0000158,Club (nasal),56,HGNC:534,ANXA10,5.610435485839844,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_NEUROG3_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,756,HGNC:534,ANXA10,3.440290927886963,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855481_Lung_2_4$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,734,HGNC:534,ANXA10,3.517550945281982,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855480_Lung_2_3$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,676,HGNC:534,ANXA10,3.467685222625732,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855478_Lung_2_1$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_0002062,AT1,96,HGNC:534,ANXA10,2.584890604019165,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Hein_Dev_2022_4_week_iBTO$lung
azimuth,http://purl.obolibrary.org/obo/CL_4033022,SMG mucous,19,HGNC:534,ANXA10,6.577048778533936,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_TFAP2A_overexpression$lung
celltypist,http://purl.obolibrary.org/obo/CL_1000353,Microfold cell,467,HGNC:534,ANXA10,1.07245659828186,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP2$duodenum
celltypist,http://purl.obolibrary.org/obo/CL_1000353,Microfold cell,214,HGNC:534,ANXA10,1.518064022064209,https://api.cellxgene.cziscience.com/dp/v1/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc#A34%20(417C)$duodenum
celltypist,http://purl.obolibrary.org/obo/CL_0000160,BEST2+ Goblet cell,101,HGNC:534,ANXA10,0.6451388001441956,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Holloway_CellStemCell_2021_hITD_NRG1_day132_S94$duodenum
celltypist,http://purl.obolibrary.org/obo/CL_4047004,cycling EC,40,HGNC:534,ANXA10,1.484626531600952,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Sarvestani_NatCommun_2021_CRL1541_iHNO$colon
celltypist,http://purl.obolibrary.org/obo/CL_0000160,BEST2+ Goblet cell,1076,HGNC:534,ANXA10,0.4760538339614868,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Yan_Gut_2020_H019_NOd$colon
