Organ_Label,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,dataset_count,cell_count
adipose tissue,UBERON:0001013,B cell,CL:0000236,B cell,CL:0000236,,29,8969
adipose tissue,UBERON:0001013,T cell,CL:0000084,T cell,CL:0000084,,30,32921
adipose tissue,UBERON:0001013,endothelial cell,CL:0000115,endothelial cell,CL:0000115,,35,10257
adipose tissue,UBERON:0001013,fibroblast,CL:0000057,fibroblast,CL:0000057,,33,37672
adipose tissue,UBERON:0001013,leukocyte,CL:0000738,leukocyte,CL:0000738,,34,5368
adipose tissue,UBERON:0001013,macrophage,CL:0000235,macrophage,CL:0000235,,34,21409
adipose tissue,UBERON:0001013,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,30,2373
adipose tissue,UBERON:0001013,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,CL:0000134,,24,6685
adipose tissue,UBERON:0001013,myofibroblast cell,CL:0000186,myofibroblast cell,CL:0000186,,26,4890
adipose tissue,UBERON:0001013,neutrophil,CL:0000775,neutrophil,CL:0000775,,27,4550
adipose tissue,UBERON:0001013,plasma cell,CL:0000786,plasma cell,CL:0000786,,29,1791
adipose tissue,UBERON:0001013,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,,19,132
blood,UBERON:0000178,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",CL:0001201,,56,78
blood,UBERON:0000178,CD141-positive myeloid dendritic cell,CL:0002394,CD141-positive myeloid dendritic cell,CL:0002394,,556,28903
blood,UBERON:0000178,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,178,408
blood,UBERON:0000178,"CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",CL:0000897,,2855,2602596
blood,UBERON:0000178,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,2842,801741
blood,UBERON:0000178,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,,2820,542333
blood,UBERON:0000178,T cell,CL:0000084,T cell,CL:0000084,,395,3439
blood,UBERON:0000178,basophil,CL:0000767,basophil,CL:0000767,,834,31277
blood,UBERON:0000178,classical monocyte,CL:0000860,classical monocyte,CL:0000860,,2849,1969011
blood,UBERON:0000178,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,486,29311
