modality,tool,cell_label,cell_id,cell_count,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_proteomics,sc_proteomics,macrophage,http://purl.obolibrary.org/obo/CL_0000235,1536,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
sc_proteomics,sc_proteomics,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,729,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,sc_proteomics,"CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000625,649,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624,616,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,extravillous trophoblast,http://purl.obolibrary.org/obo/CL_0008036,586,true,http://purl.obolibrary.org/obo/CL_0000349,extraembryonic cell,,
sc_proteomics,sc_proteomics,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,548,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,dendritic cell,http://purl.obolibrary.org/obo/CL_0000451,517,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,enterocyte,http://purl.obolibrary.org/obo/CL_0000584,509,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,B cell,http://purl.obolibrary.org/obo/CL_0000236,455,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,386,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,sc_proteomics,plasma cell,http://purl.obolibrary.org/obo/CL_0000786,375,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,372,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
sc_proteomics,sc_proteomics,goblet cell,http://purl.obolibrary.org/obo/CL_0000160,354,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,myofibroblast cell,http://purl.obolibrary.org/obo/CL_0000186,340,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
sc_proteomics,sc_proteomics,neuron,http://purl.obolibrary.org/obo/CL_0000540,327,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_proteomics,sc_proteomics,neutrophil,http://purl.obolibrary.org/obo/CL_0000775,320,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_proteomics,sc_proteomics,stromal cell,http://purl.obolibrary.org/obo/CL_0000499,299,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_proteomics,sc_proteomics,neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,295,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_proteomics,sc_proteomics,inflammatory macrophage,http://purl.obolibrary.org/obo/CL_0000863,295,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
sc_proteomics,sc_proteomics,interstitial cell of Cajal,http://purl.obolibrary.org/obo/CL_0002088,295,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,CD7-positive lymphoid progenitor cell,http://purl.obolibrary.org/obo/CL_0001028,293,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,fibroblast,http://purl.obolibrary.org/obo/CL_0000057,276,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_proteomics,sc_proteomics,CD57-positive enterocyte,http://purl.obolibrary.org/obo/CL_4033092,273,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,paneth cell,http://purl.obolibrary.org/obo/CL_0000510,251,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,mature NK T cell,http://purl.obolibrary.org/obo/CL_0000814,234,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,mast cell,http://purl.obolibrary.org/obo/CL_0000097,228,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,regulatory T cell,http://purl.obolibrary.org/obo/CL_0000815,206,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,glandular secretory epithelial cell,http://purl.obolibrary.org/obo/CL_0000150,188,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,muscle cell,http://purl.obolibrary.org/obo/CL_0000187,157,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
sc_proteomics,sc_proteomics,crypt-top fibroblast,http://purl.obolibrary.org/obo/CL_4052009,125,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_proteomics,sc_proteomics,memory B cell,http://purl.obolibrary.org/obo/CL_0000787,88,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,naive B cell,http://purl.obolibrary.org/obo/CL_0000788,88,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,innate lymphoid cell,http://purl.obolibrary.org/obo/CL_0001065,72,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000068,66,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,66,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,T cell,http://purl.obolibrary.org/obo/CL_0000084,65,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,lymphocyte,http://purl.obolibrary.org/obo/CL_0000542,63,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,61,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,germinal center B cell,http://purl.obolibrary.org/obo/CL_0000844,55,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,keratinocyte,http://purl.obolibrary.org/obo/CL_0000312,53,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,follicular dendritic cell,http://purl.obolibrary.org/obo/CL_0000442,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,migratory dendtritic cell,http://purl.obolibrary.org/obo/CL_4047054,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,"naive thymus-derived CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000895,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,"effector CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0001044,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,CD1c-positive myeloid dendritic cell,http://purl.obolibrary.org/obo/CL_0002399,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,monocyte,http://purl.obolibrary.org/obo/CL_0000576,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000576,monocyte
sc_proteomics,sc_proteomics,CD141-positive myeloid dendritic cell,http://purl.obolibrary.org/obo/CL_0002394,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,cycling B cell,http://purl.obolibrary.org/obo/CL_4033068,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,plasmacytoid dendritic cell,http://purl.obolibrary.org/obo/CL_0000784,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,T follicular helper cell,http://purl.obolibrary.org/obo/CL_0002038,50,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,myeloid cell,http://purl.obolibrary.org/obo/CL_0000763,48,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,adipocyte,http://purl.obolibrary.org/obo/CL_0000136,38,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
sc_proteomics,sc_proteomics,naive T cell,http://purl.obolibrary.org/obo/CL_0000898,38,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,"double-positive, alpha-beta thymocyte",http://purl.obolibrary.org/obo/CL_0000809,38,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,"effector memory CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000913,38,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,glial cell,http://purl.obolibrary.org/obo/CL_0000125,38,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_proteomics,sc_proteomics,double negative thymocyte,http://purl.obolibrary.org/obo/CL_0002489,38,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,enteroendocrine cell,http://purl.obolibrary.org/obo/CL_0000164,38,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,intestinal tuft cell,http://purl.obolibrary.org/obo/CL_0019032,38,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,pericyte,http://purl.obolibrary.org/obo/CL_0000669,38,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
sc_proteomics,sc_proteomics,BEST4+ enterocyte,http://purl.obolibrary.org/obo/CL_4030026,38,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,stem cell,http://purl.obolibrary.org/obo/CL_0000034,38,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_proteomics,sc_proteomics,leukocyte,http://purl.obolibrary.org/obo/CL_0000738,37,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,"CD4-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000897,36,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,"CD8-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000909,36,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,follicular B cell,http://purl.obolibrary.org/obo/CL_0000843,36,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
sc_proteomics,sc_proteomics,endothelial cell of vascular tree,http://purl.obolibrary.org/obo/CL_0002139,36,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,sc_proteomics,endothelial cell of sinusoid,http://purl.obolibrary.org/obo/CL_0002262,36,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,sc_proteomics,myeloid leukocyte,http://purl.obolibrary.org/obo/CL_0000766,36,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,lung interstitial macrophage,http://purl.obolibrary.org/obo/CL_4033043,25,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
sc_proteomics,sc_proteomics,megakaryocyte,http://purl.obolibrary.org/obo/CL_0000556,25,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,sc_proteomics,pulmonary alveolar type 1 cell,http://purl.obolibrary.org/obo/CL_0002062,25,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,pulmonary alveolar type 2 cell,http://purl.obolibrary.org/obo/CL_0002063,25,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,sc_proteomics,memory T cell,http://purl.obolibrary.org/obo/CL_0000813,13,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,sc_proteomics,CD11b-positive dendritic cell,http://purl.obolibrary.org/obo/CL_0002465,12,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_proteomics,sc_proteomics,Langerhans cell,http://purl.obolibrary.org/obo/CL_0000453,12,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
