organ,cell_id,cell_label,biomarker_label,biomarker_id,max_expr
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,MALAT1,ASCTB-TEMP:malat1,7.723395319040889
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,HIVEP2,ASCTB-TEMP:hivep2,3.551944966810432
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,SMARCA2,ASCTB-TEMP:smarca2,3.140955048539206
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,IL7R,ASCTB-TEMP:il7r,2.939625891700795
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,TSHZ2,ASCTB-TEMP:tshz2,2.751362171402745
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,CD247,ASCTB-TEMP:cd247,2.623996728990453
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,IQGAP2,ASCTB-TEMP:iqgap2,2.615510902107027
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,CYTIP,ASCTB-TEMP:cytip,2.411307440198758
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,RASGRF2,ASCTB-TEMP:rasgrf2,1.933861149870508
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000084,T cell,SIDT1,ASCTB-TEMP:sidt1,1.435228913237754
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,RBMS3,ASCTB-TEMP:rbms3,4.226877038504069
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,NFIB,ASCTB-TEMP:nfib,3.745418933572831
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,NFIA,ASCTB-TEMP:nfia,3.434395594482832
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,TCF4,ASCTB-TEMP:tcf4,3.39467688127354
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,RBPMS,ASCTB-TEMP:rbpms,3.058644465938235
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,MAGI1,ASCTB-TEMP:magi1,3.052575373590176
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,FBXL7,ASCTB-TEMP:fbxl7,2.983809142178161
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,LIFR,ASCTB-TEMP:lifr,2.89159558502404
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,PLCB4,ASCTB-TEMP:plcb4,2.343782826689736
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,RAI14,ASCTB-TEMP:rai14,2.316774328582174
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000232,erythrocyte,RBMS3,ASCTB-TEMP:rbms3,4.580652390619765
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000232,erythrocyte,CAMK2D,ASCTB-TEMP:camk2d,4.284920071280927
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000232,erythrocyte,TNC,ASCTB-TEMP:tnc,3.830244624912042
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000232,erythrocyte,CALD1,ASCTB-TEMP:cald1,3.419724911856032
mesenteric lymph node,http://purl.obolibrary.org/obo/CL_0000232,erythrocyte,DLC1,ASCTB-TEMP:dlc1,3.390676886367851
