#####Coverage percentage#####
80.63%
#####Number of terms covered by each term in the slim#####
adipocyte,12
melanocyte,14
monocyte,21
exocrine cell,30
extraembryonic cell,31
natural killer cell,34
germ line cell,39
bone cell,39
blood cell,42
glial cell,64
macrophage,70
dendritic cell,82
B cell,97
endothelial cell,107
stem cell,107
stromal cell,144
muscle cell,145
T cell,165
neuron,566
epithelial cell,658
#####Terms that are not covered by ../templates/high_level_upper_slim.csv under CL:0000000#####
http://purl.obolibrary.org/obo/CL_0000725,nitrogen fixing cell
http://purl.obolibrary.org/obo/CL_0000329,oxygen accumulating cell
http://purl.obolibrary.org/obo/CL_0000628,photosynthetic cell
http://purl.obolibrary.org/obo/CL_0000415,diploid cell
http://purl.obolibrary.org/obo/CL_0000412,polyploid cell
http://purl.obolibrary.org/obo/CL_0010017,zygote
http://purl.obolibrary.org/obo/CL_0000891,foam cell
http://purl.obolibrary.org/obo/CL_0000627,transporting cell
http://purl.obolibrary.org/obo/CL_4029001,gamete-nursing cell
http://purl.obolibrary.org/obo/CL_0001061,abnormal cell
http://purl.obolibrary.org/obo/CL_0000422,mitogenic signaling cell
http://purl.obolibrary.org/obo/CL_0000424,excretory cell
http://purl.obolibrary.org/obo/CL_0000520,prokaryotic cell
http://purl.obolibrary.org/obo/CL_0000413,haploid cell
http://purl.obolibrary.org/obo/CL_4033054,perivascular cell
http://purl.obolibrary.org/obo/CL_0009002,inflammatory cell
http://purl.obolibrary.org/obo/CL_0000293,structural cell
http://purl.obolibrary.org/obo/CL_0007001,skeletogenic cell
http://purl.obolibrary.org/obo/CL_0000225,anucleate cell
http://purl.obolibrary.org/obo/CL_0002321,embryonic cell (metazoa)
http://purl.obolibrary.org/obo/CL_0000630,supporting cell
http://purl.obolibrary.org/obo/CL_0001034,cell in vitro
http://purl.obolibrary.org/obo/CL_0000445,apoptosis fated cell
http://purl.obolibrary.org/obo/CL_0002269,vasoactive intestinal peptide secreting cell
http://purl.obolibrary.org/obo/CL_0002044,"Kit-positive, integrin beta7-high basophil mast progenitor cell"
http://purl.obolibrary.org/obo/CL_0000178,Leydig cell
http://purl.obolibrary.org/obo/CL_0000486,garland cell
http://purl.obolibrary.org/obo/CL_0002425,early T lineage precursor
http://purl.obolibrary.org/obo/CL_0000985,IgG plasma cell
http://purl.obolibrary.org/obo/CL_0000857,slow muscle myoblast
http://purl.obolibrary.org/obo/CL_2000038,posterior lateral line neuromast mantle cell
http://purl.obolibrary.org/obo/CL_0002017,"Kit-negative, Ly-76 high orthochromatophilic erythroblasts"
http://purl.obolibrary.org/obo/CL_0000308,metal ion accumulating cell
http://purl.obolibrary.org/obo/CL_0009089,lung pericyte
http://purl.obolibrary.org/obo/CL_0000159,seromucus secreting cell
http://purl.obolibrary.org/obo/CL_1001319,bladder cell
http://purl.obolibrary.org/obo/CL_0000608,zygospore
http://purl.obolibrary.org/obo/CL_0000852,neuromast supporting cell
http://purl.obolibrary.org/obo/CL_0000167,peptide hormone secreting cell
http://purl.obolibrary.org/obo/CL_1000500,kidney interstitial cell
http://purl.obolibrary.org/obo/CL_0000177,testosterone secreting cell
http://purl.obolibrary.org/obo/CL_0000295,somatotropin secreting cell
http://purl.obolibrary.org/obo/CL_4033084,cuboidal granulosa cell
http://purl.obolibrary.org/obo/CL_0002043,"CD34-positive, CD38-negative multipotent progenitor cell"
http://purl.obolibrary.org/obo/CL_0000054,bone matrix secreting cell
http://purl.obolibrary.org/obo/CL_1000804,kidney outer medulla interstitial cell
http://purl.obolibrary.org/obo/CL_0002384,uninucleate macroconidium
http://purl.obolibrary.org/obo/CL_2000039,posterior lateral line neuromast supporting cell
http://purl.obolibrary.org/obo/CL_0002008,"CD34-positive, CD38-positive eosinophil progenitor cell"
http://purl.obolibrary.org/obo/CL_0002355,primitive red blood cell
http://purl.obolibrary.org/obo/CL_0001060,"hematopoietic oligopotent progenitor cell, lineage-negative"
http://purl.obolibrary.org/obo/CL_0000431,iridophore
http://purl.obolibrary.org/obo/CL_0002575,central nervous system pericyte
http://purl.obolibrary.org/obo/CL_0000519,phagocyte (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0002351,progenitor cell of endocrine pancreas
http://purl.obolibrary.org/obo/CL_0000481,cholecystokin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0002032,hematopoietic oligopotent progenitor cell
http://purl.obolibrary.org/obo/CL_0002194,monopoietic cell
http://purl.obolibrary.org/obo/CL_0000839,myeloid lineage restricted progenitor cell
http://purl.obolibrary.org/obo/CL_0000516,perineuronal satellite cell
http://purl.obolibrary.org/obo/CL_1000600,lower urinary tract cell
http://purl.obolibrary.org/obo/CL_0002386,multinucleate macroconidium
http://purl.obolibrary.org/obo/CL_0000348,choroidal cell of the eye
http://purl.obolibrary.org/obo/CL_0000838,lymphoid lineage restricted progenitor cell
http://purl.obolibrary.org/obo/CL_0000338,neuroblast (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_1000333,serous cell of epithelium of lobular bronchiole
http://purl.obolibrary.org/obo/CL_0002191,granulocytopoietic cell
http://purl.obolibrary.org/obo/CL_0000197,sensory receptor cell
http://purl.obolibrary.org/obo/CL_0000631,labyrinth supporting cell
http://purl.obolibrary.org/obo/CL_0000443,calcitonin secreting cell
http://purl.obolibrary.org/obo/CL_0002389,uninucleate arthroconidium
http://purl.obolibrary.org/obo/CL_0000547,proerythroblast
http://purl.obolibrary.org/obo/CL_1000601,ureteral cell
http://purl.obolibrary.org/obo/CL_0000186,myofibroblast cell
http://purl.obolibrary.org/obo/CL_0002009,macrophage dendritic cell progenitor
http://purl.obolibrary.org/obo/CL_0002421,nucleated reticulocyte
http://purl.obolibrary.org/obo/CL_0000365,animal zygote
http://purl.obolibrary.org/obo/CL_0011011,intermediate mesodermal cell
http://purl.obolibrary.org/obo/CL_0000593,androgen secreting cell
http://purl.obolibrary.org/obo/CL_4030030,peripheral blood lymphocyte
http://purl.obolibrary.org/obo/CL_0000825,pro-NK cell
http://purl.obolibrary.org/obo/CL_2000022,cardiac septum cell
http://purl.obolibrary.org/obo/CL_0000947,IgE plasma cell
http://purl.obolibrary.org/obo/CL_0005004,pigment erythroblast
http://purl.obolibrary.org/obo/CL_0000061,cementoblast
http://purl.obolibrary.org/obo/CL_0000319,mucus secreting cell
http://purl.obolibrary.org/obo/CL_4030029,blood lymphocyte
http://purl.obolibrary.org/obo/CL_1000497,kidney cell
http://purl.obolibrary.org/obo/CL_0000619,supporting cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000827,pro-T cell
http://purl.obolibrary.org/obo/CL_1000182,malpighian tubule tip cell
http://purl.obolibrary.org/obo/CL_0005005,cyanoblast
http://purl.obolibrary.org/obo/CL_0000559,promonocyte
http://purl.obolibrary.org/obo/CL_4023059,differentiation-committed oligodendrocyte precursor
http://purl.obolibrary.org/obo/CL_0001021,"CD34-positive, CD38-positive common lymphoid progenitor"
http://purl.obolibrary.org/obo/CL_0000615,basidiospore
http://purl.obolibrary.org/obo/CL_4052002,syncytial cell
http://purl.obolibrary.org/obo/CL_0000594,skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0000613,basophil progenitor cell
http://purl.obolibrary.org/obo/CL_4033066,pre-granulosa cell
http://purl.obolibrary.org/obo/CL_0000607,ascospore
