#####Coverage percentage#####
87.56%
#####Number of terms covered by each term in the slim#####
melanocyte,14
extraembryonic cell,31
germ line cell,39
bone cell,39
endothelial cell,107
stem cell,107
muscle cell,145
connective tissue cell,228
epithelial cell,658
neural cell,699
hematopoietic cell,702
#####Terms that are not covered by ../templates/very_high_level_upper_slim.csv under CL:0000000#####
http://purl.obolibrary.org/obo/CL_4029001,gamete-nursing cell
http://purl.obolibrary.org/obo/CL_0000445,apoptosis fated cell
http://purl.obolibrary.org/obo/CL_0000520,prokaryotic cell
http://purl.obolibrary.org/obo/CL_0002321,embryonic cell (metazoa)
http://purl.obolibrary.org/obo/CL_0000151,secretory cell
http://purl.obolibrary.org/obo/CL_0009002,inflammatory cell
http://purl.obolibrary.org/obo/CL_0000329,oxygen accumulating cell
http://purl.obolibrary.org/obo/CL_0001034,cell in vitro
http://purl.obolibrary.org/obo/CL_4033054,perivascular cell
http://purl.obolibrary.org/obo/CL_0000293,structural cell
http://purl.obolibrary.org/obo/CL_0010017,zygote
http://purl.obolibrary.org/obo/CL_0000725,nitrogen fixing cell
http://purl.obolibrary.org/obo/CL_0000628,photosynthetic cell
http://purl.obolibrary.org/obo/CL_0001061,abnormal cell
http://purl.obolibrary.org/obo/CL_0000412,polyploid cell
http://purl.obolibrary.org/obo/CL_0000630,supporting cell
http://purl.obolibrary.org/obo/CL_0000891,foam cell
http://purl.obolibrary.org/obo/CL_0000627,transporting cell
http://purl.obolibrary.org/obo/CL_0002242,nucleate cell
http://purl.obolibrary.org/obo/CL_0000225,anucleate cell
http://purl.obolibrary.org/obo/CL_0000219,motile cell
http://purl.obolibrary.org/obo/CL_0007001,skeletogenic cell
http://purl.obolibrary.org/obo/CL_0000424,excretory cell
http://purl.obolibrary.org/obo/CL_0000415,diploid cell
http://purl.obolibrary.org/obo/CL_0000413,haploid cell
http://purl.obolibrary.org/obo/CL_0000422,mitogenic signaling cell
http://purl.obolibrary.org/obo/CL_0000228,multinucleate cell
http://purl.obolibrary.org/obo/CL_1000182,malpighian tubule tip cell
http://purl.obolibrary.org/obo/CL_0007000,preameloblast
http://purl.obolibrary.org/obo/CL_0000032,neuroplacodal cell
http://purl.obolibrary.org/obo/CL_0000438,luteinizing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000157,surfactant secreting cell
http://purl.obolibrary.org/obo/CL_0000064,ciliated cell
